        name input compiler                 type instructions       cycles       ipc
1  bin/httpd     1      gcc               native   5353125426   8346360167 0.6413724
2  bin/httpd     5      gcc               native  27807361339  45192753505 0.6153058
3  bin/httpd     9      gcc               native  55715194682  90191602110 0.6177426
4  bin/httpd    13      gcc               native  82853335504 135382621285 0.6119939
5  bin/httpd    17      gcc               native 111805732963 182619649089 0.6122328
6  bin/httpd    21      gcc               native 120803870034 197756211640 0.6108727
7  bin/httpd    25      gcc               native 133724510121 220508523445 0.6064369
8  bin/httpd    29      gcc               native 148438715550 245531408015 0.6045610
9  bin/httpd    31      gcc               native 152755504120 252207375280 0.6056742
10 bin/httpd    33      gcc               native 151436001919 249261577652 0.6075385
11 bin/httpd    35      gcc               native 151658099722 250286883096 0.6059371
12 bin/httpd     1      gcc mpx_no_narrow_bounds   7429397202  10252623494 0.7246338
13 bin/httpd     5      gcc mpx_no_narrow_bounds  40202143977  59403095165 0.6767685
14 bin/httpd     9      gcc mpx_no_narrow_bounds  77877629150 115147392049 0.6763299
15 bin/httpd    13      gcc mpx_no_narrow_bounds 116839416154 177468956941 0.6583654
16 bin/httpd    17      gcc mpx_no_narrow_bounds 160553329291 245209995792 0.6547585
17 bin/httpd    21      gcc mpx_no_narrow_bounds 183814952214 283907622833 0.6474463
18 bin/httpd    25      gcc mpx_no_narrow_bounds 194976535518 302905686914 0.6436873
19 bin/httpd    29      gcc mpx_no_narrow_bounds 194953985856 307603996688 0.6337824
20 bin/httpd    31      gcc mpx_no_narrow_bounds 189528811359 299880421641 0.6320146
21 bin/httpd    33      gcc mpx_no_narrow_bounds 195861420030 311280627375 0.6292117
22 bin/httpd    35      gcc mpx_no_narrow_bounds 194523178623 309337734237 0.6288375
23 bin/httpd     1      gcc                 asan   7797599976  10278944704 0.7585993
24 bin/httpd     5      gcc                 asan  42615538556  56560742031 0.7534473
25 bin/httpd     9      gcc                 asan  85736205770 108937737062 0.7870203
26 bin/httpd    13      gcc                 asan 129770980075 170446627932 0.7613584
27 bin/httpd    17      gcc                 asan 150768145623 199642084682 0.7551922
28 bin/httpd    21      gcc                 asan 190631150708 253626747786 0.7516208
29 bin/httpd    25      gcc                 asan 198282801384 266415997077 0.7442601
30 bin/httpd    29      gcc                 asan 215828041094 290806380312 0.7421709
31 bin/httpd    31      gcc                 asan 218813118418 296203640735 0.7387253
32 bin/httpd    33      gcc                 asan 217619773517 294852228355 0.7380639
33 bin/httpd    35      gcc                 asan 230681404043 313391075113 0.7360816

