name,compiler,type,threads,input,branch_instructions,dtlb_loads,minor_faults,major_faults,time,mpxerrors,dtlb_load_misses,branch_misses,mpxbtnum,lat,complete_requests,num_clients,sgxtime,dtlb_store_misses,sgxmem,dtlb_stores,tput,instructions,cycles,failed_requests
bin/httpd,gcc,native,1,1,1116645173,1620244625,1444,0,21.247135621,,11016520,89975650,,0.605,33049,1,,629134,,899962234,1652.41,5353125426,8346360167,0
bin/httpd,gcc,native,1,5,5740243236,8399867846,1675,0,21.313923929,,54447454,150708692,,0.587,170329,5,,2992506,,4712555908,8516.31,27807361339,45192753505,0
bin/httpd,gcc,native,1,9,11425374309,16707411692,1822,0,21.398487775,,76233328,108827780,,0.538,334777,9,,5067554,,9493653237,16738.57,55715194682,90191602110,0
bin/httpd,gcc,native,1,13,16951388200,24778514820,1970,0,21.494883678,,96994838,131310718,,0.528,492729,13,,7308706,,14195827872,24636.42,82853335504,135382621285,0
bin/httpd,gcc,native,1,17,22924809758,33685276273,2077,0,21.576233003,,123540076,173066474,,0.51,667034,17,,9642890,,19211362413,33351.35,111805732963,182619649089,0
bin/httpd,gcc,native,1,21,24705060274,36389599068,2138,0,21.594947584,,139194839,191172266,,0.59,711545,21,,10812138,,20778793656,35576.94,120803870034,197756211640,0
bin/httpd,gcc,native,1,25,27336124425,40239766721,2370,0,21.627779522,,162034949,218243488,,0.645,775541,25,,12423556,,22983183064,38776.85,133724510121,220508523445,0
bin/httpd,gcc,native,1,29,30258652169,44443046292,2416,0,21.667853399,,172970410,245886409,,0.68,853539,29,,14484883,,25580694850,42676.64,148438715550,245531408015,0
bin/httpd,gcc,native,1,31,31213005609,46030688375,2548,0,21.689365139,,186422689,254181215,,0.708,875430,31,,14726688,,26245242471,43771.43,152755504120,252207375280,0
bin/httpd,gcc,native,1,33,30886437599,45501229538,2551,0,21.68324911,,185481176,254306808,,0.765,862395,33,,14809144,,26037725706,43119.34,151436001919,249261577652,0
bin/httpd,gcc,native,1,35,30937954532,45634008841,2590,0,21.683847944,,183754555,253014550,,0.806,868607,35,,14687864,,26052954929,43430.3,151658099722,250286883096,0
bin/httpd,gcc,mpx_no_narrow_bounds,1,1,1199395009,2155363348,2577,0,21.241354288,,13824153,83290089,,0.617,32420,1,,935341,,1215146030,1620.98,7429397202,10252623494,0
bin/httpd,gcc,mpx_no_narrow_bounds,1,5,6399388480,11858763276,3310,0,21.324981866,,78316284,166925552,,0.563,177612,5,,5567771,,6694183153,8880.52,40202143977,59403095165,0
bin/httpd,gcc,mpx_no_narrow_bounds,1,9,12410115507,22897044267,3794,0,21.403827396,,122094562,107960626,,0.528,341126,9,,10002310,,12983683391,17056.25,77877629150,115147392049,0
bin/httpd,gcc,mpx_no_narrow_bounds,1,13,18615385047,34227187878,2998,0,21.490112127,,166071008,141274344,,0.513,506644,13,,12140697,,19433111243,25331.91,116839416154,177468956941,0
bin/httpd,gcc,mpx_no_narrow_bounds,1,17,25556636886,46910801995,3675,0,21.586965132,,199151122,182836591,,0.493,689487,17,,19218244,,26680542095,34474.31,160553329291,245209995792,0
bin/httpd,gcc,mpx_no_narrow_bounds,1,21,29300873404,53612473075,3429,0,21.648382101,,255504154,214961312,,0.538,780696,21,,21193423,,30427794493,39034.25,183814952214,283907622833,0
bin/httpd,gcc,mpx_no_narrow_bounds,1,25,31261190049,57038316822,3200,0,21.658641875,,249136632,236912512,,0.614,814327,25,,21908628,,32275070017,40716.29,194976535518,302905686914,0
bin/httpd,gcc,mpx_no_narrow_bounds,1,29,31262199336,57062738539,4571,0,21.654659733,,335976620,246923094,,0.721,804293,29,,27723357,,32418489493,40214.6,194953985856,307603996688,0
bin/httpd,gcc,mpx_no_narrow_bounds,1,31,30422673871,55541570416,3978,0,21.637396189,,274342978,242562494,,0.796,778644,31,,25359359,,31538879762,38931.77,189528811359,299880421641,0
bin/httpd,gcc,mpx_no_narrow_bounds,1,33,31555153118,57444045851,3605,0,21.662674012,,289171258,254247079,,0.825,800081,33,,26884529,,32447223923,40004.02,195861420030,311280627375,0
bin/httpd,gcc,mpx_no_narrow_bounds,1,35,31274656261,57070643985,4293,0,21.647350811,,318614992,254429514,,0.881,794804,35,,27108781,,32425104523,39739.87,194523178623,309337734237,0
bin/httpd,gcc,asan,1,1,1625284924,2010013506,7354,0,21.248431284,,13449576,109112009,,0.673,29713,1,,624198,,1045767725,1485.62,7797599976,10278944704,0
bin/httpd,gcc,asan,1,5,8758734494,10775416106,7551,0,21.313854207,,69897501,209791576,,0.621,160903,5,,3352764,,5589105808,8045.14,42615538556,56560742031,0
bin/httpd,gcc,asan,1,9,17745532810,21781602669,8255,0,21.394373453,,112625335,159891522,,0.556,323992,9,,6207231,,11126886600,16199.6,85736205770,108937737062,0
bin/httpd,gcc,asan,1,13,26775829883,32879949356,8294,0,21.485746615,,167365132,215539859,,0.536,485423,13,,9887538,,16889476409,24271.11,129770980075,170446627932,0
bin/httpd,gcc,asan,1,17,31142589866,38263403185,8642,0,21.51751752,,203850686,255217870,,0.603,564279,17,,11569264,,19642010843,28213.65,150768145623,199642084682,0
bin/httpd,gcc,asan,1,21,39313478761,48390983922,8941,0,21.595666967,,252261855,322330921,,0.594,706984,21,,15351079,,24892038289,35349.18,190631150708,253626747786,0
bin/httpd,gcc,asan,1,25,40850765016,50513972865,9439,0,21.600957277,,271441630,335533865,,0.689,726033,25,,16379669,,26027189411,36301.64,198282801384,266415997077,5
bin/httpd,gcc,asan,1,29,44431781622,55147670457,9187,0,21.634950352,,305661193,375715817,,0.74,784154,29,,18987879,,28467121610,39207.49,215828041094,290806380312,0
bin/httpd,gcc,asan,1,31,45016636338,55853192165,9196,0,21.642195659,,311331141,387700246,,0.784,790366,31,,19340232,,28835622253,39518.13,218813118418,296203640735,0
bin/httpd,gcc,asan,1,33,44905872884,55838173650,9695,0,21.64488771,,312911314,391542299,,0.842,784254,33,,19709984,,28678409529,39212.23,217619773517,294852228355,21
bin/httpd,gcc,asan,1,35,47461357907,59040808923,9610,0,21.673213295,,338242063,419752482,,0.845,828842,35,,21408371,,30484835040,41442.06,230681404043,313391075113,0
