        name compiler                 type input         l1         llc
1  bin/httpd      gcc               native     1 0.09084638 0.017999008
2  bin/httpd      gcc               native     5 0.11633068 0.009081652
3  bin/httpd      gcc               native     9 0.11677352 0.009001450
4  bin/httpd      gcc               native    13 0.11951384 0.008879293
5  bin/httpd      gcc               native    17 0.11955325 0.009153322
6  bin/httpd      gcc               native    21 0.12057282 0.010403709
7  bin/httpd      gcc               native    25 0.12051348 0.010852800
8  bin/httpd      gcc               native    29 0.12062623 0.011581843
9  bin/httpd      gcc               native    31 0.12111378 0.011677930
10 bin/httpd      gcc               native    33 0.12160976 0.012430873
11 bin/httpd      gcc               native    35 0.12071598 0.012639333
12 bin/httpd      gcc mpx_no_narrow_bounds     1 0.11146499 0.017295616
13 bin/httpd      gcc mpx_no_narrow_bounds     5 0.13820740 0.015853169
14 bin/httpd      gcc mpx_no_narrow_bounds     9 0.13822621 0.019428041
15 bin/httpd      gcc mpx_no_narrow_bounds    13 0.13973086 0.027963195
16 bin/httpd      gcc mpx_no_narrow_bounds    17 0.13938101 0.038687239
17 bin/httpd      gcc mpx_no_narrow_bounds    21 0.14002814 0.051068951
18 bin/httpd      gcc mpx_no_narrow_bounds    25 0.14068921 0.064541612
19 bin/httpd      gcc mpx_no_narrow_bounds    29 0.14093632 0.073287176
20 bin/httpd      gcc mpx_no_narrow_bounds    31 0.14139425 0.080561260
21 bin/httpd      gcc mpx_no_narrow_bounds    33 0.14146563 0.091849231
22 bin/httpd      gcc mpx_no_narrow_bounds    35 0.14182816 0.088832948
23 bin/httpd      gcc                 asan     1 0.09076036 0.012649007
24 bin/httpd      gcc                 asan     5 0.10557811 0.010947796
25 bin/httpd      gcc                 asan     9 0.11052815 0.009352902
26 bin/httpd      gcc                 asan    13 0.11235560 0.008944381
27 bin/httpd      gcc                 asan    17 0.11295505 0.010317194
28 bin/httpd      gcc                 asan    21 0.11376026 0.011343796
29 bin/httpd      gcc                 asan    25 0.11473269 0.012545536
30 bin/httpd      gcc                 asan    29 0.11729508 0.013398299
31 bin/httpd      gcc                 asan    31 0.11776688 0.014204720
32 bin/httpd      gcc                 asan    33 0.11741134 0.014829558
33 bin/httpd      gcc                 asan    35 0.11758820 0.016250958
