name,compiler,type,threads,input,tput,mpxbtnum,l1_dcache_loads,llc_loads,sgxmem,instructions,complete_requests,llc_store_misses,llc_load_misses,failed_requests,num_clients,llc_stores,sgxtime,l1_dcache_load_misses,mpxerrors,l1_dcache_store_misses,lat,time,l1_dcache_stores
bin/httpd,gcc,native,1,1,1491.05,,1410074215,63517941,,4778669831,29822,1212409,197893,0,1,14836490,,128100133,,1,0.671,21.244075223,819382622
bin/httpd,gcc,native,1,5,7844.24,,7435801221,362691926,,24981607333,156886,4455959,588039,0,5,192713382,,865011836,,1,0.637,21.304452424,4305729951
bin/httpd,gcc,native,1,9,16848.62,,16107241490,760251061,,53715620557,336973,9678836,1236463,0,9,452364536,,1880899254,,1,0.534,21.403078292,9345179196
bin/httpd,gcc,native,1,13,26259.34,,25392910051,1209327521,,84914601317,525188,15730299,1994514,0,13,786868981,,3034804189,,1,0.495,21.508162067,14707374144
bin/httpd,gcc,native,1,17,32615.13,,31760349883,1513129120,,105947413449,652306,20102542,2799030,0,17,988866496,,3797053044,,1,0.521,21.561642845,18407950663
bin/httpd,gcc,native,1,21,38660.05,,37711981805,1815811617,,125850143934,773208,26917245,4267185,0,21,1181622389,,4547039842,,1,0.543,21.630741595,21936261017
bin/httpd,gcc,native,1,25,41088.2,,40498983567,1937953181,,135432866008,821765,29799024,4860387,0,25,1255638386,,4880673394,,1,0.608,21.666726642,23426251388
bin/httpd,gcc,native,1,29,41847.41,,41625116455,1996775136,,139081941747,836949,32312821,5939082,0,29,1305972247,,5021080838,,1,0.693,21.677315701,24035566195
bin/httpd,gcc,native,1,31,43399.59,,43240661501,2082150388,,144505719056,867997,34289042,5950178,0,31,1363599014,,5237039977,,1,0.714,21.686032604,24998409038
bin/httpd,gcc,native,1,33,42985.05,,42891486828,2079282795,,143413528364,859702,35625144,6967188,0,33,1347052046,,5216023602,,1,0.768,21.687048816,24753088748
bin/httpd,gcc,native,1,35,41992.3,,41825502037,2026733532,,139709547083,839852,35273020,6531344,0,35,1280748301,,5049006628,,1,0.833,21.67042552,24164926545
bin/httpd,gcc,mpx_no_narrow_bounds,1,1,1284.11,,1601802089,86581528,,5460027103,25683,1252199,677342,0,1,24980906,,178544851,,1,0.779,21.242425086,943448851
bin/httpd,gcc,mpx_no_narrow_bounds,1,5,6686.3,,8438229849,463238314,,29057800003,133728,8686253,2160879,0,5,220986517,,1166225769,,1,0.748,21.295900045,4976079649
bin/httpd,gcc,mpx_no_narrow_bounds,1,9,17206.15,,22387038658,1143805493,,77018958694,344125,27569670,7284467,0,9,650206398,,3094475527,,1,0.523,21.411949078,12874035030
bin/httpd,gcc,mpx_no_narrow_bounds,1,13,24569.16,,32225678081,1674173523,,110782844554,491384,59882526,13866814,0,13,963198174,,4502921703,,1,0.529,21.487795776,18486884106
bin/httpd,gcc,mpx_no_narrow_bounds,1,17,29648.8,,38931916140,2011503438,,133876929389,592978,103305811,20129379,0,17,1179088454,,5426369757,,1,0.573,21.545087244,22385955178
bin/httpd,gcc,mpx_no_narrow_bounds,1,21,37677.12,,50060190681,2607660072,,171825961744,753543,178389060,33267670,0,21,1536868569,,7009835576,,1,0.557,21.628189355,28739070416
bin/httpd,gcc,mpx_no_narrow_bounds,1,25,37602.05,,50833472284,2656725703,,175178646009,752049,229020607,44052092,0,25,1574229956,,7151721129,,1,0.665,21.629526076,29028815868
bin/httpd,gcc,mpx_no_narrow_bounds,1,29,39621.71,,54125605607,2865943720,,185537826194,792435,277980564,55202212,0,29,1680319295,,7628263847,,1,0.732,21.640634033,30966147703
bin/httpd,gcc,mpx_no_narrow_bounds,1,31,39547.41,,54168201548,2878611021,,185662139948,790980,306913367,61208566,0,31,1690854888,,7659072434,,1,0.784,21.6421132,31091606490
bin/httpd,gcc,mpx_no_narrow_bounds,1,33,40474.81,,55340423692,2930140144,,190049710382,809497,352580160,77370925,0,33,1750912478,,7828767778,,1,0.815,21.661356654,31704931893
