name,compiler,type,threads,input,failed_requests,major_faults,complete_requests,cycles,dtlb_store_misses,sgxtime,tput,lat,branch_misses,branch_instructions,mpxerrors,num_clients,sgxmem,dtlb_load_misses,dtlb_stores,time,instructions,minor_faults,dtlb_loads,mpxbtnum
bin/httpd,gcc,native,1,1,0,,30079,,,,1503.91,0.665,,,,1,,,,,,,,
bin/httpd,gcc,native,1,5,0,,162485,,,,8124.24,0.615,,,,5,,,,,,,,
bin/httpd,gcc,native,1,9,0,,339557,,,,16977.81,0.53,,,,9,,,,,,,,
bin/httpd,gcc,native,1,13,0,,521324,,,,26066.02,0.499,,,,13,,,,,,,,
bin/httpd,gcc,native,1,17,0,,682717,,,,34135.79,0.498,,,,17,,,,,,,,
bin/httpd,gcc,native,1,21,0,,795971,,,,39797.9,0.528,,,,21,,,,,,,,
bin/httpd,gcc,native,1,25,0,,809655,,,,40482.29,0.618,,,,25,,,,,,,,
bin/httpd,gcc,native,1,29,0,,830891,,,,41544.33,0.698,,,,29,,,,,,,,
bin/httpd,gcc,native,1,31,0,,833779,,,,41688.55,0.744,,,,31,,,,,,,,
bin/httpd,gcc,native,1,33,0,,877301,,,,43865.04,0.752,,,,33,,,,,,,,
bin/httpd,gcc,native,1,35,0,,871160,,,,43557.56,0.804,,,,35,,,,,,,,
bin/httpd,icc,native,1,1,0,,29171,,,,1458.5,0.686,,,,1,,,,,,,,
bin/httpd,icc,native,1,5,0,,159283,,,,7964.14,0.628,,,,5,,,,,,,,
bin/httpd,icc,native,1,9,0,,326841,,,,16341.97,0.551,,,,9,,,,,,,,
bin/httpd,icc,native,1,13,0,,506140,,,,25306.78,0.514,,,,13,,,,,,,,
bin/httpd,icc,native,1,17,0,,701404,,,,35069.95,0.485,,,,17,,,,,,,,
bin/httpd,icc,native,1,21,0,,811010,,,,40550.27,0.518,,,,21,,,,,,,,
bin/httpd,icc,native,1,25,0,,814717,,,,40735.75,0.614,,,,25,,,,,,,,
bin/httpd,icc,native,1,29,0,,836332,,,,41816.37,0.694,,,,29,,,,,,,,
bin/httpd,icc,native,1,31,0,,861903,,,,43095.13,0.719,,,,31,,,,,,,,
bin/httpd,icc,native,1,33,0,,862644,,,,43131.62,0.765,,,,33,,,,,,,,
bin/httpd,icc,native,1,35,0,,847813,,,,42390.33,0.826,,,,35,,,,,,,,
bin/httpd,clang,native,1,1,0,,42657,,,,2132.78,0.469,,,,1,,,,,,,,
bin/httpd,clang,native,1,5,0,,185726,,,,9286.3,0.538,,,,5,,,,,,,,
bin/httpd,clang,native,1,9,0,,348271,,,,17413.53,0.517,,,,9,,,,,,,,
bin/httpd,clang,native,1,13,0,,541213,,,,27060.41,0.48,,,,13,,,,,,,,
bin/httpd,clang,native,1,17,0,,727628,,,,36381.4,0.467,,,,17,,,,,,,,
bin/httpd,clang,native,1,21,0,,915921,,,,45795.99,0.459,,,,21,,,,,,,,
bin/httpd,clang,native,1,25,0,,1000000,,,,51649.12,0.484,,,,25,,,,,,,,
bin/httpd,clang,native,1,29,0,,1000000,,,,51925.76,0.558,,,,29,,,,,,,,
bin/httpd,clang,native,1,31,0,,1000000,,,,52139.52,0.595,,,,31,,,,,,,,
bin/httpd,clang,native,1,33,0,,1000000,,,,52642.93,0.627,,,,33,,,,,,,,
bin/httpd,clang,native,1,35,0,,1000000,,,,52256.39,0.67,,,,35,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds,1,1,0,,25273,,,,1263.63,0.791,,,,1,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds,1,5,0,,144776,,,,7238.8,0.691,,,,5,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds,1,9,0,,338757,,,,16937.68,0.531,,,,9,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds,1,13,0,,486817,,,,24340.52,0.534,,,,13,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds,1,17,0,,607453,,,,30372.59,0.56,,,,17,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds,1,21,0,,691569,,,,34578.41,0.607,,,,21,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds,1,25,0,,725984,,,,36298.79,0.689,,,,25,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds,1,29,0,,791029,,,,39551.21,0.733,,,,29,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds,1,31,0,,815905,,,,40794.69,0.76,,,,31,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds,1,33,0,,789633,,,,39481.62,0.836,,,,33,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds,1,35,0,,825624,,,,41281.18,0.848,,,,35,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds_only_write,1,1,0,,26779,,,,1338.93,0.747,,,,1,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds_only_write,1,5,0,,157383,,,,7869.14,0.635,,,,5,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds_only_write,1,9,0,,328440,,,,16421.84,0.548,,,,9,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds_only_write,1,13,0,,501485,,,,25074.13,0.518,,,,13,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds_only_write,1,17,0,,702000,,,,35099.81,0.484,,,,17,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds_only_write,1,21,0,,766776,,,,38338.56,0.548,,,,21,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds_only_write,1,25,0,,855010,,,,42750.48,0.585,,,,25,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds_only_write,1,29,0,,813119,,,,40655.49,0.713,,,,29,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds_only_write,1,31,0,,863485,,,,43174.17,0.718,,,,31,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds_only_write,1,33,0,,862741,,,,43136.79,0.765,,,,33,,,,,,,,
bin/httpd,gcc,mpx_no_narrow_bounds_only_write,1,35,0,,851946,,,,42597.02,0.822,,,,35,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,1,0,,28944,,,,1447.18,0.691,,,,1,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,5,0,,188009,,,,9400.44,0.532,,,,5,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,9,0,,346834,,,,17341.6,0.519,,,,9,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,13,0,,531528,,,,26576.26,0.489,,,,13,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,17,0,,695075,,,,34753.63,0.489,,,,17,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,21,0,,954393,,,,47719.64,0.44,,,,21,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,25,0,,1000000,,,,51040.94,0.49,,,,25,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,29,0,,966553,,,,48327.63,0.6,,,,29,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,31,0,,982498,,,,49124.81,0.631,,,,31,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,33,0,,954924,,,,47746.13,0.691,,,,33,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds,1,35,0,,944060,,,,47202.9,0.741,,,,35,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,1,0,,30497,,,,1524.83,0.656,,,,1,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,5,0,,176925,,,,8846.25,0.565,,,,5,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,9,0,,336850,,,,16842.48,0.534,,,,9,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,13,0,,521688,,,,26084.34,0.498,,,,13,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,17,0,,696164,,,,34808.09,0.488,,,,17,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,21,0,,785108,,,,39254.95,0.535,,,,21,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,25,0,,912441,,,,45622.0,0.548,,,,25,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,29,0,,907449,,,,45372.36,0.639,,,,29,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,31,0,,902380,,,,45118.97,0.687,,,,31,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,33,0,,891558,,,,44577.64,0.74,,,,33,,,,,,,,
bin/httpd,icc,mpx_no_narrow_bounds_only_write,1,35,0,,938155,,,,46907.7,0.746,,,,35,,,,,,,,
bin/httpd,gcc,asan,1,1,0,,27482,,,,1374.07,0.728,,,,1,,,,,,,,
bin/httpd,gcc,asan,1,5,0,,181967,,,,9098.35,0.55,,,,5,,,,,,,,
bin/httpd,gcc,asan,1,9,0,,329329,,,,16466.34,0.547,,,,9,,,,,,,,
bin/httpd,gcc,asan,1,13,0,,472142,,,,23607.09,0.551,,,,13,,,,,,,,
bin/httpd,gcc,asan,1,17,0,,586963,,,,29347.9,0.579,,,,17,,,,,,,,
bin/httpd,gcc,asan,1,21,0,,856868,,,,42843.03,0.49,,,,21,,,,,,,,
bin/httpd,gcc,asan,1,25,0,,894195,,,,44709.67,0.559,,,,25,,,,,,,,
bin/httpd,gcc,asan,1,29,0,,897457,,,,44872.8,0.646,,,,29,,,,,,,,
bin/httpd,gcc,asan,1,31,0,,939816,,,,46990.79,0.66,,,,31,,,,,,,,
bin/httpd,gcc,asan,1,33,0,,922398,,,,46119.67,0.716,,,,33,,,,,,,,
