name,compiler,type,threads,input,num_clients,sgxmem,major_faults,mpxerrors,user_time,failed_requests,involuntary_context_switches,lat,sgxtime,minor_faults,maxsize,time,complete_requests,mpxbtnum,tput,sys_time,voluntary_context_switches
bin/httpd,gcc,native,1,1,1,,0,,4.88,0,36,0.636,,1471,7304,21.25,31449,,1572.42,5.45,64335
bin/httpd,gcc,native,1,5,5,,0,,17.33,0,2413,0.623,,1699,8656,21.31,160530,,8026.46,34.34,510727
bin/httpd,gcc,native,1,9,9,,0,,20.0,0,39918,0.532,,1815,8760,21.4,338288,,16914.35,43.23,1239557
bin/httpd,gcc,native,1,13,13,,0,,24.58,0,78880,0.519,,1977,8980,21.49,501341,,25067.03,53.76,1895215
bin/httpd,gcc,native,1,17,17,,0,,19.72,0,120534,0.563,,2174,8108,21.53,604449,,30222.18,44.05,2355526
bin/httpd,gcc,native,1,21,21,,0,,23.66,0,125862,0.594,,2252,9404,21.59,707630,,35381.29,50.97,2775404
bin/httpd,gcc,native,1,25,25,,0,,25.08,0,150830,0.617,,2289,8104,21.65,810940,,40546.51,56.06,3287076
bin/httpd,gcc,native,1,29,29,,0,,25.57,0,168034,0.682,,2400,9128,21.67,850124,,42506.18,58.21,3587148
bin/httpd,gcc,native,1,31,31,,0,,28.02,0,286137,0.699,,2476,7852,21.7,887367,,44368.32,64.38,3912031
bin/httpd,gcc,native,1,33,33,,0,,25.25,0,227214,0.737,,2605,9608,21.7,895003,,44749.61,60.28,3776261
bin/httpd,gcc,native,1,35,35,,0,,27.57,0,314355,0.823,,2625,8940,21.67,850509,,42525.31,64.94,4119638
bin/httpd,gcc,mpx_no_narrow_bounds,1,1,1,,0,,7.05,0,42,0.549,,2537,40828,21.24,36436,,1821.79,5.48,74615
bin/httpd,gcc,mpx_no_narrow_bounds,1,5,5,,0,,31.46,0,3356,0.586,,3303,68168,21.3,170787,,8539.35,31.61,461702
bin/httpd,gcc,mpx_no_narrow_bounds,1,9,9,,0,,34.0,0,30161,0.525,,3156,83632,21.41,342895,,17144.32,36.37,1107524
bin/httpd,gcc,mpx_no_narrow_bounds,1,13,13,,0,,31.45,0,116165,0.512,,3184,80180,21.49,508201,,25409.78,35.95,1670202
bin/httpd,gcc,mpx_no_narrow_bounds,1,17,17,,0,,41.0,0,187725,0.46,,3739,99524,21.62,738379,,36918.91,45.72,2472472
bin/httpd,gcc,mpx_no_narrow_bounds,1,21,21,,0,,45.01,0,260357,0.485,,3537,87172,21.68,865260,,43262.89,51.36,3048611
bin/httpd,gcc,mpx_no_narrow_bounds,1,25,25,,0,,47.94,0,278416,0.526,,4005,97112,21.74,949901,,47494.92,53.33,3598841
bin/httpd,gcc,mpx_no_narrow_bounds,1,29,29,,0,,46.72,0,310582,0.631,,3420,96896,21.72,919039,,45951.95,54.86,3989049
bin/httpd,gcc,mpx_no_narrow_bounds,1,31,31,,0,,45.15,0,307217,0.705,,3770,110788,21.69,879405,,43970.16,54.61,4124389
bin/httpd,gcc,mpx_no_narrow_bounds,1,33,33,,0,,43.96,0,334921,0.786,,4103,93628,21.68,839668,,41983.35,53.62,4147689
bin/httpd,gcc,mpx_no_narrow_bounds,1,35,35,,0,,45.49,1,339135,0.837,,4106,125872,21.67,835929,,41796.4,55.78,4438935
bin/httpd,gcc,asan,1,1,1,,0,,7.28,0,59,0.737,,7489,29920,21.25,27152,,1357.58,4.8,55900
bin/httpd,gcc,asan,1,5,5,,0,,25.14,0,3861,0.647,,8127,32912,21.31,154527,,7726.12,24.13,459001
bin/httpd,gcc,asan,1,9,9,,0,,31.34,0,41397,0.538,,8216,30248,21.4,334847,,16742.32,32.11,1097729
bin/httpd,gcc,asan,1,13,13,,0,,36.76,0,76797,0.532,,8634,31700,21.48,488308,,24415.37,38.92,1632872
bin/httpd,gcc,asan,1,17,17,,0,,31.18,0,110931,0.582,,8863,31244,21.52,584307,,29215.21,33.76,1997753
bin/httpd,gcc,asan,1,21,21,,0,,40.47,0,140217,0.558,,8889,33228,21.63,752569,,37628.44,43.33,2588722
bin/httpd,gcc,asan,1,25,25,,0,,42.9,0,161491,0.638,,9299,33760,21.63,783255,,39162.7,46.99,2864201
bin/httpd,gcc,asan,1,29,29,,0,,44.26,0,235707,0.724,,9123,30956,21.64,800903,,40044.68,49.07,3177508
bin/httpd,gcc,asan,1,31,31,,0,,45.99,0,303223,0.72,,9520,34204,21.68,861452,,43072.6,51.79,3506956
bin/httpd,gcc,asan,1,33,33,,0,,45.18,0,260685,0.798,,9649,32068,21.67,826711,,41335.51,51.69,3533424
bin/httpd,gcc,asan,1,35,35,,0,,45.02,0,299365,0.847,,9687,34212,21.66,826428,,41321.35,51.22,3688270
