   compiler                 type input instructions       cycles       ipc
1       gcc               native    32  48314190718  56713207549 0.8519037
2       gcc               native    64  72458591571  85800284949 0.8445029
3       gcc               native   128  84288386567  96619321198 0.8723761
4       gcc               native   192  86741138450 100422140197 0.8637651
5       gcc               native   256  88884813018 102306108745 0.8688124
6       gcc               native   320  88839866900 103033237009 0.8622447
7       gcc               native   384  89678510874 103644941472 0.8652473
8       gcc               native   448  92134667511 107794511204 0.8547250
9       gcc               native   512  91928618773 107132608449 0.8580825
10      gcc mpx_no_narrow_bounds    32  56066936024  82932196649 0.6760575
11      gcc mpx_no_narrow_bounds    64  80965908921 117136694000 0.6912088
12      gcc mpx_no_narrow_bounds   128  93085468515 134177689661 0.6937477
13      gcc mpx_no_narrow_bounds   192  95069257309 129696140626 0.7330153
14      gcc mpx_no_narrow_bounds   256  98798677891 140977597978 0.7008112
15      gcc mpx_no_narrow_bounds   320  99811973553 141348157525 0.7061427
16      gcc mpx_no_narrow_bounds   384 102316259338 144990742983 0.7056744
17      gcc mpx_no_narrow_bounds   448 103392202999 143534932063 0.7203278
18      gcc mpx_no_narrow_bounds   512 101686457311 146921430501 0.6921145
19      gcc                 asan    32  65093652205  70368930972 0.9250340
20      gcc                 asan    64  97413632541 105796439381 0.9207648
21      gcc                 asan   128 113608570091 121868822354 0.9322201
22      gcc                 asan   192 115236522127 123859380692 0.9303819
23      gcc                 asan   256 118756831018 129624910841 0.9161575
24      gcc                 asan   320 119581358164 129301519511 0.9248256
25      gcc                 asan   384 119788548920 129094916542 0.9279107
26      gcc                 asan   448 120904940117 130945288272 0.9233241
27      gcc                 asan   512 120956086911 133051115238 0.9090949
