            name compiler                 type input        l1        llc
1  bin/memcached      gcc               native    32 0.1192957 0.06529397
2  bin/memcached      gcc               native    64 0.1121683 0.06275397
3  bin/memcached      gcc               native   128 0.1122845 0.05779133
4  bin/memcached      gcc               native   192 0.1104630 0.05740744
5  bin/memcached      gcc               native   256 0.1107299 0.06054482
6  bin/memcached      gcc               native   320 0.1105975 0.06075265
7  bin/memcached      gcc               native   384 0.1102108 0.06453312
8  bin/memcached      gcc               native   448 0.1107665 0.07147436
9  bin/memcached      gcc               native   512 0.1094369 0.07523606
10 bin/memcached      gcc mpx_no_narrow_bounds    32 0.1341949 0.10686239
11 bin/memcached      gcc mpx_no_narrow_bounds    64 0.1315388 0.09778111
12 bin/memcached      gcc mpx_no_narrow_bounds   128 0.1274519 0.09362557
13 bin/memcached      gcc mpx_no_narrow_bounds   192 0.1261798 0.10189589
14 bin/memcached      gcc mpx_no_narrow_bounds   256 0.1264936 0.09908415
15 bin/memcached      gcc mpx_no_narrow_bounds   320 0.1250076 0.10815652
16 bin/memcached      gcc mpx_no_narrow_bounds   384 0.1258871 0.11539158
17 bin/memcached      gcc mpx_no_narrow_bounds   448 0.1401434 0.13483498
18 bin/memcached      gcc mpx_no_narrow_bounds   512 0.1549569 0.16339687
19 bin/memcached      gcc                 asan    32 0.1204502 0.05447326
20 bin/memcached      gcc                 asan    64 0.1171740 0.05068770
21 bin/memcached      gcc                 asan   128 0.1155446 0.04854125
22 bin/memcached      gcc                 asan   192 0.1150445 0.05067282
23 bin/memcached      gcc                 asan   256 0.1140507 0.04970012
24 bin/memcached      gcc                 asan   320 0.1136509 0.05482921
25 bin/memcached      gcc                 asan   384 0.1133392 0.05800988
26 bin/memcached      gcc                 asan   448 0.1145821 0.06454554
27 bin/memcached      gcc                 asan   512 0.1142618 0.07100798
