name,compiler,type,threads,input,l1_dcache_loads,llc_loads,mpxerrors,llc_load_misses,tput,llc_stores,sgxtime,mpxbtnum,lat,instructions,num_clients,l1_dcache_store_misses,l1_dcache_stores,sgxmem,llc_store_misses,time,l1_dcache_load_misses
bin/memcached,gcc,native,1,32,13805823545,511654258,,21130789,178718.0,325072133,,,178.0,47485875142,32,1,7958341017,,33502400,22.313933869,1646974873
bin/memcached,gcc,native,1,64,19933756834,669597290,,27120954,259133.0,458643034,,,246.0,68493540588,64,1,11483682669,,43680610,22.36316273,2235936412
bin/memcached,gcc,native,1,128,23228088184,795784947,,30430308,280199.0,541628635,,,456.0,79132907405,128,1,13359410553,,46860608,22.445399923,2608153949
bin/memcached,gcc,native,1,192,24202132000,822604824,,33045465,281112.0,573100730,,,682.0,82488996476,192,1,13822368760,,47078414,22.511677121,2673440255
bin/memcached,gcc,native,1,256,24565534922,851299519,,34856305,281582.0,585063001,,,908.0,83913587514,256,1,13997301265,,52108011,22.591951913,2720138675
bin/memcached,gcc,native,1,320,25219687699,869855592,,37023288,281330.0,595592678,,,1136.0,85371650981,320,1,14386059640,,52006575,22.652995161,2789235300
bin/memcached,gcc,native,1,384,25548754311,887605276,,39909125,281298.0,605368161,,,1364.0,86504272571,384,1,14567792695,,56437105,22.723388788,2815747512
bin/memcached,gcc,native,1,448,25750518029,892007097,,44366032,281646.0,611022447,,,1590.0,87061338965,448,1,14730528051,,63062041,22.798900273,2852293886
bin/memcached,gcc,native,1,512,25688200018,881474596,,45588806,281208.0,606861018,,,1820.0,86977038100,512,1,14637328571,,66387708,22.859224972,2811235836
bin/memcached,gcc,mpx_no_narrow_bounds,1,32,15140359184,615330892,,48069743,161469.0,433054905,,,197.0,53927202545,32,1,8519411061,,63963266,22.329352615,2031759644
bin/memcached,gcc,mpx_no_narrow_bounds,1,64,21537012284,861224404,,58352181,241697.0,595462004,,,264.0,76139274889,64,1,12401902169,,84084235,22.387956801,2832952849
bin/memcached,gcc,mpx_no_narrow_bounds,1,128,25481766921,1019268070,,67495350,261352.0,707714132,,,489.0,89330625156,128,1,14507506549,,94194347,22.443041835,3247700792
bin/memcached,gcc,mpx_no_narrow_bounds,1,192,26253790798,1029204199,,79994221,261546.0,728206316,,,733.0,91843608511,192,1,14899782116,,99078693,22.503547295,3312696971
bin/memcached,gcc,mpx_no_narrow_bounds,1,256,27281264615,1068755169,,76877121,264762.0,761336958,,,966.0,94729492576,256,1,15452074182,,104456000,22.586789893,3450906489
bin/memcached,gcc,mpx_no_narrow_bounds,1,320,27452521529,1064088283,,85934191,262430.0,753215331,,,1218.0,95663179929,320,1,15487505355,,110619036,22.66366837,3431773286
bin/memcached,gcc,mpx_no_narrow_bounds,1,384,27995099010,1068858583,,91686541,264021.0,763158406,,,1453.0,97529589291,384,1,15798030623,,119712791,22.723261605,3524222477
bin/memcached,gcc,mpx_no_narrow_bounds,1,448,24285100487,928531314,,122765697,194027.0,772151478,,,2308.0,89129593919,448,1,12301253729,,106545840,22.812124289,3403396872
bin/memcached,gcc,mpx_no_narrow_bounds,1,512,21793627270,845061333,,171739563,140615.0,756440005,,,3641.0,83981244729,512,1,9669491566,,89940737,22.890964902,3377073956
bin/memcached,gcc,asan,1,32,16133563220,629758807,,22508336,175127.0,366846698,,,182.0,62670902034,32,1,8957381251,,31780010,22.312178724,1943290217
bin/memcached,gcc,asan,1,64,23971782497,902765963,,29179318,257608.0,545840197,,,247.0,93019886324,64,1,13270513610,,44247193,22.380305835,2808869191
bin/memcached,gcc,asan,1,128,28677024441,1060951100,,33395569,279834.0,681956790,,,456.0,108935341148,128,1,15849810482,,51207353,22.444734587,3313476200
bin/memcached,gcc,asan,1,192,29545881228,1074117427,,36102055,280820.0,688559509,,,683.0,111896265251,192,1,16251901642,,53217762,22.51201751,3399092249
bin/memcached,gcc,asan,1,256,30152820638,1116019879,,38215338,280693.0,704309955,,,911.0,114081694193,256,1,16615962575,,52255269,22.595919336,3438949607
bin/memcached,gcc,asan,1,320,30384940458,1111294438,,41716459,281478.0,704816621,,,1136.0,114576516702,320,1,16729786283,,57859477,22.659521045,3453275638
bin/memcached,gcc,asan,1,384,30843327154,1116254213,,44196328,281370.0,715538037,,,1364.0,115923015443,384,1,16970945859,,62065714,22.70221451,3495758095
bin/memcached,gcc,asan,1,448,30954948852,1158971178,,51243852,281169.0,709339246,,,1592.0,116179669694,448,1,17066309933,,69347249,22.804948298,3546881665
bin/memcached,gcc,asan,1,512,31335860256,1145794790,,56034503,281621.0,727666632,,,1817.0,117588210769,512,1,17199701482,,76996207,22.885742982,3580492710
