name,compiler,type,threads,input,dtlb_store_misses,mpxbtnum,sgxtime,tput,instructions,branch_instructions,dtlb_stores,num_clients,cycles,branch_misses,major_faults,dtlb_load_misses,time,mpxerrors,lat,dtlb_loads,minor_faults,sgxmem
bin/memcached,gcc,native,1,32,,,,177149.0,,,,32,,,,,,,180.0,,,
bin/memcached,gcc,native,1,64,,,,260313.0,,,,64,,,,,,,245.0,,,
bin/memcached,gcc,native,1,128,,,,280494.0,,,,128,,,,,,,455.0,,,
bin/memcached,gcc,native,1,192,,,,281100.0,,,,192,,,,,,,682.0,,,
bin/memcached,gcc,native,1,256,,,,281423.0,,,,256,,,,,,,909.0,,,
bin/memcached,gcc,native,1,320,,,,281443.0,,,,320,,,,,,,1136.0,,,
bin/memcached,gcc,native,1,384,,,,281228.0,,,,384,,,,,,,1364.0,,,
bin/memcached,gcc,native,1,448,,,,281817.0,,,,448,,,,,,,1589.0,,,
bin/memcached,gcc,native,1,512,,,,281742.0,,,,512,,,,,,,1816.0,,,
bin/memcached,gcc,native,1,32,,,,178327.0,,,,32,,,,,,,178.0,,,
bin/memcached,gcc,native,1,64,,,,260710.0,,,,64,,,,,,,244.0,,,
bin/memcached,gcc,native,1,128,,,,280458.0,,,,128,,,,,,,455.0,,,
bin/memcached,gcc,native,1,192,,,,281163.0,,,,192,,,,,,,682.0,,,
bin/memcached,gcc,native,1,256,,,,281187.0,,,,256,,,,,,,909.0,,,
bin/memcached,gcc,native,1,320,,,,281564.0,,,,320,,,,,,,1135.0,,,
bin/memcached,gcc,native,1,384,,,,281563.0,,,,384,,,,,,,1363.0,,,
bin/memcached,gcc,native,1,448,,,,281786.0,,,,448,,,,,,,1589.0,,,
bin/memcached,gcc,native,1,512,,,,281445.0,,,,512,,,,,,,1818.0,,,
bin/memcached,gcc,native,1,32,,,,177119.0,,,,32,,,,,,,180.0,,,
bin/memcached,gcc,native,1,64,,,,260587.0,,,,64,,,,,,,245.0,,,
bin/memcached,gcc,native,1,128,,,,280507.0,,,,128,,,,,,,455.0,,,
bin/memcached,gcc,native,1,192,,,,281398.0,,,,192,,,,,,,681.0,,,
bin/memcached,gcc,native,1,256,,,,280994.0,,,,256,,,,,,,910.0,,,
bin/memcached,gcc,native,1,320,,,,281329.0,,,,320,,,,,,,1136.0,,,
bin/memcached,gcc,native,1,384,,,,281499.0,,,,384,,,,,,,1363.0,,,
