name,compiler,type,threads,input,user_time,mpxerrors,sgxmem,sgxtime,num_clients,mpxbtnum,time,voluntary_context_switches,lat,maxsize,major_faults,involuntary_context_switches,sys_time,tput,minor_faults
bin/memcached,gcc,native,1,32,7.93,,,,32,,22.34,2439017,179.0,69728,0,147,16.94,177841.0,17048
bin/memcached,gcc,native,1,64,9.94,,,,64,,22.36,3376435,245.0,70092,0,179,20.05,260311.0,17139
bin/memcached,gcc,native,1,128,9.48,,,,128,,22.44,3542511,456.0,70780,0,558,21.35,280317.0,17311
bin/memcached,gcc,native,1,192,9.92,,,,192,,22.51,3510936,681.0,71480,0,960,22.28,281355.0,17480
bin/memcached,gcc,native,1,256,9.64,,,,256,,22.6,3558932,910.0,72108,0,1126,22.57,281140.0,17667
bin/memcached,gcc,native,1,320,9.47,,,,320,,22.64,3267847,1136.0,72772,0,1133,22.86,281404.0,17830
bin/memcached,gcc,native,1,384,9.53,,,,384,,22.71,3478043,1364.0,73536,0,1393,23.96,281398.0,18010
bin/memcached,gcc,native,1,448,10.01,,,,448,,22.81,3353960,1593.0,74224,0,1550,25.58,281072.0,18211
bin/memcached,gcc,native,1,512,9.78,,,,512,,22.86,3274105,1819.0,74984,0,1503,23.84,281388.0,18370
bin/memcached,gcc,mpx_no_narrow_bounds,1,32,18.12,,,,32,,22.32,2301275,192.0,349868,0,238,18.42,165882.0,83436
bin/memcached,gcc,mpx_no_narrow_bounds,1,64,18.86,,,,64,,22.38,2995879,265.0,352600,0,304,20.3,240157.0,83670
bin/memcached,gcc,mpx_no_narrow_bounds,1,128,19.35,,,,128,,22.46,3233151,492.0,353880,0,1090,25.42,259508.0,83893
bin/memcached,gcc,mpx_no_narrow_bounds,1,192,19.42,,,,192,,22.51,3203408,741.0,355660,0,1289,23.64,258577.0,84565
bin/memcached,gcc,mpx_no_narrow_bounds,1,256,20.11,,,,256,,22.6,3134124,986.0,355356,0,1675,25.7,259275.0,84540
bin/memcached,gcc,mpx_no_narrow_bounds,1,320,19.52,,,,320,,22.67,3104961,1225.0,357364,0,1870,26.34,260939.0,84787
bin/memcached,gcc,mpx_no_narrow_bounds,1,384,19.72,,,,384,,22.75,3096032,1462.0,359536,0,2044,26.53,262480.0,85606
bin/memcached,gcc,mpx_no_narrow_bounds,1,448,19.78,,,,448,,22.81,3011653,1691.0,360376,0,2087,26.36,264716.0,85733
bin/memcached,gcc,mpx_no_narrow_bounds,1,512,51.93,,,,512,,22.88,1617202,3731.0,362224,0,1110,19.0,137232.0,86300
bin/memcached,gcc,asan,1,32,12.36,,,,32,,22.32,2357048,182.0,89320,0,197,16.9,174904.0,22715
bin/memcached,gcc,asan,1,64,13.68,,,,64,,22.37,3319778,246.0,89972,0,290,20.61,259244.0,22991
bin/memcached,gcc,asan,1,128,14.19,,,,128,,22.44,3407161,456.0,89968,0,947,22.42,279974.0,23160
bin/memcached,gcc,asan,1,192,14.14,,,,192,,22.49,3166022,682.0,91144,0,1423,24.55,280904.0,23679
bin/memcached,gcc,asan,1,256,14.7,,,,256,,22.59,3359087,910.0,92468,0,1685,25.24,281081.0,24179
bin/memcached,gcc,asan,1,320,15.43,,,,320,,22.67,3169027,1137.0,95568,0,1912,26.39,281156.0,25098
bin/memcached,gcc,asan,1,384,14.31,,,,384,,22.71,3126700,1364.0,95572,0,1881,25.33,281218.0,25312
bin/memcached,gcc,asan,1,448,14.77,,,,448,,22.77,3066694,1592.0,97236,0,2133,26.62,281327.0,25940
bin/memcached,gcc,asan,1,512,14.75,,,,512,,22.87,3145891,1818.0,97652,0,2187,25.85,281492.0,26208
