    name compiler                 type input instructions       cycles       ipc
1  nginx      gcc               native     1   7406249248   7545888096 0.9814947
2  nginx      gcc               native     5  48312509706  50495399109 0.9567705
3  nginx      gcc               native     9  83104012450  94544230299 0.8789961
4  nginx      gcc               native    13  92119411017 106950502786 0.8613275
5  nginx      gcc               native    17  91287351669 106894394838 0.8539957
6  nginx      gcc               native    21  92599277795 112740375552 0.8213497
7  nginx      gcc               native    25  93241410673 114367659241 0.8152778
8  nginx      gcc               native    29  93268854337 114768592738 0.8126688
9  nginx      gcc mpx_no_narrow_bounds     1   8526249083   8775071164 0.9716444
10 nginx      gcc mpx_no_narrow_bounds     5  55970700373  57536246089 0.9727903
11 nginx      gcc mpx_no_narrow_bounds     9 102951794975 111837585317 0.9205474
12 nginx      gcc mpx_no_narrow_bounds    13 118358114861 134798466047 0.8780375
13 nginx      gcc mpx_no_narrow_bounds    17 119818021117 138334175911 0.8661491
14 nginx      gcc mpx_no_narrow_bounds    21 119950255262 141914604835 0.8452284
15 nginx      gcc mpx_no_narrow_bounds    25 119798764224 145847859063 0.8213954
16 nginx      gcc mpx_no_narrow_bounds    29 119381856892 146066045368 0.8173142
17 nginx      gcc                 asan     1   9741893392  10813510867 0.9009001
18 nginx      gcc                 asan     5  62187631771  65872099495 0.9440663
19 nginx      gcc                 asan     9 113092501465 125194523830 0.9033343
20 nginx      gcc                 asan    13 136546606829 153915721949 0.8871518
21 nginx      gcc                 asan    17 144494789646 165146944497 0.8749468
22 nginx      gcc                 asan    21 139887969892 170663646654 0.8196706
23 nginx      gcc                 asan    25 139913700651 173204044557 0.8077970
24 nginx      gcc                 asan    29 140126454545 175380020290 0.7989876
