    name compiler                 type input         l1         llc
1  nginx      gcc               native     1 0.07624847 0.011002764
2  nginx      gcc               native     5 0.07756121 0.006936946
3  nginx      gcc               native     9 0.08381391 0.006600421
4  nginx      gcc               native    13 0.08756735 0.007250145
5  nginx      gcc               native    17 0.08935466 0.007206807
6  nginx      gcc               native    21 0.09002697 0.006704081
7  nginx      gcc               native    25 0.09128370 0.006873508
8  nginx      gcc               native    29 0.09228549 0.006804057
9  nginx      gcc mpx_no_narrow_bounds     1 0.08780311 0.017783106
10 nginx      gcc mpx_no_narrow_bounds     5 0.09119903 0.006423339
11 nginx      gcc mpx_no_narrow_bounds     9 0.09650215 0.006019772
12 nginx      gcc mpx_no_narrow_bounds    13 0.09784149 0.006687785
13 nginx      gcc mpx_no_narrow_bounds    17 0.09969842 0.006135561
14 nginx      gcc mpx_no_narrow_bounds    21 0.10106586 0.006335764
15 nginx      gcc mpx_no_narrow_bounds    25 0.10304084 0.006478436
16 nginx      gcc mpx_no_narrow_bounds    29 0.10355704 0.006930802
17 nginx      gcc                 asan     1 0.08882899 0.164111401
18 nginx      gcc                 asan     5 0.08521767 0.122684116
19 nginx      gcc                 asan     9 0.09222499 0.104962162
20 nginx      gcc                 asan    13 0.09440993 0.098217185
21 nginx      gcc                 asan    17 0.09744121 0.094412908
22 nginx      gcc                 asan    21 0.10026047 0.090284603
23 nginx      gcc                 asan    25 0.10169868 0.089331222
24 nginx      gcc                 asan    29 0.10317928 0.088585453
