name,compiler,type,threads,input,llc_store_misses,mpxbtnum,sgxtime,mpxerrors,llc_loads,l1_dcache_stores,sgxmem,tput,instructions,complete_requests,llc_stores,failed_requests,llc_load_misses,time,l1_dcache_store_misses,l1_dcache_loads,lat,l1_dcache_load_misses,num_clients
nginx,gcc,native,1,1,883271,,,,72150695,1235150525,,4046.65,7051657508,80933,17757986,0,105973,21.253834908,1,2161425977,0.247,164805431,1
nginx,gcc,native,1,5,4373310,,,,421437373,7976531951,,26275.45,48374423227,525510,238114289,0,201964,21.467948635,1,14482375757,0.19,1123270586,5
nginx,gcc,native,1,9,8225239,,,,800172601,14244208276,,45016.94,85835700046,900340,557132994,0,733550,21.686131651,1,25803727798,0.2,2162711341,9
nginx,gcc,native,1,13,11026725,,,,1012431334,16721830025,,51469.92,100537524071,1000000,750157157,0,1752298,21.179074199,1,30316730469,0.253,2654755727,13
nginx,gcc,native,1,17,11303833,,,,1041486838,16770551799,,51524.03,100526441314,1000000,762410724,0,1696508,21.153438393,1,30368845885,0.33,2713597790,17
nginx,gcc,native,1,21,10426104,,,,1052969634,16757131001,,51624.42,100501598809,1000000,770167029,0,1796352,21.114929884,1,30370795619,0.407,2734190715,21
nginx,gcc,native,1,25,10823786,,,,1072589676,16797651623,,51574.52,100388711311,1000000,775907596,0,1881875,21.13707167,1,30330996962,0.485,2768725651,25
nginx,gcc,native,1,29,10915458,,,,1091288831,16779997741,,51211.41,100438949904,1000000,784809413,0,1849622,21.280774184,1,30374547271,0.566,2803129960,29
nginx,gcc,mpx_no_narrow_bounds,1,1,893158,,,,91674071,1375588106,,3889.99,8645430439,77800,28820743,0,1249614,21.24643977,1,2502048365,0.257,219687624,1
nginx,gcc,mpx_no_narrow_bounds,1,5,4398319,,,,542589577,8810966733,,25177.83,55746573067,503558,311846388,0,1090013,21.459481418,1,16247997357,0.199,1481801597,5
nginx,gcc,mpx_no_narrow_bounds,1,9,8479207,,,,1055370810,16137804227,,43565.99,101845099909,871320,676420306,0,1945781,21.690814361,1,29777791431,0.207,2873620912,9
nginx,gcc,mpx_no_narrow_bounds,1,13,11203654,,,,1265039762,19017909740,,49586.92,119785800679,991739,883768844,0,3167115,21.751089163,1,35095771702,0.262,3433822522,13
nginx,gcc,mpx_no_narrow_bounds,1,17,11256830,,,,1313914353,19106998647,,49667.43,119976634510,993349,905113908,0,2358154,21.741362973,1,35204349380,0.342,3509818095,17
nginx,gcc,mpx_no_narrow_bounds,1,21,11053136,,,,1340213420,19059729030,,49508.45,119758956453,990171,907671480,0,3188932,21.74044969,1,35134557609,0.424,3550904191,21
nginx,gcc,mpx_no_narrow_bounds,1,25,11498246,,,,1360688815,19137519360,,49569.81,119815706711,991399,932665391,0,3359102,21.756945027,1,35212825861,0.504,3628359162,25
nginx,gcc,mpx_no_narrow_bounds,1,29,12529547,,,,1369667318,19166497525,,49675.33,120042397871,993507,921208507,0,3348059,21.757181817,1,35268192695,0.584,3652269630,29
nginx,gcc,asan,1,1,21392408,,,,95871966,1457703270,,3709.97,9996928670,74201,49673571,0,2493274,21.269763823,1,2685834187,0.27,238579936,1
nginx,gcc,asan,1,5,111679308,,,,554873707,9018582782,,24293.72,62227809049,485877,392475304,0,4545368,21.520788437,1,16715445340,0.206,1424451288,5
nginx,gcc,asan,1,9,184970046,,,,1028856498,16239823385,,41376.79,111747816619,827537,828935073,0,10027774,21.714311296,1,30309695580,0.218,2795311304,9
nginx,gcc,asan,1,13,214551502,,,,1268718870,19269892868,,48213.11,132144044705,964263,1041609920,0,12362489,21.786085419,1,35939089653,0.27,3393007075,13
nginx,gcc,asan,1,17,215272578,,,,1342139845,19562133900,,48821.18,133535911622,976425,1076900239,0,13116031,21.801455586,1,36399030595,0.348,3546765475,17
nginx,gcc,asan,1,21,212184041,,,,1391414063,19655202037,,48821.63,134260752676,976433,1104359716,0,13145904,21.804686798,1,36644557050,0.43,3674000514,21
nginx,gcc,asan,1,25,211879422,,,,1419188425,19699568342,,48876.13,134182409997,977525,1101947152,0,13336701,21.800402115,1,36658561643,0.511,3728127361,25
nginx,gcc,asan,1,29,212284977,,,,1449337862,19682240318,,48824.35,133749554120,976489,1105095019,0,14000618,21.79936444,1,36560093229,0.594,3772244224,29
