name,compiler,type,threads,input,sgxtime,num_clients,mpxbtnum,sgxmem,tput,lat,mpxerrors,failed_requests,complete_requests
nginx,gcc,native,1,1,,1,,,4297.37,0.233,,0,85948
nginx,gcc,native,1,5,,5,,,26826.68,0.186,,0,536535
nginx,gcc,native,1,9,,9,,,46170.7,0.195,,0,923415
nginx,gcc,native,1,13,,13,,,51636.9,0.252,,0,1000000
nginx,gcc,native,1,17,,17,,,51711.3,0.329,,0,1000000
nginx,gcc,native,1,21,,21,,,51239.06,0.41,,0,1000000
nginx,gcc,native,1,25,,25,,,51213.43,0.488,,0,1000000
nginx,gcc,native,1,29,,29,,,51640.48,0.562,,0,1000000
nginx,gcc,native,1,1,,1,,,4073.95,0.245,,0,81480
nginx,gcc,native,1,5,,5,,,26905.94,0.186,,0,538120
nginx,gcc,native,1,9,,9,,,46162.3,0.195,,0,923248
nginx,gcc,native,1,13,,13,,,51637.31,0.252,,0,1000000
nginx,gcc,native,1,17,,17,,,51712.53,0.329,,0,1000000
nginx,gcc,native,1,21,,21,,,51543.34,0.407,,0,1000000
nginx,gcc,native,1,25,,25,,,51653.19,0.484,,0,1000000
nginx,gcc,native,1,29,,29,,,51738.04,0.561,,0,1000000
nginx,gcc,native,1,1,,1,,,4210.79,0.237,,0,84216
nginx,gcc,native,1,5,,5,,,26918.04,0.186,,0,538361
nginx,gcc,native,1,9,,9,,,46220.6,0.195,,0,924414
nginx,gcc,native,1,13,,13,,,51650.22,0.252,,0,1000000
nginx,gcc,native,1,17,,17,,,51688.05,0.329,,0,1000000
nginx,gcc,native,1,21,,21,,,51492.58,0.408,,0,1000000
nginx,gcc,native,1,25,,25,,,51490.29,0.486,,0,1000000
nginx,gcc,native,1,29,,29,,,51712.93,0.561,,0,1000000
nginx,gcc,native,1,1,,1,,,4045.69,0.247,,0,80914
nginx,gcc,native,1,5,,5,,,26651.78,0.188,,0,533037
nginx,gcc,native,1,9,,9,,,46063.48,0.195,,0,921271
nginx,gcc,native,1,13,,13,,,51639.94,0.252,,0,1000000
nginx,gcc,native,1,17,,17,,,51714.9,0.329,,0,1000000
nginx,gcc,native,1,21,,21,,,51720.67,0.406,,0,1000000
nginx,gcc,native,1,25,,25,,,50523.34,0.495,,0,1000000
nginx,gcc,native,1,29,,29,,,51663.95,0.561,,0,1000000
nginx,gcc,native,1,1,,1,,,4022.98,0.249,,0,80460
nginx,gcc,native,1,5,,5,,,26748.02,0.187,,0,534962
nginx,gcc,native,1,9,,9,,,46722.07,0.193,,0,934442
nginx,gcc,native,1,13,,13,,,51645.19,0.252,,0,1000000
nginx,gcc,native,1,17,,17,,,51704.6,0.329,,0,1000000
nginx,gcc,native,1,21,,21,,,51609.21,0.407,,0,1000000
nginx,gcc,native,1,25,,25,,,51624.62,0.484,,0,1000000
nginx,gcc,native,1,29,,29,,,51708.64,0.561,,0,1000000
nginx,gcc,native,1,1,,1,,,4243.74,0.236,,0,84875
nginx,gcc,native,1,5,,5,,,26561.93,0.188,,0,531240
nginx,gcc,native,1,9,,9,,,46311.69,0.194,,0,926235
nginx,gcc,native,1,13,,13,,,51640.79,0.252,,0,1000000
nginx,gcc,native,1,17,,17,,,51699.8,0.329,,0,1000000
nginx,gcc,native,1,21,,21,,,51350.95,0.409,,0,1000000
nginx,gcc,native,1,25,,25,,,51346.56,0.487,,0,1000000
nginx,gcc,native,1,29,,29,,,51741.13,0.56,,0,1000000
nginx,gcc,native,1,1,,1,,,4046.27,0.247,,0,80926
nginx,gcc,native,1,5,,5,,,26877.64,0.186,,0,537553
nginx,gcc,native,1,9,,9,,,46346.43,0.194,,0,926929
nginx,gcc,native,1,13,,13,,,51421.71,0.253,,0,1000000
nginx,gcc,native,1,17,,17,,,51408.42,0.331,,0,1000000
nginx,gcc,native,1,21,,21,,,51300.61,0.409,,0,1000000
nginx,gcc,native,1,25,,25,,,51696.49,0.484,,0,1000000
nginx,gcc,native,1,29,,29,,,51724.34,0.561,,0,1000000
nginx,gcc,native,1,1,,1,,,3898.01,0.257,,0,77961
nginx,gcc,native,1,5,,5,,,27045.34,0.185,,0,540907
nginx,gcc,native,1,9,,9,,,46490.06,0.194,,0,929802
nginx,gcc,native,1,13,,13,,,51685.19,0.252,,0,1000000
nginx,gcc,native,1,17,,17,,,51723.26,0.329,,0,1000000
nginx,gcc,native,1,21,,21,,,51727.72,0.406,,0,1000000
nginx,gcc,native,1,25,,25,,,51710.06,0.483,,0,1000000
nginx,gcc,native,1,29,,29,,,51726.16,0.561,,0,1000000
nginx,gcc,native,1,1,,1,,,3797.03,0.263,,0,75941
nginx,gcc,native,1,5,,5,,,26921.98,0.186,,0,538444
nginx,gcc,native,1,9,,9,,,46327.79,0.194,,0,926557
nginx,gcc,native,1,13,,13,,,51691.35,0.251,,0,1000000
nginx,gcc,native,1,17,,17,,,51721.07,0.329,,0,1000000
nginx,gcc,native,1,21,,21,,,51716.5,0.406,,0,1000000
nginx,gcc,native,1,25,,25,,,51737.85,0.483,,0,1000000
nginx,gcc,native,1,29,,29,,,51706.29,0.561,,0,1000000
nginx,gcc,native,1,1,,1,,,3706.46,0.27,,0,74130
nginx,gcc,native,1,5,,5,,,27179.28,0.184,,0,543586
nginx,gcc,native,1,9,,9,,,46535.61,0.193,,0,930714
nginx,gcc,native,1,13,,13,,,51621.96,0.252,,0,1000000
nginx,gcc,native,1,17,,17,,,51208.05,0.332,,0,1000000
nginx,gcc,native,1,21,,21,,,51725.84,0.406,,0,1000000
nginx,gcc,native,1,25,,25,,,51722.84,0.483,,0,1000000
nginx,gcc,native,1,29,,29,,,51741.83,0.56,,0,1000000
nginx,icc,native,1,1,,1,,,4006.8,0.25,,0,80136
nginx,icc,native,1,5,,5,,,26413.63,0.189,,0,528275
nginx,icc,native,1,9,,9,,,42559.2,0.211,,0,851186
nginx,icc,native,1,13,,13,,,44300.69,0.293,,0,886015
nginx,icc,native,1,17,,17,,,44313.52,0.384,,0,886273
nginx,icc,native,1,21,,21,,,44092.58,0.476,,0,881854
nginx,icc,native,1,25,,25,,,44254.45,0.565,,0,885090
nginx,icc,native,1,29,,29,,,44314.88,0.654,,0,886300
nginx,icc,native,1,1,,1,,,3831.86,0.261,,0,76638
nginx,icc,native,1,5,,5,,,26228.13,0.191,,0,524564
