"name","compiler","type","input","threads","num_clients","tput","lat"
"bin/memcached","gcc","native",32,1,32,177149,180
"bin/memcached","gcc","native",64,1,64,260313,245
"bin/memcached","gcc","native",128,1,128,280494,455
"bin/memcached","gcc","native",192,1,192,281100,682
"bin/memcached","gcc","native",256,1,256,281423,909
"bin/memcached","gcc","native",320,1,320,281443,1136
"bin/memcached","gcc","native",384,1,384,281228,1364
"bin/memcached","gcc","native",448,1,448,281817,1589
"bin/memcached","gcc","native",512,1,512,281742,1816
"bin/memcached","gcc","native",32,1,32,178327,178
"bin/memcached","gcc","native",64,1,64,260710,244
"bin/memcached","gcc","native",128,1,128,280458,455
"bin/memcached","gcc","native",192,1,192,281163,682
"bin/memcached","gcc","native",256,1,256,281187,909
"bin/memcached","gcc","native",320,1,320,281564,1135
"bin/memcached","gcc","native",384,1,384,281563,1363
"bin/memcached","gcc","native",448,1,448,281786,1589
"bin/memcached","gcc","native",512,1,512,281445,1818
"bin/memcached","gcc","native",32,1,32,177119,180
"bin/memcached","gcc","native",64,1,64,260587,245
"bin/memcached","gcc","native",128,1,128,280507,455
"bin/memcached","gcc","native",192,1,192,281398,681
"bin/memcached","gcc","native",256,1,256,280994,910
"bin/memcached","gcc","native",320,1,320,281329,1136
"bin/memcached","gcc","native",384,1,384,281499,1363
"bin/memcached","gcc","native",448,1,448,281535,1590
"bin/memcached","gcc","native",512,1,512,281579,1817
"bin/memcached","gcc","native",32,1,32,176954,180
"bin/memcached","gcc","native",64,1,64,259863,245
"bin/memcached","gcc","native",128,1,128,280575,455
"bin/memcached","gcc","native",192,1,192,281218,682
"bin/memcached","gcc","native",256,1,256,281363,909
"bin/memcached","gcc","native",320,1,320,281342,1136
"bin/memcached","gcc","native",384,1,384,281538,1363
"bin/memcached","gcc","native",448,1,448,281720,1589
"bin/memcached","gcc","native",512,1,512,281411,1818
"bin/memcached","gcc","native",32,1,32,180173,177
"bin/memcached","gcc","native",64,1,64,260006,245
"bin/memcached","gcc","native",128,1,128,280192,456
"bin/memcached","gcc","native",192,1,192,281147,682
"bin/memcached","gcc","native",256,1,256,281245,909
"bin/memcached","gcc","native",320,1,320,281462,1136
"bin/memcached","gcc","native",384,1,384,281419,1363
"bin/memcached","gcc","native",448,1,448,281295,1592
"bin/memcached","gcc","native",512,1,512,281567,1817
"bin/memcached","gcc","native",32,1,32,177926,179
"bin/memcached","gcc","native",64,1,64,260584,245
"bin/memcached","gcc","native",128,1,128,280460,455
"bin/memcached","gcc","native",192,1,192,281135,682
"bin/memcached","gcc","native",256,1,256,281670,908
"bin/memcached","gcc","native",320,1,320,281569,1135
"bin/memcached","gcc","native",384,1,384,281530,1363
"bin/memcached","gcc","native",448,1,448,281721,1589
"bin/memcached","gcc","native",512,1,512,281251,1820
"bin/memcached","gcc","native",32,1,32,178216,178
"bin/memcached","gcc","native",64,1,64,260140,245
"bin/memcached","gcc","native",128,1,128,280056,456
"bin/memcached","gcc","native",192,1,192,281489,681
"bin/memcached","gcc","native",256,1,256,281321,909
"bin/memcached","gcc","native",320,1,320,281457,1136
"bin/memcached","gcc","native",384,1,384,281618,1363
"bin/memcached","gcc","native",448,1,448,281595,1590
"bin/memcached","gcc","native",512,1,512,281267,1819
"bin/memcached","gcc","native",32,1,32,176380,180
"bin/memcached","gcc","native",64,1,64,260487,245
"bin/memcached","gcc","native",128,1,128,280527,455
"bin/memcached","gcc","native",192,1,192,281025,682
