name,compilertype,L1 load hits,L1 store hits,L2 load hits,LLC load hits,LLC load misses,LLC store misses
wordcnt,gcc-native,12.8255044558,12.1488527067,4.6613021022,4.1076035581,0.0501875027,0.0086192863
matrixmul,gcc-native,24.1532138419,8.9912493229,0.3642772725,0.0028672219,0.0007307459,0.0001541219
smatch,gcc-native,9.9065187883,4.127493782,0.0369688027,0.0016169406,0.000835852,0.0001119198
matrixmul,clang-asan,25.1398851619,6.9475973473,0.2610944822,0.002074138,0.0006310033,0.0001982267
smatch,clang-asan,11.9780893394,0.1692778946,0.1400053193,0.0040292559,0.0018372379,0.0003935806
wordcnt,clang-asan,19.5682285496,18.0290289029,0.342550526,0.0816389108,0.00157623,0.0005088847
smatch,icc-mpx,18.4390126076,11.9163464527,0.0142186966,0.0010299977,0.0001762958,3.90530934469737E-05
wordcnt,icc-mpx,26.5861990031,20.29349098,4.1285166736,1.823486646,0.0751650206,0.0022708954
matrixmul,icc-mpx,21.7646443634,9.8519962585,0.3968515648,0.003124072,0.0008947879,0.0002510328
smatch,gcc-mpx,16.9188290833,16.2265044448,0.0211291086,0.0013671495,0.0002576411,6.72993717927985E-05
matrixmul,gcc-mpx,28.9826363989,4.8623299268,0.1339936102,0.0013900051,0.0002709012,8.35297224677645E-05
wordcnt,gcc-mpx,15.1976977534,21.6700632835,7.4092746947,5.8776979215,0.3858949083,0.0049688793
matrixmul,safecode-enabled,28.1612022334,12.7680619001,0.455905773,0.0034635566,0.0012934038,0.0003572123
wordcnt,safecode-enabled,22.8895539946,16.5997388988,1.3991968313,1.0234962254,0.0095852896,0.0032407119
smatch,safecode-enabled,9.9720299261,0.2906408694,0.1965748352,0.0083486864,0.0030413547,0.0005338447
matrixmul,softbound-enabled,40.482761353,4.9321752771,0.1720302148,0.0014113738,0.0005117828,5.29908846327499E-05
smatch,softbound-enabled,10.5776890449,0.1403171835,0.1019695842,0.0047216145,0.002025395,0.000292515
wordcnt,softbound-enabled,28.5538375873,13.9285864897,1.2577189955,0.2487702228,0.1866676323,0.0005882335
facesim,gcc-native,27.3334352806,12.4259758489,0.9143883991,0.0643142233,0.01254141,0.1637299758
blackscholes,gcc-native,26.8612659249,7.2652272206,0.0930272486,0.0032674425,0.0009324397,0.0030943764
swaptions,gcc-native,26.6245544591,7.9668624305,0.4835571954,0.0006947065,1.92407595277789E-07,3.32419321062316E-06
facesim,clang-asan,23.4626299707,6.5010257237,0.3935539087,0.0181189855,0.0045196725,0.0613263755
swaptions,clang-asan,27.1440000839,4.6761966048,0.4460768249,0.0043495368,0.0020158267,0.0604040185
blackscholes,clang-asan,23.6663804658,7.4257912422,0.0825808665,0.0025980532,0.0005842874,0.0030684134
swaptions,icc-mpx,26.0259473967,6.1958529404,0.115507798,0.0001051801,1.55138400924174E-07,9.27150281927349E-06
facesim,icc-mpx,24.0526154726,9.9638051691,0.8647384726,0.0773496474,0.014873721,0.1521942303
blackscholes,icc-mpx,28.8905676105,9.8038303087,0.1159110388,0.0036132803,0.0011000924,0.0040310126
swaptions,gcc-mpx,24.9066742342,6.1187078705,0.3201002216,0.0004787476,3.1578886139725E-07,8.20787977216734E-06
blackscholes,gcc-mpx,26.7881794221,6.9015701423,0.0888520367,0.0022752313,0.0008213715,0.0028687721
facesim,gcc-mpx,27.5394456229,8.8774162666,0.3122583897,0.01396402,0.004258596,0.0524240998
blackscholes,safecode-enabled,25.1054614511,8.531308493,0.0863420564,0.0036943993,0.0008572957,0.0027860192
swaptions,safecode-enabled,25.4079899636,19.0409638602,0.0275899555,0.0002538919,0.000000038,1.79306917961429E-07
facesim,safecode-enabled,,,,,,
facesim,softbound-enabled,,,,,,
swaptions,softbound-enabled,42.2827319729,11.3797985383,0.1371971862,0.0003432733,7.29193061165784E-07,8.8927327435415E-05
blackscholes,softbound-enabled,,,,,,
perlbmk,gcc-native,26.6113377821,10.054180858,0.1945679507,0.0269556359,0.0029988459,0.0200687675
mcf,gcc-native,20.0778026202,10.7454786538,9.3753342671,5.1958656534,2.1322569166,0.0396451264
bz2,gcc-native,21.974542414,11.5523491262,0.9557591076,0.3843948817,0.0008954281,0.004546222
bz2,clang-asan,20.3211641305,5.3777439517,0.4223481041,0.1588791057,0.0003339359,0.0021470843
perlbmk,clang-asan,23.2350000996,8.9993925553,1.1765211153,0.2631900263,0.0175332647,0.5734579947
mcf,clang-asan,21.5947988047,3.3416459974,3.2398441333,1.8728536577,0.4874326493,0.0140966681
bz2,icc-mpx,17.3678782045,9.1119992083,0.7167050038,0.2706770063,0.0006660925,0.0022961328
perlbmk,icc-mpx,25.2236230462,12.1901817878,2.2008798669,0.2720368564,0.0078861798,0.03978911
mcf,icc-mpx,12.7016129653,8.0283626759,11.5245063262,5.1571314823,4.7516764459,0.1434088669
bz2,gcc-mpx,16.3533631489,7.7355504182,0.4676743002,0.1778207228,0.0013953522,0.0057529238
perlbmk,gcc-mpx,,,,,,
mcf,gcc-mpx,13.7518738901,6.0090636951,7.7602346557,3.6214831568,2.7882055822,0.0665886532
perlbmk,safecode-enabled,27.9163770241,17.5350110375,0.0424117214,0.0040553441,0.0008829133,0.0013501459
mcf,safecode-enabled,22.6288813715,10.3726983576,4.3807377881,2.6800557957,0.9288430757,0.0211024198
bz2,safecode-enabled,21.2586349664,11.3558184588,0.8380257786,0.3383409282,0.0009092728,0.003226953
bz2,softbound-enabled,30.5492998739,9.7414347301,0.281471902,0.1068313498,0.000828029,0.0028490744
mcf,softbound-enabled,27.2894817095,9.5510307001,2.8375771546,1.461860054,0.9114535777,0.0236948285
perlbmk,softbound-enabled,,,,,,
