name,icc-mpx,icc-mpx_no_narrow_bounds,icc-mpx_only_write,gcc-mpx,gcc-mpx_no_narrow_bounds,gcc-mpx_only_write
Phoenix,1.3704497532532396,1.220412443882465,1.2311766093343295,1.194389016698661,1.2100723456366498,1.18181825570032
PARSEC,2.548262390082002,2.2269292663149214,2.364595100498794,2.273489878173296,2.3087503744928126,2.250868795252892
SPEC,2.6343573840576124,2.4923437639840444,2.446724885108188,2.481466095051734,2.65758723992801,2.3461855287195696
smatch,1.0044219209907763,1.004439315241296,1.0043773009568349,1.005132553138867,1.0051045683958464,1.003936016288633
matrixmul,1.3366992742189965,1.1144682865257178,1.183449037551278,1.1814555068310986,1.1888169455570154,1.1306220019947124
wordcnt,1.1981489241264731,1.193543288563468,1.2017106646376876,1.1922768769386825,1.2014980227276069,1.1965768931096834
blackscholes,1.0076415240467695,1.0063194919419147,1.0062793337825096,1.003804956320427,1.0041707317228594,1.0034538374236668
facesim,1.152788442920058,1.1556345530100636,1.1537466468893207,1.1558461764606112,1.1558690924441328,1.1550350712543862
swaptions,3.4365826119683858,3.637184794881445,3.4323171496675453,3.1958637469586377,2.9909367396593676,2.93448905109489
bz2,1.0519940435696253,1.057670793837967,1.0624896064825313,3.4325952526468035,3.3772980400939905,3.370958619145051
mcf,4.991551189740874,4.990090806731866,4.99096564015511,4.999063251144579,4.999052079978105,4.999015540954428
perlbmk,3.8328607422460013,3.8808195363752223,3.8778671145906136,,5.129966171402533,
