name,icc-mpx,icc-mpx_no_narrow_bounds,icc-mpx_only_write,gcc-mpx,gcc-mpx_no_narrow_bounds,gcc-mpx_only_write
Phoenix,1.5675425928649942,1.5650058915308156,1.2714349723276381,3.0101958289561987,3.00995586552072,1.262437717772386
PARSEC,1.257109128770816,1.266208242735121,1.094603977374108,2.04515650370752,2.004937617253887,1.1481734155064822
SPEC,1.6159922599276109,1.5694476797212713,1.206339210339998,2.585672834990319,2.264703751756477,1.5225733032080724
smatch,2.46014662873473,2.43213711530143,1.3658801316590607,1.290610178927506,1.2921624763335386,1.0530357603681926
matrixmul,1.2661752214250195,1.266279154382624,1.08839132323629,3.908880732953841,3.909678394482913,1.3074477212485014
wordcnt,2.9637911621686306,2.963958969700698,2.7670404601250516,2.386870287484506,2.3820143089134356,2.359351401181918
blackscholes,1.0048564429417663,1.0037054300498987,1.0051866959523013,0.9991285428030989,0.9991806818875176,1.0029572721517195
facesim,1.2694847728916077,1.1857480834562752,1.118516364180505,2.6106814407900916,2.526962741656594,1.3046991074995777
swaptions,1.6504147890580119,1.6490904959314674,1.0898345249505197,1.3154608744674554,1.315400043929035,1.0539841117500472
bz2,1.38644466769375,1.3799218283093595,1.1130009515330532,2.2252781113463436,2.1861422368778065,1.3601999377665746
mcf,2.3352805858047887,2.3959083861779007,1.571368501211833,2.442123257970787,2.441708076469255,1.5846540263313817
perlbmk,2.5537612324877967,2.6020954206472835,2.2814046908951835,,3.0813327906847663,
