name,compilertype,bndcl,bndcu,bndldx,bndstx,bndmovreg,bndmovmem
wordcnt,icc-mpx,0.6295332247,0.6295332247,10.1531207875,9.8091084561,0.0005860568,2.1383721466
smatch,icc-mpx,4.1478391637,4.147839192,1.0499138478,1.0499138442,1.76623784206477E-09,4.291466799
matrixmul,icc-mpx,18.4768156403,18.4768156403,1.09492240809663E-08,5.47461204048314E-09,5.47461204048314E-09,0.008212544
wordcnt,icc-mpx_only_write,0.1819639939,0.1819639939,10.9652586796,10.5667285684,0.0001697329,0.473216156
matrixmul,icc-mpx_only_write,7.5548320498,7.5548320498,1.34308125330344E-08,6.71540626651718E-09,6.71540626651718E-09,0.010073866
smatch,icc-mpx_only_write,1.9438893972,1.9438894307,0.217543904,0.2175438999,0,2.8140656265
wordcnt,gcc-mpx,2.726596821,2.726596796,2.4933340597,0.0005151503,0.0751999118,1.584291208
smatch,gcc-mpx,8.4432581888,8.4432581888,4.42075904809107E-09,6.6311385721366E-09,1.4288250706,6.4547393713
matrixmul,gcc-mpx,21.9681159955,21.9681159955,5.0638124668,1.50038887875666E-09,1.50038887875666E-09,0.0022507434
matrixmul,gcc-mpx_only_write,3.8206894135,3.8206894135,3.8206894147,3.39616836657994E-09,3.39616836657994E-09,0.0050946125
smatch,gcc-mpx_only_write,3.8404429834,3.8404429834,2.52096762067247E-09,7.56290286201741E-09,1.6295942391,7.2306746887
wordcnt,gcc-mpx_only_write,0.6018436606,0.6018436334,1.3974911411,0.000560453,0.0823733845,1.7236148376
facesim,icc-mpx,5.286251298807301,5.33457813726356,0.8459588202000113,0.09613100790577848,0.02036201559996228,1.4321149253510708
swaptions,icc-mpx,10.538806326460856,10.538806318637313,3.644304948848973,0.0034229499177034052,0.0009779826085058116,2.9602336769402884
blackscholes,icc-mpx,1.6690908175990975,1.6812609621709738,0.002374665205082868,0.01662263981294359,1.1873311777440208e-09,0.767016013012373
facesim,icc-mpx_only_write,1.6551708210305778,1.6612147985371726,0.44415204682552767,0.10766784127388414,0.01494725916398767,0.8123031099819736
blackscholes,icc-mpx_only_write,0.24965224156331878,0.2603998780389844,0.0024566040969708604,0.017196220326347107,0.0,0.2997055892833269
swaptions,icc-mpx_only_write,2.69834953525664,2.69834953525664,0.9864431645348982,0.004625184540688908,0.001321466348732776,0.44267744536615317
blackscholes,gcc-mpx,1.2998786527155237,1.2998786527155237,1.299878653262457,1.458489371092599e-09,7.292446855462995e-10,5.5787218444291914e-08
swaptions,gcc-mpx,11.407587482399704,11.407587482399704,4.089362561340915,0.004186558775820459,0.003425345287196945,3.251315860817562
facesim,gcc-mpx,17.504759770725364,17.504759770725364,3.395381048169606,0.03574121945779533,0.08220960481472281,2.093679994026995
blackscholes,gcc-mpx_only_write,0.20220412432241774,0.20220412432241774,0.202204125657728,1.5260688628107e-09,7.6303443140535e-10,5.7609099571103916e-08
facesim,gcc-mpx_only_write,5.356638560132524,5.356638560132524,1.2090961997643557,0.07149535653502642,0.025313235237527175,1.289694977130729
swaptions,gcc-mpx_only_write,3.6046244688183204,3.6046244688183204,1.9664902414463368,0.005715232521547187,0.004156523154927413,1.8672549862168146
perlbmk,icc-mpx,6.7654069018,8.5659058703,3.4723197408,1.2678362131,0.5414487059,6.6683269708
mcf,icc-mpx,15.1141022264,14.4031818356,7.4666371281,2.1868036871,0.8643252258,0.331745661
bz2,icc-mpx,10.365389238,13.5748010123,0.5728847176,0.113634186,0.0017269049,0.9613928866
bz2,icc-mpx_only_write,3.5898186398,7.5938436857,0.5770029131,0.0887079647,0.0020407863,0.6838716603
perlbmk,icc-mpx_only_write,1.9738734052,1.9749924855,3.4452906,1.4691014789,0.5712104113,7.8232183135
mcf,icc-mpx_only_write,3.7468872337,3.7468967229,4.1026459855,2.9856803228,1.0715203058,0.1910008341
perlbmk,gcc-mpx,11.8823603475,11.8819843187,3.6143551697,0.9840541573,0.2196415882,11.7552199638
mcf,gcc-mpx,18.2362099009,18.2362099009,5.2147992806,1.4720290793,0.4848200195,1.3160954519
bz2,gcc-mpx,16.5971915601,16.5971915601,0.759517039,0.0765772526,0.3653887613,1.3677924437
perlbmk,gcc-mpx_only_write,2.4641863311,2.4636130896,3.5853545002,1.4718637757,0.2434290005,7.3203491167
mcf,gcc-mpx_only_write,7.128565985,7.128565985,4.4586584304,2.8034042568,0.4687558657,0.3082311796
bz2,gcc-mpx_only_write,7.5656547996,7.5656547996,0.8020443889,0.1212246844,0.2660047331,0.8381116315
