name,compiler,type,threads,input,mpxbtnum,dtlb_store_misses,cycles,dtlb_loads,dtlb_load_misses,instructions,time,branch_misses,mpxerrors,dtlb_stores,branch_instructions,minor_faults,major_faults
arraywrite,gcc,mpx,1,native,,5397,893192922,9405703,3871,2423425669,0.239661491,65265,,361295555,354021820,917,0
arraywrite,gcc,mpx,1,native,,3019,921525852,6436488,2360,2537295247,0.246544674,65380,,361817311,363773681,691,0
arraywrite,gcc,mpx,1,native,,3622,914195961,8290134,2152,2534576365,0.241899182,63751,,361611557,364217313,770,0
arraywrite,gcc,mpx,1,native,,2494,900757616,9291690,2181,2449599244,0.239556755,68848,,361453438,358039894,810,0
arraywrite,gcc,mpx,1,native,,5673,903281102,9404227,2258,2426735467,0.242229984,64074,,361411315,354986656,943,0
arraywrite,gcc,mpx,1,native,,5984,915600165,6465080,1572,2515871394,0.247579945,66473,,361001483,363668339,993,0
arraywrite,gcc,mpx,1,native,,2875,914378034,7416190,2379,2531593731,0.242126137,63155,,361990672,363170036,708,0
arraywrite,gcc,mpx,1,native,,6573,900992506,9540188,2222,2415236059,0.241984285,63385,,360089667,354333507,1059,0
arraywrite,gcc,mpx,1,native,,3980,906484270,9301114,2214,2438924062,0.241982396,62714,,362909016,355800275,842,0
arraywrite,gcc,mpx,1,native,,7311,923289186,6490977,1235,2509099542,0.247757238,65497,,362854639,361289001,1104,0
arrayread,gcc,mpx,1,native,,58,1139032853,538146772,5104,3647110444,0.30189321,61817,,475916,528311408,960,0
arrayread,gcc,mpx,1,native,,81,1136392911,536993516,3955,3649360040,0.305980684,59684,,460397,527842450,884,0
arrayread,gcc,mpx,1,native,,19,1104036691,538212685,5333,3679652193,0.302497173,63705,,514029,533330747,1084,0
arrayread,gcc,mpx,1,native,,33,1140421433,537948599,3851,3651348477,0.301879257,60951,,454803,528680870,855,0
arrayread,gcc,mpx,1,native,,44,1135147962,542760236,2845,3596736751,0.305607009,60855,,421940,523502317,715,0
arrayread,gcc,mpx,1,native,,13,1107228232,538349650,4142,3690012458,0.302474593,62650,,471922,534379559,908,0
arrayread,gcc,mpx,1,native,,27,1140381856,538818030,2830,3650131201,0.302146087,61393,,414848,528638328,699,0
arrayread,gcc,mpx,1,native,,54,1147198674,534935467,2784,3637302556,0.30554038,62264,,414825,524201135,706,0
arrayread,gcc,mpx,1,native,,35,1139981279,537917844,3938,3653045789,0.301884201,60308,,451596,528721186,863,0
arrayread,gcc,mpx,1,native,,17,1100101250,537933307,3225,3676609373,0.301862247,62946,,438044,532129922,787,0
ptrcreation,gcc,mpx,1,native,,2051233,5465581813,1453968395,59727,6615755596,1.448178102,455491,,1599241938,404527162,526086,0
ptrcreation,gcc,mpx,1,native,,2070345,5442823816,1452027549,60571,6594003673,1.454408462,461686,,1597275214,401669232,526302,0
ptrcreation,gcc,mpx,1,native,,2091496,5450283783,1455979113,58457,6584024682,1.449600529,476511,,1598299362,406405296,526123,0
ptrcreation,gcc,mpx,1,native,,2058871,5459997223,1454565132,60809,6602670552,1.448684944,467396,,1598372010,404306668,526415,0
ptrcreation,gcc,mpx,1,native,,2077034,5443319324,1459990624,60357,6559861339,1.452714967,487457,,1598835749,403842665,525947,0
ptrcreation,gcc,mpx,1,native,,2074562,5449448362,1456860765,59820,6579040073,1.448734521,473347,,1599902264,405898138,526091,0
ptrcreation,gcc,mpx,1,native,,2066028,5445862400,1456664332,59402,6571095376,1.45217101,477833,,1599410834,404525085,525701,0
ptrcreation,gcc,mpx,1,native,,2048763,5458027598,1458219307,58740,6592274735,1.450140333,468640,,1595360536,406052274,526458,0
ptrcreation,gcc,mpx,1,native,,2072739,5436452086,1461198195,58769,6566013699,1.451020219,487620,,1597127150,405514981,526110,0
ptrcreation,gcc,mpx,1,native,,1217547,8117189922,1709483457,104889,8737582680,2.688261822,1923707,,1605265755,742243055,288880,0
mallocs,gcc,mpx,1,native,,1309095,4854890235,2745504155,195805,12755708330,1.293499422,711598,,2070888717,2525611166,394163,0
mallocs,gcc,mpx,1,native,,1231113,4886264172,2735368172,255921,12849683169,1.300404722,640478,,2063845284,2542680981,393797,0
mallocs,gcc,mpx,1,native,,1237206,4888122435,2732904325,254718,12875108683,1.303892201,670351,,2053939409,2556901780,394103,0
mallocs,gcc,mpx,1,native,,1215163,4904496437,2739500070,257860,12835499692,1.302271807,749330,,2064913525,2535612380,393932,0
mallocs,gcc,mpx,1,native,,1291163,4812932645,2751877776,198775,12765956822,1.29130469,668609,,2066223196,2533937428,393971,0
mallocs,gcc,mpx,1,native,,1228008,4888410857,2752803602,258919,12846558986,1.30528627,643891,,2052601808,2548164944,393760,0
mallocs,gcc,mpx,1,native,,1287292,4821398961,2743539661,194750,12745909797,1.294824984,638058,,2071909526,2523232159,394163,0
mallocs,gcc,mpx,1,native,,1278548,4864218164,2736806476,195875,12747784412,1.299186727,651264,,2070007849,2516646974,393762,0
mallocs,gcc,mpx,1,native,,1224262,4897543209,2743866484,254068,12839549098,1.299663992,651302,,2064625037,2537741374,393899,0
mallocs,gcc,mpx,1,native,,1257076,4903368879,2735507546,232514,12821360216,1.309360791,646452,,2064783950,2534118072,394234,0
struct,gcc,mpx,1,native,,5492,2013445406,677183764,3177,3146435393,0.533902094,70237,,674154018,146671054,1181,0
struct,gcc,mpx,1,native,,8406,1655817743,678789509,2156,3138214558,0.438154898,70487,,676091206,144736864,1632,0
struct,gcc,mpx,1,native,,7040,2017115339,679104600,2055,3138583619,0.5346926,68674,,679765470,143004977,1337,0
struct,gcc,mpx,1,native,,5594,1665655959,678336606,2084,3140357777,0.440188308,69210,,676283717,143169219,1318,0
struct,gcc,mpx,1,native,,4485,1659938605,676898034,2025,3140324066,0.440534837,70975,,674318634,146303155,1235,0
struct,gcc,mpx,1,native,,7638,1653908511,678023015,2248,3146600281,0.438138095,67142,,675365762,143195781,1567,0
struct,gcc,mpx,1,native,,5082,1660925905,675209173,2010,3143347441,0.440567108,67714,,677270603,144732043,1298,0
struct,gcc,mpx,1,native,,8525,1658134510,680507832,2275,3141242077,0.438024636,68130,,675642190,143735189,1638,0
struct,gcc,mpx,1,native,,5241,1655925076,677986055,2724,3138679814,0.437048349,68097,,676140859,144860133,1317,0
struct,gcc,mpx,1,native,,7543,1663660243,677528192,2142,3132974584,0.441618917,68824,,674863331,147417201,1511,0
arraywrite,gcc,mpx_no_narrow_bounds,1,native,,2399,899362172,9175900,1696,2443645774,0.239460726,68342,,361327748,357075935,677,0
arraywrite,gcc,mpx_no_narrow_bounds,1,native,,7574,897324914,9563681,1840,2426776867,0.242479561,63764,,362904907,352981788,1107,0
arraywrite,gcc,mpx_no_narrow_bounds,1,native,,2470,859725242,9205568,1606,2460031629,0.239426638,67585,,361389066,359248411,719,0
arraywrite,gcc,mpx_no_narrow_bounds,1,native,,5710,905818303,9427788,1783,2432591256,0.242175116,62483,,360753425,355545416,944,0
arraywrite,gcc,mpx_no_narrow_bounds,1,native,,6920,916196146,7599258,1889,2536259535,0.242561815,61391,,362409474,363598522,1057,0
arraywrite,gcc,mpx_no_narrow_bounds,1,native,,2630,890687513,9187675,1590,2412430007,0.241443524,65373,,359983039,354290985,696,0
arraywrite,gcc,mpx_no_narrow_bounds,1,native,,3807,914140581,7303125,3343,2533951917,0.241725695,64777,,362056285,362311457,781,0
arraywrite,gcc,mpx_no_narrow_bounds,1,native,,2526,898154752,9637874,1908,2437696066,0.239782954,64943,,361159775,356716630,1119,0
arraywrite,gcc,mpx_no_narrow_bounds,1,native,,3670,898756607,9351216,1746,2438629230,0.239648998,65357,,362169296,355505851,847,0
arraywrite,gcc,mpx_no_narrow_bounds,1,native,,7981,909160595,8222695,1990,2547407269,0.242257448,64620,,360093697,365234971,1142,0
arrayread,gcc,mpx_no_narrow_bounds,1,native,,69,1138608449,538347802,4759,3647323937,0.301925905,62221,,468768,528765876,886,0
arrayread,gcc,mpx_no_narrow_bounds,1,native,,73,1138920464,537092893,5661,3608643242,0.305778469,60652,,530399,521767557,1142,0
arrayread,gcc,mpx_no_narrow_bounds,1,native,,25,1137486227,538801060,3913,3634778570,0.301656287,60795,,413626,526921192,678,0
arrayread,gcc,mpx_no_narrow_bounds,1,native,,23,1097039525,538096712,3812,3668886632,0.301213303,64639,,456189,531682868,880,0
arrayread,gcc,mpx_no_narrow_bounds,1,native,,36,1146162401,536385235,3475,3666782733,0.305412003,59514,,442939,531073470,818,0
arrayread,gcc,mpx_no_narrow_bounds,1,native,,6,1098184811,538506942,4619,3662866859,0.302294632,62629,,486141,531263316,989,0
arrayread,gcc,mpx_no_narrow_bounds,1,native,,10,1103383523,537687466,4899,3685659359,0.301752418,63026,,497864,533104360,1014,0
arrayread,gcc,mpx_no_narrow_bounds,1,native,,63,1140162486,538211794,5119,3651402359,0.302320137,59885,,497184,528826827,1040,0
arrayread,gcc,mpx_no_narrow_bounds,1,native,,54,1143871493,535943250,3401,3658955466,0.304785786,61322,,436284,527109297,815,0
arrayread,gcc,mpx_no_narrow_bounds,1,native,,38,1141870699,537830759,3404,3657080622,0.301633363,61686,,434424,530494009,787,0
ptrcreation,gcc,mpx_no_narrow_bounds,1,native,,2049127,5451833559,1456134574,62266,6601677725,1.445817378,460835,,1596997974,403265270,526309,0
ptrcreation,gcc,mpx_no_narrow_bounds,1,native,,2052953,5454899453,1455444200,60882,6572255333,1.449828467,454952,,1596198122,399428219,525866,0
ptrcreation,gcc,mpx_no_narrow_bounds,1,native,,2044834,5821380860,1456667003,58779,6613632816,1.543145176,450167,,1594457993,402539643,526174,0
ptrcreation,gcc,mpx_no_narrow_bounds,1,native,,2045368,5452716503,1454584052,63545,6581966521,1.4481153,454301,,1597155360,401485771,525821,0
ptrcreation,gcc,mpx_no_narrow_bounds,1,native,,2050997,5701335253,1456992459,61801,6610825254,1.510501304,449035,,1597912012,401595274,526109,0
ptrcreation,gcc,mpx_no_narrow_bounds,1,native,,2055031,5455933813,1453872188,61438,6604384775,1.445912122,459478,,1599110117,402383213,526109,0
ptrcreation,gcc,mpx_no_narrow_bounds,1,native,,2043468,5700373653,1452031404,58224,6601989282,1.511584019,458389,,1600213683,399289420,526325,0
ptrcreation,gcc,mpx_no_narrow_bounds,1,native,,2054941,5705218122,1453033059,57823,6575896245,1.507140332,446336,,1590161515,391056984,526227,0
ptrcreation,gcc,mpx_no_narrow_bounds,1,native,,2108135,5457997793,1453041174,56637,6578641767,1.451943532,477160,,1598977928,403103957,526376,0
ptrcreation,gcc,mpx_no_narrow_bounds,1,native,,2048037,5466704515,1450899444,58711,6589699693,1.444946704,444951,,1596236649,394432248,526180,0
mallocs,gcc,mpx_no_narrow_bounds,1,native,,1238983,4906699131,2736488334,256313,12839879681,1.303044353,636086,,2068069714,2540018303,394213,0
mallocs,gcc,mpx_no_narrow_bounds,1,native,,1295458,4824772900,2742862947,202458,12801086759,1.290423387,694725,,2061362379,2538927095,394228,0
mallocs,gcc,mpx_no_narrow_bounds,1,native,,1233791,4886091770,2738679802,259516,12834454832,1.303751976,667789,,2052258052,2548685685,393807,0
mallocs,gcc,mpx_no_narrow_bounds,1,native,,1296443,4813168108,2743616771,195073,12755333856,1.2921966,622525,,2072796427,2524616324,394032,0
mallocs,gcc,mpx_no_narrow_bounds,1,native,,1224881,4875059877,2730646777,254130,12771232950,1.298135425,680495,,2061577678,2535583294,393904,0
mallocs,gcc,mpx_no_narrow_bounds,1,native,,1256428,4880037893,2742712041,205544,12839165060,1.306001819,660803,,2062689447,2534749147,393950,0
mallocs,gcc,mpx_no_narrow_bounds,1,native,,1227484,4926064837,2736850944,262832,12816791513,1.308819682,681019,,2069999613,2527575836,394143,0
mallocs,gcc,mpx_no_narrow_bounds,1,native,,1259163,4883906192,2741289770,227470,12868371592,1.298722541,689900,,2063096657,2540732239,394157,0
mallocs,gcc,mpx_no_narrow_bounds,1,native,,1272381,4874773679,2730927459,195822,12859818214,1.299785872,639371,,2076384440,2525596691,393921,0
mallocs,gcc,mpx_no_narrow_bounds,1,native,,1288304,4846534259,2748947080,195492,12741447790,1.296190381,702356,,2065573706,2525420335,394252,0
struct,gcc,mpx_no_narrow_bounds,1,native,,3862,613819739,15316534,2803,974638944,0.170770399,74339,,139849580,146769816,1487,0
struct,gcc,mpx_no_narrow_bounds,1,native,,3882,616340313,15036975,2932,977445661,0.170432721,74152,,140404253,146751392,1206,0
struct,gcc,mpx_no_narrow_bounds,1,native,,4074,645869532,15030206,3217,946827816,0.175174306,69546,,141451469,139983707,1372,0
struct,gcc,mpx_no_narrow_bounds,1,native,,4060,609570705,15053380,2703,968227836,0.170243841,73761,,141681479,146080001,1228,0
struct,gcc,mpx_no_narrow_bounds,1,native,,3998,657524396,14920363,2668,943777205,0.175968278,71902,,140070835,141250635,1230,0
struct,gcc,mpx_no_narrow_bounds,1,native,,4170,611196995,15450817,2868,969798112,0.171042162,74629,,142304597,146320449,1629,0
struct,gcc,mpx_no_narrow_bounds,1,native,,3836,614258554,15527027,2938,975767015,0.170627637,74958,,139786787,146979579,1680,0
struct,gcc,mpx_no_narrow_bounds,1,native,,3807,614159044,15501160,2995,974922886,0.171355972,74646,,139922233,146887869,1671,0
struct,gcc,mpx_no_narrow_bounds,1,native,,5758,646097414,14979533,2658,935330963,0.17918702,66461,,139988458,139529837,1332,0
struct,gcc,mpx_no_narrow_bounds,1,native,,4058,663428898,15371929,2859,950385213,0.176216725,72129,,140367322,142147028,1647,0
arraywrite,gcc,mpx_only_write,1,native,,5491,902006892,9412820,1809,2424765130,0.242133242,62671,,360481466,353970066,926,0
arraywrite,gcc,mpx_only_write,1,native,,5238,912125284,8550177,1688,2524185821,0.244709611,64133,,363810956,362886374,909,0
arraywrite,gcc,mpx_only_write,1,native,,4890,902199120,9360142,1655,2423820583,0.241981748,63995,,361311805,354460982,876,0
arraywrite,gcc,mpx_only_write,1,native,,5436,894125800,9442018,3399,2428521401,0.239333237,64663,,361736201,354238293,926,0
arraywrite,gcc,mpx_only_write,1,native,,6682,915019072,6450742,2159,2530111807,0.248386487,66456,,362199447,363419519,1080,0
arraywrite,gcc,mpx_only_write,1,native,,7406,921404801,7592452,1911,2531823164,0.245221407,63034,,364119807,362098688,1106,0
arraywrite,gcc,mpx_only_write,1,native,,2441,899092061,9364351,1699,2441627020,0.239351892,68743,,361627849,356871283,850,0
