name,compiler,type,threads,input,time,l1_dcache_loads,llc_load_misses,l1_dcache_store_misses,llc_stores,mpxbtnum,llc_store_misses,mpxerrors,instructions,l1_dcache_stores,llc_loads,l1_dcache_load_misses
vips,icc,mpx_only_write,1,native,63.601537334,127908471008,13332904,1,206924341,,21120708,,708848550642,39606913975,211449005,3554832990
vips,icc,mpx_only_write,1,native,63.136904531,127707960795,9519018,1,208942400,,11670553,,707860072436,39600318524,219267357,3555830763
vips,icc,mpx_only_write,1,native,63.5802794,127802544530,11784288,1,210270916,,21251748,,707944236370,39602836119,211891571,3558059905
vips,icc,mpx_only_write,1,native,63.224941675,127767727229,11602530,1,201419099,,26719115,,707558946284,39592595526,207294426,3554587052
vips,icc,mpx_only_write,1,native,63.192288159,127678328073,9126621,1,209646878,,17613763,,706492158505,39597544592,211843233,3562022555
vips,icc,mpx_only_write,1,native,63.426968478,127786389751,12218856,1,205491413,,32062609,,708097624316,39597329044,213063395,3548945510
vips,icc,mpx_only_write,1,native,63.125718806,127764184626,11267258,1,203317286,,28154919,,707356986076,39583421066,210446238,3554984628
vips,icc,mpx_only_write,1,native,63.043277862,127781183775,11627952,1,206099527,,20110258,,708046335528,39589570224,215799004,3556589357
vips,icc,mpx_only_write,1,native,63.022658205,127843318788,12029374,1,184804528,,16646213,,708383476339,39618895608,217887075,3556559378
vips,icc,mpx_only_write,1,native,63.398712705,127790254176,10763559,1,199362307,,15197068,,709153909780,39605283902,213330346,3560656521
vips,icc,mpx_no_narrow_bounds,1,native,84.488686173,132078005557,21333777,1,176829990,,21595244,,862756785433,38879955350,200323909,3502553730
vips,icc,mpx_no_narrow_bounds,1,native,84.410401812,131826008092,10165845,1,176025846,,17241064,,861831039514,38828761571,173755780,3468801813
vips,icc,mpx_no_narrow_bounds,1,native,84.39591581,131873055238,10795171,1,171186311,,17844975,,861815030996,38851424207,174591141,3469201425
vips,icc,mpx_no_narrow_bounds,1,native,84.34710392,131876306696,10660656,1,176350286,,19876041,,861710945191,38854024159,171690344,3467224510
vips,icc,mpx_no_narrow_bounds,1,native,84.764797879,131865113533,10349753,1,177143356,,19464093,,861672040511,38838200025,171211857,3467288880
vips,icc,mpx_no_narrow_bounds,1,native,84.298755705,131876353998,10461002,1,177946980,,19150944,,861692377271,38850742764,174646198,3466857878
vips,icc,mpx_no_narrow_bounds,1,native,84.436330757,131827140391,10322625,1,176744775,,18329171,,861435252738,38831157012,172758195,3467032768
vips,icc,mpx_no_narrow_bounds,1,native,84.631193106,131864949089,10966207,1,167393042,,18627074,,861645221315,38857048281,178139512,3471756761
vips,icc,mpx_no_narrow_bounds,1,native,84.552723239,131837960301,10523527,1,178100010,,20995330,,861432625019,38837757526,174368372,3470303515
vips,icc,mpx_no_narrow_bounds,1,native,84.463607819,131872872212,10292579,1,175266486,,18754784,,861837799579,38855755674,172311401,3467692491
vips,icc,mpx_no_narrow_bounds_only_write,1,native,61.279709468,128243337731,11226111,1,161933625,,19476209,,700799933888,39139464334,178587297,3444201574
vips,icc,mpx_no_narrow_bounds_only_write,1,native,62.592706289,128117890902,10264569,1,177720531,,17197024,,700120333002,39134815976,175233429,3442324364
vips,icc,mpx_no_narrow_bounds_only_write,1,native,61.756442442,128197873749,10810611,1,167882534,,19154018,,700843581183,39121603739,175107591,3446509497
vips,icc,mpx_no_narrow_bounds_only_write,1,native,61.532153522,128215281643,10680813,1,174716509,,18203775,,700579594993,39114229276,178536772,3440029921
vips,icc,mpx_no_narrow_bounds_only_write,1,native,61.333130646,128215761001,11296048,1,168836674,,18960976,,700826522345,39119433893,174126876,3440553249
vips,icc,mpx_no_narrow_bounds_only_write,1,native,61.315800716,128242662196,10733344,1,175887847,,19640516,,700689699966,39131893691,173586793,3446382471
vips,icc,mpx_no_narrow_bounds_only_write,1,native,61.644563805,128214108441,10298619,1,168422732,,18429517,,700889921682,39142388043,182192230,3446327443
vips,icc,mpx_no_narrow_bounds_only_write,1,native,61.429286276,128196724088,11110446,1,175424610,,19867379,,700607312933,39123016304,172484482,3444860248
vips,icc,mpx_no_narrow_bounds_only_write,1,native,61.427066932,128214117073,10746334,1,161639412,,19637567,,700649717434,39125151058,205742463,3445471669
vips,icc,mpx_no_narrow_bounds_only_write,1,native,61.287607372,128204655870,10979449,1,166343838,,19488495,,700738893085,39112880804,175165144,3445004605
