name,compiler,type,threads,input,time,sys_time,major_faults,mpxbtnum,voluntary_context_switches,involuntary_context_switches,mpxerrors,minor_faults,user_time,maxsize
fluidanimate,gcc,native,1,native,206.72,0.04,0,,1,381,,2879,206.65,518924
fluidanimate,gcc,native,1,native,206.7,0.03,0,,1,380,,2876,206.64,518784
fluidanimate,gcc,native,1,native,206.68,0.01,0,,1,376,,2878,206.64,518864
fluidanimate,gcc,native,1,native,206.69,0.03,0,,1,381,,2879,206.64,518912
fluidanimate,gcc,native,1,native,206.73,0.04,0,,1,378,,2881,206.66,518920
fluidanimate,gcc,native,1,native,206.69,0.04,0,,1,379,,2877,206.62,518756
fluidanimate,gcc,native,1,native,206.75,0.03,0,,1,380,,2364,206.69,518684
fluidanimate,gcc,native,1,native,206.77,0.03,0,,1,379,,2879,206.71,518816
fluidanimate,gcc,native,1,native,206.75,0.02,0,,1,383,,2877,206.7,518752
fluidanimate,gcc,native,1,native,206.7,0.04,0,,1,378,,2877,206.63,518824
swaptions,gcc,native,1,native,257.31,0.0,0,,1,460,,873,257.28,6544
swaptions,gcc,native,1,native,256.95,0.0,0,,1,458,,875,256.92,6548
swaptions,gcc,native,1,native,257.25,0.0,0,,1,458,,873,257.22,6592
swaptions,gcc,native,1,native,257.29,0.0,0,,1,457,,872,257.26,6456
swaptions,gcc,native,1,native,257.29,0.0,0,,1,459,,877,257.26,6724
swaptions,gcc,native,1,native,257.79,0.0,0,,1,460,,874,257.76,6576
swaptions,gcc,native,1,native,258.0,0.0,0,,1,462,,878,257.97,6728
swaptions,gcc,native,1,native,257.26,0.0,0,,1,455,,874,257.22,6592
swaptions,gcc,native,1,native,257.22,0.0,0,,1,456,,872,257.18,6500
swaptions,gcc,native,1,native,257.28,0.0,0,,1,460,,875,257.25,6500
x264,gcc,native,1,native,142.67000000000002,0.23,0,,6,285,,7860,142.41,85068
x264,gcc,native,1,native,142.68,0.22,0,,11,290,,6940,142.44,84052
x264,gcc,native,1,native,142.36,0.23,0,,30,294,,7593,142.1,85420
x264,gcc,native,1,native,142.72,0.23,0,,19,292,,7452,142.46,83508
x264,gcc,native,1,native,142.47,0.22,0,,23,285,,6867,142.23,88080
x264,gcc,native,1,native,142.67000000000002,0.19,0,,13,286,,6925,142.45,85500
x264,gcc,native,1,native,142.71,0.2,0,,28,288,,6877,142.48,88068
x264,gcc,native,1,native,142.27,0.26,0,,32,288,,7541,141.98,85388
x264,gcc,native,1,native,142.81,0.22,0,,14,291,,8982,142.56,83412
x264,gcc,native,1,native,142.48,0.24,0,,30,293,,7842,142.2,87380
facesim,gcc,native,1,native,5.38,0.42,0,,2,27,,619253,4.94,2654004
facesim,gcc,native,1,native,5.37,0.47,0,,1,28,,617907,4.89,2652652
facesim,gcc,native,1,native,5.36,0.5,0,,1,25,,618411,4.86,2652668
facesim,gcc,native,1,native,5.39,0.46,0,,1,25,,617334,4.93,2654504
facesim,gcc,native,1,native,5.37,0.46,0,,1,28,,616809,4.9,2654384
facesim,gcc,native,1,native,5.37,0.46,0,,1,28,,617536,4.9,2651144
facesim,gcc,native,1,native,5.38,0.49,0,,1,28,,618238,4.88,2651704
facesim,gcc,native,1,native,5.37,0.5,0,,1,27,,618143,4.86,2653552
facesim,gcc,native,1,native,5.37,0.46,0,,1,25,,616556,4.9,2653380
facesim,gcc,native,1,native,5.37,0.51,0,,1,27,,618718,4.86,2653708
canneal,gcc,native,1,native,160.75,0.3,0,,1,290,,155210,160.42,870412
canneal,gcc,native,1,native,151.57,0.21,0,,81,273,,155794,151.32,871220
canneal,gcc,native,1,native,151.34,0.28,0,,79,271,,155276,151.02,871048
canneal,gcc,native,1,native,151.39,0.22,0,,80,271,,155789,151.12,871156
canneal,gcc,native,1,native,151.12,0.28,0,,72,268,,155785,150.79,871216
canneal,gcc,native,1,native,150.94,0.22,0,,71,269,,155781,150.68,871132
canneal,gcc,native,1,native,150.85,0.28,0,,81,270,,155791,150.51,871096
canneal,gcc,native,1,native,152.14,0.22,0,,89,275,,155803,151.87,871164
canneal,gcc,native,1,native,151.32999999999998,0.23,0,,78,271,,155789,151.06,871116
canneal,gcc,native,1,native,151.39,0.26,0,,80,270,,155792,151.08,871120
blackscholes,gcc,native,1,native,143.23,0.17,0,,1,358,,2099,143.04,627648
blackscholes,gcc,native,1,native,143.28,0.24,0,,1,363,,2609,143.01,627760
blackscholes,gcc,native,1,native,143.2,0.18,0,,1,361,,2607,143.0,627652
blackscholes,gcc,native,1,native,143.26,0.21,0,,1,361,,2609,143.03,627768
blackscholes,gcc,native,1,native,143.2,0.2,0,,1,364,,2610,142.98,627808
blackscholes,gcc,native,1,native,143.24,0.26,0,,1,361,,2608,142.96,627664
blackscholes,gcc,native,1,native,143.22,0.23,0,,2,324,,2096,142.97,627640
blackscholes,gcc,native,1,native,143.23,0.18,0,,1,361,,2609,143.02,627712
blackscholes,gcc,native,1,native,143.24,0.19,0,,1,365,,2610,143.03,627724
blackscholes,gcc,native,1,native,143.25,0.18,0,,1,362,,2606,143.05,627700
dedup,gcc,native,1,native,19.78,2.54,0,,1,360,,395590,17.24,882704
dedup,gcc,native,1,native,19.77,2.52,0,,1,358,,396450,17.25,882992
dedup,gcc,native,1,native,19.79,2.36,0,,1,360,,396747,17.42,882540
dedup,gcc,native,1,native,19.86,2.53,0,,1,358,,395836,17.32,883472
dedup,gcc,native,1,native,19.79,2.46,0,,1,358,,396403,17.32,882876
dedup,gcc,native,1,native,19.82,2.54,0,,1,361,,397138,17.26,883368
