name,compiler,type,threads,input,bndldx,mpxbtnum,bndstx,bndmovreg,sgxtime,sgxmem,bndmovmem,instructions,memory_reads,bndcu,bndmk,mpxerrors,bndcl,memory_writes
blackscholes,icc,mpx,1,native,10000012,,70000014,5,,,3230000304,421112499505,119028871008,7080000061,19,,7028750061,41128740900
blackscholes,icc,mpx_only_write,1,native,10000006,,70000008,0,,,1220000282,407066242881,119028869105,1060000000,19,,1016250000,41128740092
blackscholes,gcc,mpx,1,native,7130000007,,8,4,,,306,548512739178,140353487554,7130000004,5,,7130000004,37808196255
blackscholes,gcc,mpx_only_write,1,native,1060000007,,8,4,,,302,524222739547,140353487563,1060000000,5,,1060000000,37808196257
bodytrack,icc,mpx,1,native,12098974490,,536747074,136407610,,,7373689822,853052112036,136121493727,43042711517,618792594,,42959493570,32091111469
bodytrack,icc,mpx_only_write,1,native,1807852294,,519050859,23605111,,,4044681426,746815744080,133790629383,4337398772,578327512,,4337408333,29272570320
bodytrack,gcc,mpx,1,native,15829420757,,1058039749,1435460499,,,20962446867,1546175431076,336267607424,212770254263,4393099080,,212770254263,83870736563
bodytrack,gcc,mpx_only_write,1,native,2119473905,,651783253,814670751,,,6003359237,839888517435,163671943111,11365999538,1821828125,,11365999538,36144833563
canneal,icc,mpx,1,native,3586585081,,402747366,765988345,,,6519643852,166994642736,44475090195,6516873606,205729542,,6928737268,11793012329
canneal,icc,mpx_only_write,1,native,1605379031,,389089015,717513288,,,5272704304,146429481796,43483895192,484488589,178412840,,394488560,10809134920
canneal,gcc,mpx,1,native,4219672664,,1025559669,672357306,,,6266019236,221080153600,50747711024,25847024586,232612410,,25847024586,14628536209
canneal,gcc,mpx_only_write,1,native,2215886971,,1035559671,597504356,,,3464811758,143396761902,34471597246,915013925,114029752,,915013925,9752767409
dedup,icc,mpx,1,native,6384567354,,380176780,611843386,,,4717007761,191653158630,38795481328,17489356828,200840434,,19532815044,30006149056
dedup,icc,mpx_only_write,1,native,3603070381,,16178772,6016385,,,2516372659,156466359868,36015951206,7635570281,53863830,,7673348453,27578578798
dedup,gcc,mpx,1,native,6898186022,,15192510,352703949,,,5463435099,345146060600,67844087607,57364135595,996012142,,57364135595,38355761588
dedup,gcc,mpx_only_write,1,native,3536053898,,15192510,177168931,,,2541186860,182259022236,46804765104,11575311059,688973329,,11575311059,30949485319
facesim,icc,mpx,1,native,291775178,,33156037,7022955,,,493943177,34490470580,9647173219,1839921103,60002983,,1823252949,5176479584
facesim,icc,mpx_only_write,1,native,136774648,,33155833,4602942,,,250145131,30794555373,9536499859,511563711,62235452,,509702495,5033758981
facesim,gcc,mpx,1,native,3340516787,,35163695,80881221,,,2059849268,98384150103,22865435687,17221909128,645865315,,17221909128,7850685248
facesim,gcc,mpx_only_write,1,native,531777711,,31444675,11133121,,,567226200,43981422744,12863522889,2355925850,247496874,,2355925850,4752753791
ferret,icc,mpx,1,native,110494979351,,11525146961,30914420120,,,103920971036,3071867353736,460596631353,405555704089,13937485974,,377333188252,450725330432
ferret,icc,mpx_only_write,1,native,65631792943,,11520153873,25783200624,,,19809510317,2219470360194,456936737593,33975850767,5819423102,,32773409500,447892071928
ferret,gcc,mpx,1,native,209746329272,,17453525978,75120786394,,,152627441249,4620544701251,844539690276,633311657545,34392083148,,633311657545,545367793496
ferret,gcc,mpx_only_write,1,native,80202920810,,17178865200,109697673649,,,69177036743,2633921304569,506863775587,48137121660,1318621974,,48137121660,446448998068
fluidanimate,icc,mpx,1,native,4765827083,,230508791,3497473177,,,140657617379,2478530152585,466793500584,121899790218,1552671784,,121899790218,148608324514
fluidanimate,icc,mpx_only_write,1,native,4399591240,,230508791,3497473177,,,8488909840,1660214476560,368936145721,15060311532,1051029784,,15060311532,50751574934
fluidanimate,gcc,mpx,1,native,16938199337,,230509922,4157,,,357675088275,3780679122951,905034564061,344505027996,111226201620,,344505027996,288803731172
fluidanimate,gcc,mpx_only_write,1,native,8010975603,,230509922,18474,,,45277431744,1862637282522,469727944821,30166929440,14073814770,,30166929440,69499761750
raytrace,gcc,mpx,1,native,5333818402,,1109453170,674386573,,,328195370896,5352876317008,1254701629766,1079911051060,91518707437,,1079911051060,594034971915
raytrace,gcc,mpx_only_write,1,native,3481360822,,1184452721,522257199,,,4580062265,1108465946341,289314587198,4203330068,960345650,,4203330068,116033423418
raytrace,icc,mpx,1,native,5281264706,,190242812,2373489387,,,55615125689,860117620612,196682574302,62990891322,15881354593,,62759412231,107774458871
raytrace,icc,mpx_only_write,1,native,4999618722,,190242686,511902394,,,9734278802,632225224098,152303039695,16255511316,5228969759,,16255511313,54312415014
streamcluster,gcc,mpx,1,native,841466721822,,3233218955,44059,,,294202438,5792850822975,1291604491402,852843765228,8868,,852843765228,17764433317
streamcluster,gcc,mpx_only_write,1,native,3744817373,,3233218955,35200,,,257105409,1578211369213,460291946423,2010100523,8864,,2010100523,17745647789
streamcluster,icc,mpx,1,native,3228507720,,240317,32229,,,1676601371,549848088251,130628258367,62697841741,9106,,61104572509,10147965601
streamcluster,icc,mpx_only_write,1,native,5851873,,240247,2,,,34244772,408672883656,121033483643,1777886503,8973,,1768485843,3704754912
swaptions,gcc,mpx,1,native,85960101163,,88003206,72002182,,,68344011106,2102041574294,401444704998,239792231504,48001925,,239792231504,104066907569
swaptions,gcc,mpx_only_write,1,native,30280035880,,88003206,64002184,,,28752010454,1539800973420,367564650500,55504042659,48001925,,55504042659,105698906151
swaptions,icc,mpx,1,native,59624009495,,56002448,16000649,,,48432006470,1636087274031,327766069606,172424069014,48001942,,172424069142,94295804330
swaptions,icc,mpx_only_write,1,native,11944003467,,56002436,16000515,,,5360005657,1210815168721,327774068385,32672025478,48001936,,32672025478,94295803864
x264,gcc,mpx,1,native,5026312047,,1273859760,2212529305,,,41055168118,9912535307088,1299494716283,1312409575800,4567369468,,1312409575800,173619406748
x264,gcc,mpx_only_write,1,native,3141154406,,1273859760,1753276381,,,13437018806,1842206520525,423043049416,81147117008,2432658424,,81147117008,151148119274
x264,icc,mpx,1,native,0,,0,0,,,0,1937829556,0,0,0,,0,0
x264,icc,mpx_only_write,1,native,0,,0,0,,,0,1664141963,0,0,0,,0,0
