name,compiler,type,threads,input,mpxerrors,cycles,instructions,dtlb_stores,dtlb_load_misses,dtlb_loads,minor_faults,mpxbtnum,time,branch_instructions,major_faults,dtlb_store_misses,branch_misses
bodytrack,gcc,native,2,native,,446754614537,769045303327,40099451750,1361470,150833876478,131068,,61.514111294,70205257263,1,1209377,530404524
bodytrack,gcc,native,8,native,,728997033083,770046621109,40259261617,5348376,151101137052,131130,,29.997556329,70412978149,0,1820155,577418596
bodytrack,gcc,native,2,native,,446896523701,769751242139,40072187002,1400372,150781682280,130746,,61.518268472,70243033921,0,1191566,533810985
bodytrack,gcc,native,8,native,,728789501270,770837234822,40150200280,5334088,151074098450,131136,,30.02050454,70445385266,0,1790718,577233750
bodytrack,gcc,native,2,native,,446312831437,769264127695,40110521070,1405959,150669202256,130728,,61.458437799,70028686216,0,1217086,526755829
bodytrack,gcc,native,8,native,,728758506654,769733675558,40260757100,5404533,151068557910,131146,,30.053896282,70382180232,0,1824699,577011108
bodytrack,gcc,native,2,native,,446434706752,767986452782,40052021779,1372550,150952301059,131072,,61.477587641,70225197008,0,1193990,530554489
bodytrack,gcc,native,8,native,,729096844922,770432076328,40284502058,5385809,151084536189,131145,,30.072121026,70336112374,0,1807142,575983154
bodytrack,gcc,native,2,native,,446839349217,769906311084,40183469964,1348328,150621157719,130716,,61.509344572,70295093811,0,1164615,526906551
bodytrack,gcc,native,8,native,,728931516956,769640546830,40361911811,5385418,151107706997,131142,,30.047854181,70320576132,0,1863307,576939475
bodytrack,gcc,native,2,native,,446908926421,768094348994,40195735723,1373153,150936671658,131064,,61.517852036,70204605566,0,1255703,527500263
bodytrack,gcc,native,8,native,,728187727057,770738627382,40178951840,5311324,151156995219,130804,,30.059115102,70462140099,0,1785351,578908457
bodytrack,gcc,native,2,native,,446051682609,769706397925,40187609409,1351755,150884895920,130814,,61.418254562,70324470090,0,1205749,526876472
bodytrack,gcc,native,8,native,,728952984120,770421540749,40278022453,5250488,151204421261,131209,,29.995012248,70374916787,0,1812793,576700363
bodytrack,gcc,native,2,native,,446424558621,768355154353,40110704023,1431674,151029372753,131079,,61.467068723,70244731424,0,1196188,533816606
bodytrack,gcc,native,8,native,,728734099112,769942229149,40386801676,5392866,151050050066,130805,,30.063997522,70301982571,0,1780456,573615310
bodytrack,gcc,native,2,native,,446884112617,768094431239,40088153812,1378281,151104867778,131067,,61.523171817,70291482411,0,1217483,539357130
bodytrack,gcc,native,8,native,,728707805002,770676973718,40140459692,5153361,151223025737,130776,,30.03169387,70454219680,0,1814491,580936978
bodytrack,gcc,native,2,native,,445669935570,768855569174,40206148387,1260060,150918798111,130724,,61.341372435,70186653912,0,1127009,531797602
bodytrack,gcc,native,8,native,,729276429196,770920658577,40309277292,5452194,151103905029,131122,,29.973775242,70372072613,0,1779524,576338882
facesim,gcc,native,2,native,,20704705867,29795385271,3805879503,351955,8459884002,616526,,3.536851265,2441908491,0,3236109,50342709
facesim,gcc,native,8,native,,23847319675,30214318695,3853739957,393538,8547751139,614560,,2.296404317,2427013173,0,3149899,50369980
facesim,gcc,native,2,native,,20653623411,30015912547,3837919682,363503,8405774221,616526,,3.55477554,2428166174,0,3156352,49626604
facesim,gcc,native,8,native,,23884803197,30115239183,3859631357,401004,8537609781,614560,,2.281190782,2429344452,0,3125231,50409415
facesim,gcc,native,2,native,,20820630126,29998852780,3807745156,392391,8422384890,616527,,3.573838438,2425766696,0,3142150,49898818
facesim,gcc,native,8,native,,23802801656,30167728011,3843750091,411379,8577443464,614559,,2.312405435,2484531298,0,3119008,50405932
facesim,gcc,native,2,native,,20674839422,29946317392,3831928992,358931,8429075287,616526,,3.557351997,2422267398,0,3095876,49728613
facesim,gcc,native,8,native,,23914810401,30112900290,3876590927,401801,8569061929,614560,,2.278280179,2439879269,0,3168868,50338717
