name,compiler,type,threads,input,dtlb_store_misses,instructions,dtlb_load_misses,branch_instructions,dtlb_loads,mpxbtnum,branch_misses,mpxerrors,time,cycles,major_faults,minor_faults,dtlb_stores
ferret,gcc,native,1,native,391399,1690590063295,66002971,289098182753,449510154707,,12783047327,,280.876417213,1060449535461,0,11899,44397031426
ferret,gcc,native,1,native,568263,1689854298023,64005915,288919094315,449539758749,,12780693362,,281.094667421,1061775275828,0,11899,44292771824
ferret,gcc,native,1,native,700206,1691648391742,64489819,289126996878,449468165565,,12775783883,,281.327515253,1062784817941,0,11899,44329813927
ferret,gcc,native,1,native,882499,1690141539477,66609268,289183763312,449542728988,,12774845894,,280.642504865,1060013002474,0,11389,44323541078
ferret,gcc,native,1,native,283261,1690745263913,65391155,289322052706,449488504012,,12769453235,,280.545571742,1059915753637,0,11900,44370136761
ferret,gcc,native,1,native,303109,1690013351923,63796868,289063718314,449534098517,,12788645434,,280.695419097,1060238236762,0,11904,44378805035
ferret,gcc,native,1,native,540882,1689132936748,65826603,289000192913,449597496298,,12763325986,,280.578242892,1059447264514,0,11393,44265710974
ferret,gcc,native,1,native,708723,1689852610145,66244721,288903243871,449602183334,,12778857231,,280.593681469,1059801109983,0,11387,44314516745
ferret,gcc,native,1,native,817313,1689914554763,66260784,289086713150,449442170690,,12781946216,,280.668151955,1060112079365,0,11390,44483958501
ferret,gcc,native,1,native,76937,1689936449580,63308132,289618959266,449552441783,,12781241442,,280.611714527,1059994304472,0,11391,44474816660
raytrace,gcc,native,1,native,388440,1063728069402,1486136,43933522610,280447764294,,1422175872,,209.443416404,794736455624,0,61006,111054351974
raytrace,gcc,native,1,native,408441,1063711082390,3281741,43917609785,280465943844,,1422380573,,209.641235238,795524957266,0,60638,110978273442
raytrace,gcc,native,1,native,398283,1063761151322,2343912,43933252829,280513847069,,1420101674,,209.375348346,794510563555,0,60949,111010037531
raytrace,gcc,native,1,native,486238,1063674778069,3119062,43923468501,280439605509,,1423855172,,210.03267737,796919547104,0,58966,111079082712
raytrace,gcc,native,1,native,408510,1063503165361,2628733,43930357153,280482266690,,1420650853,,209.698494898,795564000784,0,59916,111080991954
raytrace,gcc,native,1,native,361437,1063513852315,3258565,43956997226,280486930870,,1429743414,,209.7748209,796049375254,0,58346,111075749231
raytrace,gcc,native,1,native,397385,1063649257561,2620432,43950218164,280514250743,,1421826348,,209.862785718,796269143787,0,61729,111019314529
raytrace,gcc,native,1,native,360680,1063791397861,3257175,43922387069,280485853521,,1436121704,,209.912266513,796570736825,0,61231,111001257408
raytrace,gcc,native,1,native,381067,1063640367815,2216950,43958772846,280456427013,,1422193113,,209.624313706,795466734937,0,55289,111007138679
raytrace,gcc,native,1,native,384382,1063559197571,3114891,43977766583,280466620728,,1422318219,,209.764924827,796005120259,0,60873,111092085398
canneal,gcc,native,1,native,5835668,130935448738,809842418,17162804488,33151258072,,632564869,,158.652377855,409255054170,0,155718,8548821704
canneal,gcc,native,1,native,5601932,130955546879,274553100,17161644783,33134400175,,637567732,,150.862270124,387900244307,0,155260,8527728860
canneal,gcc,native,1,native,5585378,130882081896,297967077,17160864511,33145414294,,634713736,,151.372011752,388611908998,0,155776,8529392953
canneal,gcc,native,1,native,5584126,130951283311,273221119,17163753803,33133566963,,629209269,,150.983287205,387053168686,0,155767,8528038058
canneal,gcc,native,1,native,5557719,130980320798,264447566,17168550882,33135142812,,633398781,,150.957355057,386503032776,0,155779,8522263799
canneal,gcc,native,1,native,5708518,130945532896,298460649,17167962343,33144492417,,630376596,,151.666829633,388896857208,0,155762,8521227080
canneal,gcc,native,1,native,5679705,130953453391,285566107,17169126137,33140750196,,630174719,,151.574238807,387826828397,0,155262,8519638894
canneal,gcc,native,1,native,5586603,130961368605,294353748,17167629611,33136355946,,633485861,,151.563555983,388669658019,0,155765,8519993060
canneal,gcc,native,1,native,5679005,130890791037,279817615,17162028930,33147990905,,627989324,,151.313188487,387852444993,0,155768,8527203670
canneal,gcc,native,1,native,5599070,130942329520,273163303,17164603223,33133879780,,631827095,,151.262094747,386904483657,0,155757,8531041483
blackscholes,gcc,native,1,native,31776,520435188693,17422,75894627507,140286556581,,356705489,,143.566214276,544359878927,0,2589,37796019504
blackscholes,gcc,native,1,native,68579,520448711770,14605,75898997352,140296023835,,372522787,,143.565880016,544165275554,0,2586,37840602075
blackscholes,gcc,native,1,native,34859,520468565469,17760,75896548762,140299193429,,371143012,,143.332021085,544125399054,0,2073,37829273339
blackscholes,gcc,native,1,native,38922,520452835321,13506,75894551969,140300185530,,374888074,,143.32937461,544167277699,0,2074,37831006044
blackscholes,gcc,native,1,native,58680,520468895445,13774,75899796500,140303984237,,375414648,,143.551734426,544212677579,0,2585,37826815845
blackscholes,gcc,native,1,native,37857,520522548559,14507,75912746016,140294526540,,378384580,,143.506311603,544154427094,0,2076,37825486126
blackscholes,gcc,native,1,native,27130,520472392078,14523,75892869057,140292653563,,370036671,,143.553653979,544068837081,0,2075,37823037526
