name,compiler,type,threads,input,voluntary_context_switches,minor_faults,mpxerrors,mpxbtnum,sys_time,user_time,time,involuntary_context_switches,major_faults,maxsize
canneal,gcc,native,1,0,3,1129,,,0.0,0.56,0.57,4,1,7280
canneal,gcc,native,1,1,2,1279,,,0.0,0.6,0.6,3,0,11424
canneal,gcc,native,1,2,2,2410,,,0.0,0.8,0.8,4,0,17956
canneal,gcc,native,1,3,2,13665,,,0.83,1.13,1.97,6,0,62836
canneal,gcc,native,1,4,2,58673,,,4.51,1.26,5.78,14,0,242884
canneal,gcc,native,1,0,1,1129,,,0.0,0.57,0.57,2,0,6544
canneal,gcc,native,1,1,1,768,,,0.0,0.59,0.59,4,0,11356
canneal,gcc,native,1,2,1,2410,,,0.09,0.8,0.89,4,0,17956
canneal,gcc,native,1,3,1,13665,,,0.99,1.12,2.12,5,0,62836
canneal,gcc,native,1,4,1,58673,,,4.62,1.27,5.89,15,0,242884
canneal,gcc,native,1,0,1,1129,,,0.0,0.57,0.57,2,0,6544
canneal,gcc,native,1,1,1,768,,,0.0,0.59,0.59,3,0,11356
canneal,gcc,native,1,2,1,2410,,,0.1,0.8,0.9,4,0,17956
canneal,gcc,native,1,3,1,13665,,,1.0,1.12,2.13,7,0,62836
canneal,gcc,native,1,4,1,58673,,,4.65,1.29,5.94,14,0,242884
canneal,gcc,native,1,0,1,1129,,,0.0,0.57,0.57,3,0,6544
canneal,gcc,native,1,1,1,768,,,0.0,0.59,0.59,3,0,11356
canneal,gcc,native,1,2,1,2410,,,0.14,0.8,0.95,4,0,17956
canneal,gcc,native,1,3,1,13665,,,0.95,1.13,2.08,5,0,62836
canneal,gcc,native,1,4,1,58673,,,4.62,1.26,5.88,14,0,242884
canneal,gcc,native,1,0,1,1129,,,0.0,0.57,0.57,3,0,6544
canneal,gcc,native,1,1,1,768,,,0.0,0.58,0.59,2,0,11356
canneal,gcc,native,1,2,1,2410,,,0.09,0.8,0.9,4,0,17956
canneal,gcc,native,1,3,1,13665,,,1.0,1.13,2.13,6,0,62836
canneal,gcc,native,1,4,1,58162,,,4.65,1.26,5.91,12,0,243080
canneal,gcc,native,1,0,1,1129,,,0.0,0.57,0.57,4,0,6544
canneal,gcc,native,1,1,1,768,,,0.0,0.58,0.58,2,0,11356
canneal,gcc,native,1,2,1,1899,,,0.04,0.79,0.84,4,0,17888
canneal,gcc,native,1,3,1,13154,,,1.07,1.12,2.19,5,0,63032
canneal,gcc,native,1,4,1,58162,,,4.9,1.28,6.18,14,0,243080
canneal,gcc,native,1,0,1,1129,,,0.0,0.57,0.57,2,0,6544
canneal,gcc,native,1,1,1,768,,,0.0,0.58,0.58,4,0,11356
canneal,gcc,native,1,2,1,1899,,,0.1,0.78,0.89,3,0,17888
canneal,gcc,native,1,3,1,13154,,,0.97,1.11,2.09,6,0,63032
canneal,gcc,native,1,4,1,58162,,,4.92,1.26,6.18,14,0,243080
canneal,gcc,native,1,0,1,1129,,,0.0,0.57,0.57,4,0,6544
canneal,gcc,native,1,1,1,768,,,0.0,0.58,0.58,2,0,11356
canneal,gcc,native,1,2,1,1899,,,0.09,0.79,0.88,3,0,17888
canneal,gcc,native,1,3,1,13154,,,0.98,1.12,2.11,6,0,63032
canneal,gcc,native,1,4,1,58162,,,4.86,1.26,6.13,14,0,243080
canneal,gcc,native,1,0,1,1129,,,0.0,0.57,0.57,4,0,6544
canneal,gcc,native,1,1,1,768,,,0.0,0.58,0.58,2,0,11356
canneal,gcc,native,1,2,1,1899,,,0.09,0.79,0.88,4,0,17888
canneal,gcc,native,1,3,1,13154,,,0.97,1.12,2.1,8,0,63032
canneal,gcc,native,1,4,1,58162,,,4.87,1.26,6.14,17,0,243080
canneal,gcc,native,1,0,1,1129,,,0.0,0.57,0.57,2,0,6544
canneal,gcc,native,1,1,1,768,,,0.0,0.58,0.58,3,0,11356
canneal,gcc,native,1,2,1,1899,,,0.09,0.79,0.89,4,0,17888
canneal,gcc,native,1,3,1,13154,,,1.03,1.13,2.17,6,0,63032
canneal,gcc,native,1,4,1,58162,,,4.93,1.26,6.2,13,0,243080
streamcluster,gcc,native,1,0,2,816,,,0.0,8.22,8.23,16,1,7960
streamcluster,gcc,native,1,1,1,886,,,0.0,20.22,20.22,39,0,10284
streamcluster,gcc,native,1,2,1,1023,,,0.0,48.01,48.02,91,0,14920
streamcluster,gcc,native,1,3,1,4059,,,0.0,96.93,96.94,180,0,20908
streamcluster,gcc,native,1,4,1,7080,,,0.2,187.45,187.68,332,0,33016
streamcluster,gcc,native,1,0,1,816,,,0.0,8.22,8.23,16,0,7960
streamcluster,gcc,native,1,1,1,1022,,,0.0,20.23,20.23,41,0,8784
streamcluster,gcc,native,1,2,1,2186,,,0.0,48.2,48.2,91,0,13440
streamcluster,gcc,native,1,3,1,4053,,,0.0,96.9,96.91,177,0,20908
streamcluster,gcc,native,1,4,1,7080,,,0.32,187.49,187.84,335,0,33016
streamcluster,gcc,native,1,0,1,816,,,0.0,8.3,8.3,16,0,7960
streamcluster,gcc,native,1,1,1,1022,,,0.04,20.32,20.37,38,0,8784
streamcluster,gcc,native,1,2,1,2186,,,0.1,48.14,48.25,93,0,13440
streamcluster,gcc,native,1,3,1,4549,,,0.32,96.98,97.31,178,0,22428
streamcluster,gcc,native,1,4,1,7579,,,0.59,187.55,188.16,336,0,33488
streamcluster,gcc,native,1,0,1,1018,,,0.04,8.24,8.29,16,0,6724
streamcluster,gcc,native,1,1,1,1022,,,0.04,20.26,20.31,39,0,8784
