name,compiler,type,threads,input,cycles,dtlb_store_misses,minor_faults,branch_misses,dtlb_load_misses,major_faults,dtlb_loads,branch_instructions,instructions,mpxbtnum,mpxerrors,dtlb_stores,time
swaptions,gcc,native,1,0,39080543495,9454,2908,97080848,24660,0,14258371944,6549012496,52594697377,,,4191420011,10.304986029
swaptions,gcc,native,1,1,78078681623,18233,5649,191639204,2941,0,28523626015,13097344086,105165905380,,,8381002638,20.579124545
swaptions,gcc,native,1,2,156302140642,37311,11129,385037170,6674,0,57027381401,26191644265,210359202713,,,16766842300,41.177894164
swaptions,gcc,native,1,3,313399809689,74749,22097,775199577,11110,0,114077827626,52387502222,420687329798,,,33525287566,82.760078855
swaptions,gcc,native,1,4,627052067640,151445,44026,1556273372,955420,0,228140594464,104766315861,841424280163,,,67055490652,165.320507937
swaptions,gcc,native,1,0,39085333638,9246,2907,96122317,1606,0,14252023223,6549077354,52594231591,,,4192040207,10.296457221
swaptions,gcc,native,1,1,78119976816,18439,5646,192541453,4808,0,28519962510,13098123404,105179574536,,,8380120359,20.581295699
swaptions,gcc,native,1,2,156301958762,37245,11133,385990956,6455,0,57035912504,26187812956,210316206471,,,16765927098,41.16865683
swaptions,gcc,native,1,3,312236764399,73496,22095,768740227,10559,0,114080082493,52381775195,420636397100,,,33528155903,82.255277876
swaptions,gcc,native,1,4,625289797838,148735,44024,1549060974,19573,0,228133850306,104760175437,841450520440,,,67060873440,164.733630957
swaptions,gcc,native,1,0,39072062970,9379,2909,96016993,1907,0,14258675924,6547389302,52590485077,,,4192196216,10.293817876
swaptions,gcc,native,1,1,78101666774,18379,5650,192500889,3146,0,28516129226,13098403020,105181905694,,,8380336317,20.572308541
swaptions,gcc,native,1,2,156268156443,37898,11129,383153841,7390,0,57031533391,26192231523,210353572461,,,16765640655,41.17449325
swaptions,gcc,native,1,3,312600896602,73495,22096,772440993,101121,0,114071264526,52385016571,420716589475,,,33524824927,82.335334668
swaptions,gcc,native,1,4,625144926116,150160,44027,1540156663,19363,0,228146047241,104766330626,841388439600,,,67060604120,164.668647771
swaptions,gcc,native,1,0,39081531099,9224,2907,96045903,1883,0,14255694777,6546723582,52595943554,,,4192250703,10.294557894
swaptions,gcc,native,1,1,78119986342,18003,5648,194161432,3835,0,28519249008,13097121036,105170599474,,,8380649269,20.58314442
swaptions,gcc,native,1,2,156351448571,36769,11129,388114481,14095,0,57039184271,26194720808,210349861805,,,16760238335,41.183269485
swaptions,gcc,native,1,3,312559157833,74893,22097,772296442,11565,0,114065777998,52379790668,420709106444,,,33532397765,82.32677409
swaptions,gcc,native,1,4,625050561113,145067,44024,1536194216,20252,0,228152542110,104769598501,841351501710,,,67050684542,164.68671154
swaptions,gcc,native,1,0,39103748948,9172,2907,96611225,1538,0,14257024702,6549061520,52595424430,,,4190401071,10.300181975
swaptions,gcc,native,1,1,78120164607,18406,5647,190873658,2878,0,28518051073,13096981513,105183348075,,,8378818150,20.577076486
swaptions,gcc,native,1,2,156378260006,37170,11130,384488870,8431,0,57036962298,26194881473,210352897010,,,16764444507,41.242247081
swaptions,gcc,native,1,3,312610210176,74268,22093,774441446,19557,0,114075619467,52386489124,420662357127,,,33526286189,82.348167733
swaptions,gcc,native,1,4,625157552267,148780,44025,1558029913,93433,0,228149352610,104772350459,841370687150,,,67048732380,164.67937082
swaptions,gcc,native,1,0,39001246906,9287,2908,95505948,2286,0,14259406923,6549047662,52580083932,,,4189945449,10.280012087
swaptions,gcc,native,1,1,78089477259,18555,5649,194879274,16119,0,28509600649,13097673185,105179155960,,,8383359060,20.568496775
swaptions,gcc,native,1,2,156324437318,37432,11135,386337870,6519,0,57035408654,26189449424,210349544271,,,16766506836,41.175255817
swaptions,gcc,native,1,3,312388095131,74837,22099,768600742,12688,0,114076268294,52385729994,420662963970,,,33526303799,82.315226014
swaptions,gcc,native,1,4,625300622959,146990,44025,1558435791,20008,0,228138159186,104764710641,841386429413,,,67060986901,164.69615475
swaptions,gcc,native,1,0,39071012526,9385,2906,96346056,1909,0,14258618788,6547180543,52588065499,,,4191809659,10.293603031
swaptions,gcc,native,1,1,78167118467,18826,5649,194770904,3493,0,28519802782,13093660691,105136291042,,,8383575275,20.590108162
swaptions,gcc,native,1,2,156295706137,37480,11129,383934415,111757,0,57036941523,26187228022,210309070479,,,16765601020,41.169042311
swaptions,gcc,native,1,3,312482810726,73809,22097,771302191,10192,0,114075384564,52386488052,420677702892,,,33524478818,82.312963202
swaptions,gcc,native,1,4,626969671758,147945,44026,1539242520,22331,0,228142526737,104757853029,841400562293,,,67060114787,165.139409247
swaptions,gcc,native,1,0,39081235134,9142,2908,96431020,1628,0,14250439088,6549147869,52591875574,,,4192054620,10.299010415
swaptions,gcc,native,1,1,78165106333,18448,5650,192600462,10685,0,28519317997,13091419870,105126874847,,,8383263502,20.591620087
swaptions,gcc,native,1,2,156238459110,36315,11132,385646259,7863,0,57039180062,26194001746,210341566368,,,16761661732,41.159003726
swaptions,gcc,native,1,3,312723292489,74385,22097,773649319,10079,0,114069620670,52385476123,420729148493,,,33521421789,82.368460519
swaptions,gcc,native,1,4,625630376937,148381,44025,1550540629,17595,0,228140363297,104763012659,841372731131,,,67052970472,164.786520885
swaptions,gcc,native,1,0,39094732191,9719,2908,97550066,2464,0,14258410287,6549449106,52591108666,,,4190445888,10.298136077
swaptions,gcc,native,1,1,78126338239,18364,5647,192432735,3449,0,28520055820,13097958149,105177351583,,,8381315048,20.582652211
swaptions,gcc,native,1,2,156254127138,37007,11133,386861586,6329,0,57035268365,26192990780,210347660233,,,16761625361,41.162056409
swaptions,gcc,native,1,3,312558807560,73852,22095,771905380,20079,0,114069101206,52383518476,420707055947,,,33531336384,82.32680269
swaptions,gcc,native,1,4,625140477416,148874,44025,1537500504,250106,0,228137376953,104762390852,841433450941,,,67059346667,164.699869923
swaptions,gcc,native,1,0,39077909807,8996,2906,96486131,31584,0,14251779649,6548903249,52595129815,,,4191965665,10.293859883
swaptions,gcc,native,1,1,78125138367,18629,5648,194839984,3375,0,28519671240,13094194770,105142872277,,,8383870252,20.589243525
swaptions,gcc,native,1,2,156234891439,36486,11132,383255544,8585,0,57038792822,26193891134,210339967154,,,16762318797,41.158420978
swaptions,gcc,native,1,3,312597483007,75339,22099,771882370,12047,0,114069042923,52385560553,420715786718,,,33527980797,82.333048122
swaptions,gcc,native,1,4,625308127540,147704,44027,1543633963,18649,0,228149789834,104774228112,841378703066,,,67049085939,164.716816178
streamcluster,gcc,native,1,0,31268294971,927,830,157935314,2553,0,19481076731,10426590863,69065278374,,,317178289,8.237214741
streamcluster,gcc,native,1,1,76663969630,1228,877,190368638,896,0,43225251993,22430686112,152368108084,,,429776731,20.197998727
streamcluster,gcc,native,1,2,182424263164,1642,1045,214540503,3289,0,95841618004,48872227039,336694424123,,,605956640,48.049636814
streamcluster,gcc,native,1,3,367617872613,1794,1140,211836370,1653,0,185018175077,93468338789,648751072585,,,892950801,96.832141895
streamcluster,gcc,native,1,4,711592110247,3080,1224,206853315,2861,0,356294563771,179246985577,1248643682377,,,1369086264,187.478875955
streamcluster,gcc,native,1,0,31196975508,712,796,158878030,369,0,19476755224,10432542135,69092798150,,,315648577,8.217674034
streamcluster,gcc,native,1,1,76889171666,886,875,190220550,894,0,43229163260,22447001473,152434220234,,,419879172,20.252003608
streamcluster,gcc,native,1,2,182603519411,1328,980,214447615,1710,0,95851057486,48864465362,336641507188,,,611789920,48.109007643
streamcluster,gcc,native,1,3,367694457426,1202,1009,211792011,3513,0,185012615574,93483250796,648698425548,,,871322137,96.849456397
streamcluster,gcc,native,1,4,711654606646,2682,1164,207041277,2024,0,356294458736,179205357961,1248692376654,,,1534768117,187.458454496
streamcluster,gcc,native,1,0,31233616312,724,757,159447267,658,0,19500242664,10427341146,69055683527,,,317532336,8.233678765
streamcluster,gcc,native,1,1,76753366452,1776,1113,190547665,1139,0,43200950497,22429002600,152375820419,,,422302156,20.215605481
streamcluster,gcc,native,1,2,182729335273,2066,1142,214360987,1712,0,95855707729,48868402944,336646241758,,,617252085,48.139517532
streamcluster,gcc,native,1,3,367863763314,2230,1195,211770502,2171,0,185027142657,93463547712,648756855638,,,886508309,96.895848525
streamcluster,gcc,native,1,4,711542335566,2276,1117,207242038,3059,0,356272140728,179166891699,1248474925671,,,1633755376,187.410461846
streamcluster,gcc,native,1,0,31298742082,1479,982,158120004,906,0,19493031649,10424990967,69087848150,,,319652770,8.244545388
streamcluster,gcc,native,1,1,77028361090,8863,989,190380605,1832,0,43245113582,22436002751,152321459455,,,428269805,20.295893205
streamcluster,gcc,native,1,2,182114788488,434,708,214428610,5798,0,95839429996,48861204166,336656785711,,,624014867,47.978017579
streamcluster,gcc,native,1,3,367637767554,848,929,211717765,1686,0,185010239417,93462123627,648722097646,,,904905731,96.837255848
streamcluster,gcc,native,1,4,711665257392,626,877,207059853,4304,0,356275427612,179180720754,1248706884659,,,1500190605,187.440037934
streamcluster,gcc,native,1,0,31315450118,1944,997,159334464,1270,0,19457950476,10438520912,69117457532,,,315884211,8.248508933
streamcluster,gcc,native,1,1,77037985770,1465,1000,190309166,949,0,43240571744,22433376010,152303678562,,,433674967,20.301834057
streamcluster,gcc,native,1,2,182770616165,1430,926,214607501,1150,0,95832879103,48874496343,336709511912,,,606637672,48.146733765
streamcluster,gcc,native,1,3,367871317919,1808,1111,211642435,2232,0,185037932522,93466570828,648569477139,,,892496480,96.911403129
streamcluster,gcc,native,1,4,711615875800,3092,1207,206984470,2330,0,356290964403,179192789387,1248613834081,,,1546281730,187.42982555
streamcluster,gcc,native,1,0,31227072224,1324,997,159212782,1409,0,19486820934,10435243048,69112934931,,,315383453,8.227860662
streamcluster,gcc,native,1,1,76886376198,988,910,190137347,1670,0,43232998254,22450311434,152451716212,,,412054696,20.253128649
streamcluster,gcc,native,1,2,182364972144,222,674,214503469,859,0,95834610319,48873014408,336666311567,,,600904453,48.042036808
streamcluster,gcc,native,1,3,367805225092,2142,1142,211628174,4371,0,185021162326,93469792856,648563940901,,,883419202,96.877656406
streamcluster,gcc,native,1,4,711581418391,1090,955,206990529,1899,0,356309540359,179219239530,1248753176513,,,1511308111,187.431894593
streamcluster,gcc,native,1,0,31210083267,1018,879,159122276,415,0,19492457263,10432518518,69100941733,,,314465066,8.221575735
streamcluster,gcc,native,1,1,76662927610,1625,1029,190363006,2556,0,43225283467,22435718381,152374393622,,,427586550,20.201382375
streamcluster,gcc,native,1,2,182270109810,292,702,214682357,467,0,95832191241,48870477679,336729459885,,,610852580,48.060269444
streamcluster,gcc,native,1,3,367616148358,1606,1133,211651308,1781,0,185011484623,93467140180,648739881327,,,894731434,96.827291033
streamcluster,gcc,native,1,4,711486507775,828,921,207202074,1819,0,356271542086,179154416284,1248452043028,,,1620791488,187.404367889
streamcluster,gcc,native,1,0,31192600414,666,751,159135950,701,0,19470602873,10436835798,69108178043,,,315911046,8.216012866
streamcluster,gcc,native,1,1,76833290618,1329,1024,190358234,1585,0,43219645805,22444345052,152392299422,,,418712558,20.240495369
streamcluster,gcc,native,1,2,182654577369,1646,1029,214396321,561,0,95847352979,48868707705,336651567158,,,606508105,48.121752104
streamcluster,gcc,native,1,3,367617806154,530,829,211626280,891,0,184991003806,93479716633,648798463919,,,898084996,96.830514156
streamcluster,gcc,native,1,4,711502586214,3240,1281,206938977,5323,0,356264097297,179229211477,1248946871065,,,1445708893,187.432575086
streamcluster,gcc,native,1,0,31305745967,1559,996,158604808,617,0,19490540161,10427660042,69098739553,,,317578458,8.246456087
streamcluster,gcc,native,1,1,76645234226,312,648,190379691,189,0,43228376417,22431844249,152353524104,,,430065082,20.190849161
streamcluster,gcc,native,1,2,182281458177,1064,850,214435586,3342,0,95836942860,48867900008,336653474542,,,612066214,48.012961283
streamcluster,gcc,native,1,3,367624781064,688,860,211757934,2072,0,185004401223,93481811797,648714233383,,,865029708,96.848866361
