name,compiler,type,threads,input,time,sgxmem,instructions,l1_dcache_loads,llc_load_misses,sgxtime,mpxbtnum,l1_dcache_store_misses,mpxerrors,l1_dcache_load_misses,l1_dcache_stores,llc_store_misses,llc_loads,llc_stores
matrix_multiply,gcc,native,1,native,8.605361598,,80375103010,19708305710,515936,,,1,,289004265,7223797774,10631,2920553,59782
pca,gcc,native,1,native,10.93713843,,58305881228,7016091437,624763,,,1,,864124612,142654555,4913971,3466041,10204662
kmeans,gcc,native,1,native,13.270303434,,187869798939,48958514637,453455,,,1,,384554853,555121884,3207,98805329,120091
word_count,gcc,native,1,native,6.136294744,,20387230310,4401375702,10238274,,,1,,1795561573,2504951669,1817972,849711181,2332495
matrix_multiply,icc,native,1,native,7.436745079,,53441091806,16325068629,584957,,,1,,288549944,7260622804,10170,2991855,93037
pca,icc,native,1,native,10.573480378,,54773584264,6969063892,659416,,,1,,864171063,114465737,4915320,3600308,10140472
kmeans,icc,native,1,native,18.612234218,,278900950966,24863046263,259897,,,1,,388677164,300855888,4127,98695978,205976
word_count,icc,native,1,native,7.529987743,,23603083458,8094597687,5734060,,,1,,1365005641,4150707560,1748927,149581550,2171496
matrix_multiply,clang,native,1,native,7.170191239,,53431342333,16242221977,657701,,,1,,293702486,7226054093,11451,2962467,94087
pca,clang,native,1,native,8.382666383,,48095296790,6967178460,468061,,,1,,864517234,116824600,4859228,4152875,10153045
kmeans,clang,native,1,native,18.396672216,,268063000560,36676050712,182809,,,1,,396575776,343819503,876,98793997,160341
word_count,clang,native,1,native,7.533804721,,20957979643,4603793919,4686121,,,1,,1349088742,2577071620,1746674,566563778,2510408
matrix_multiply,gcc,asan,1,native,14.439819459,,199184958597,30135584476,710472,,,1,,260830462,7265607070,11924,3103964,118178
pca,gcc,asan,1,native,23.804925163,,406171969996,54316799462,7203002,,,1,,1109444395,117103829,6611572,25236478,11907392
kmeans,gcc,asan,1,native,39.835015528,,681228654998,97587045280,624253,,,1,,553604767,279314022,206669,126507784,631831
word_count,gcc,asan,1,native,24.790356378,,363174728659,72627991364,6591084,,,1,,1575789359,64691370133,1780737,334382535,2494147
matrix_multiply,clang,asan,1,native,8.5839601,,104628931467,26573274011,697154,,,1,,273379851,7265033419,397082,2798300,99872
pca,clang,asan,1,native,8.3579831,,129471501496,20559087574,7856057,,,1,,1122070957,116550453,7744957,24242333,11429920
kmeans,clang,asan,1,native,31.624428984,,518141666867,81930132872,626889,,,1,,531393407,446643013,992,122798887,427914
word_count,clang,asan,1,native,24.940273159,,358917847173,71688882873,5550322,,,1,,1514259231,64551621999,1770865,295759408,2636941
matrix_multiply,gcc,mpx_only_write,1,native,11.202899042,,107315619915,33119975905,612579,,,1,,291740762,7230382141,10772,3070806,107276
pca,gcc,mpx_only_write,1,native,10.912609878,,58382391832,10400380281,486982,,,1,,879092606,153658533,6096680,3666317,11004883
kmeans,gcc,mpx_only_write,1,native,13.749823893,,192951891710,52942733620,100837,,,1,,408857661,677500287,8889,94308889,307303
word_count,gcc,mpx_only_write,1,native,14.486065707,,45141856282,12859000644,186736929,,,1,,6419144290,10313657058,2455781,3040959289,5719498
matrix_multiply,gcc,mpx,1,native,33.605612601,,218885309836,63726294177,532556,,,1,,293876104,10639305470,554320,3442302,739914
pca,gcc,mpx,1,native,53.576745157,,379069028530,121832908545,478214,,,1,,946286026,151535083,4155750,6133961,8464635
