name,compiler,type,threads,input,mpxbtnum,mpxerrors,instructions:u,mpx_new_bounds_table ,time,instructions:k,instructions
string_match,gcc,native,1,None,,,25283502801,0,4.823111503,120873698,25404376499
matrix_multiply,gcc,native,1,None,,,61426121518,0,9.725659467,24810167129,86236288647
histogram,gcc,native,1,None,,,5159913609,0,0.794891719,258248822,5418162431
pca,gcc,native,1,None,,,58256302816,0,5.082265227,82801811,58339104627
kmeans,gcc,native,1,None,,,187888611601,0,14.953440313,73900488,187962512089
word_count,gcc,native,1,None,,,20355246788,0,7.088384516,143559572,20498806360
linear_regression,gcc,native,1,None,,,3919504549,0,0.370539716,100442307,4019946856
string_match,clang,native,1,None,,,5296423435,0,0.731668611,102133088,5398556523
matrix_multiply,clang,native,1,None,,,34451090232,0,8.965506554,24802271145,59253361377
histogram,clang,native,1,None,,,4221986211,0,0.777911539,257829729,4479815940
pca,clang,native,1,None,,,48036056360,0,5.318238743,84154668,48120211028
kmeans,clang,native,1,None,,,268096790399,0,21.090171,101962646,268198753045
word_count,clang,native,1,None,,,20906727771,0,8.639796487,150613539,21057341310
linear_regression,clang,native,1,None,,,4614092992,0,0.34388413,100491431,4714584423
string_match,gcc,asan,1,None,,,65933279723,0,6.887023142,148104745,66081384468
matrix_multiply,gcc,asan,1,None,,,180236435133,0,16.080963742,24841177881,205077613014
histogram,gcc,asan,1,None,,,34232772466,0,2.23443058,300106128,34532878594
pca,gcc,asan,1,None,,,406259183061,0,25.584390943,199477070,406458660131
kmeans,gcc,asan,1,None,,,681087649323,0,44.722888438,220589616,681308238939
word_count,gcc,asan,1,None,,,363548239756,0,28.394569686,252795822,363801035578
linear_regression,gcc,asan,1,None,,,10049360899,0,0.622569664,119207082,10168567981
string_match,gcc,asan_only_write,1,None,,,57134069649,0,6.553217353,135175239,57269244888
matrix_multiply,gcc,asan_only_write,1,None,,,105682002509,0,11.331397317,24819160756,130501163265
histogram,gcc,asan_only_write,1,None,,,22982708511,0,1.497991075,267457069,23250165580
pca,gcc,asan_only_write,1,None,,,58475605808,0,5.481898579,107456527,58583062335
kmeans,gcc,asan_only_write,1,None,,,194432087882,0,15.289853091,85728048,194517815930
word_count,gcc,asan_only_write,1,None,,,362050399355,0,28.247319737,251699083,362302098438
linear_regression,gcc,asan_only_write,1,None,,,3929773862,0,0.371897677,106585491,4036359353
string_match,clang,asan,1,None,,,8248823613,0,0.929212763,121368243,8370191856
matrix_multiply,clang,asan,1,None,,,85589794281,0,9.82064806,24813965992,110403760273
histogram,clang,asan,1,None,,,21106577667,0,1.822238764,299464934,21406042601
pca,clang,asan,1,None,,,129393612203,0,9.396069728,126592678,129520204881
kmeans,clang,asan,1,None,,,518200944168,0,35.953984036,181678681,518382622849
word_count,clang,asan,1,None,,,358439550904,0,29.309185426,258167059,358697717963
linear_regression,clang,asan,1,None,,,7878394792,0,0.515980567,119901632,7998296424
string_match,softbound,native,1,None,,,4908078791,0,0.770884378,101870535,5009949326
matrix_multiply,softbound,native,1,None,,,37827557910,0,8.854082555,24803031416,62630589326
histogram,softbound,native,1,None,,,5159941775,0,0.816680287,258012893,5417954668
pca,softbound,native,1,None,,,46299161963,0,4.67704152,81172068,46380334031
kmeans,softbound,native,1,None,,,295243967139,0,22.988625107,110351072,295354318211
word_count,softbound,native,1,None,,,20708162197,0,8.564387827,150650034,20858812231
linear_regression,softbound,native,1,None,,,4885752983,0,0.361837822,100470695,4986223678
string_match,softbound,enabled,1,None,,,9322657552,0,0.969844636,103351434,9426008986
matrix_multiply,softbound,enabled,1,None,,,129714734690,0,12.32010621,24818976124,154533710814
histogram,softbound,enabled,1,None,,,22034919689,0,1.546421211,261390735,22296310424
pca,softbound,enabled,1,None,,,365896191938,0,20.690437892,155169249,366051361187
kmeans,softbound,enabled,1,None,,,725351161047,0,49.522677369,236625569,725587786616
word_count,softbound,enabled,1,None,,,821866984155,0,103.376931499,590745700,822457729855
linear_regression,softbound,enabled,1,None,,,9225381517,0,0.615288829,101879040,9327260557
string_match,safecode,native,1,None,,,5012040828,0,0.78411829,102337849,5114378677
matrix_multiply,safecode,native,1,None,,,37861995721,0,8.875880013,24802693481,62664689202
histogram,safecode,native,1,None,,,5159941956,0,0.835187286,258591715,5418533671
pca,safecode,native,1,None,,,135675260888,0,9.078312566,101285628,135776546516
kmeans,safecode,native,1,None,,,230522568762,0,17.806788482,86796421,230609365183
word_count,safecode,native,1,None,,,20495075670,0,8.677698029,151115787,20646191457
linear_regression,safecode,native,1,None,,,4343298861,0,0.346243515,100490065,4443788926
string_match,safecode,enabled,1,None,,,5012281365,0,0.800686212,102572574,5114853939
matrix_multiply,safecode,enabled,1,None,,,38123237873,0,8.959113428,24802704843,62925942716
histogram,safecode,enabled,1,None,,,5159838097,0,0.835806205,258315609,5418153706
pca,safecode,enabled,1,None,,,135689747615,0,9.070394188,102325372,135792072987
kmeans,safecode,enabled,1,None,,,230627395007,0,20.282466955,112359955,230739754962
word_count,safecode,enabled,1,None,,,55342945758,0,11.092339947,162368911,55505314669
linear_regression,safecode,enabled,1,None,,,4343229472,0,0.362084412,100613941,4443843413
pca,icc,native,1,None,,,54775311226,0,10.617363323,58476735,54833787961
matrix_multiply,icc,native,1,None,,,34538427341,0,7.532317688,19012992561,53551419902
