name,compiler,type,threads,input,sgxmem,sgxtime,mpxbtnum,maxsize,time,mpxerrors,user_time,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches,sys_time
matrix_multiply,clang,native,1,native,,,,25232,7.14,,,,,,,
kmeans,clang,native,1,native,,,,6672,18.37,,,,,,,
word_count,clang,native,1,native,,,,108916,7.52,,,,,,,
pca,clang,native,1,native,,,,73192,8.37,,,,,,,
matrix_multiply,gcc,mpx,1,native,,,,29068,33.58,,,,,,,
kmeans,gcc,mpx,1,native,,,,14580,59.92,,,,,,,
word_count,gcc,mpx,1,native,,,,129104,15.24,,,,,,,
pca,gcc,mpx,1,native,,,,75504,53.55,,,,,,,
matrix_multiply,gcc,mpx_no_narrow_bounds,1,native,,,,33092,33.57,,,,,,,
kmeans,gcc,mpx_no_narrow_bounds,1,native,,,,15200,59.86,,,,,,,
word_count,gcc,mpx_no_narrow_bounds,1,native,,,,128360,15.05,,,,,,,
pca,gcc,mpx_no_narrow_bounds,1,native,,,,77424,53.54,,,,,,,
matrix_multiply,gcc,asan,1,native,,,,37808,14.45,,,,,,,
kmeans,gcc,asan,1,native,,,,23452,40.02,,,,,,,
word_count,gcc,asan,1,native,,,,124640,24.49,,,,,,,
pca,gcc,asan,1,native,,,,96960,23.76,,,,,,,
matrix_multiply,clang,asan,1,native,,,,43144,8.59,,,,,,,
kmeans,clang,asan,1,native,,,,24744,31.64,,,,,,,
word_count,clang,asan,1,native,,,,125996,24.93,,,,,,,
pca,clang,asan,1,native,,,,98188,8.36,,,,,,,
matrix_multiply,clang,native,1,native,,,,25204,7.13,,,,,,,
kmeans,clang,native,1,native,,,,6736,18.42,,,,,,,
word_count,clang,native,1,native,,,,108900,7.53,,,,,,,
pca,clang,native,1,native,,,,73184,8.38,,,,,,,
matrix_multiply,gcc,mpx,1,native,,,,26896,33.6,,,,,,,
kmeans,gcc,mpx,1,native,,,,15708,59.86,,,,,,,
word_count,gcc,mpx,1,native,,,,130108,15.14,,,,,,,
pca,gcc,mpx,1,native,,,,75516,53.55,,,,,,,
matrix_multiply,gcc,mpx_no_narrow_bounds,1,native,,,,33168,33.59,,,,,,,
kmeans,gcc,mpx_no_narrow_bounds,1,native,,,,18644,59.88,,,,,,,
word_count,gcc,mpx_no_narrow_bounds,1,native,,,,132044,15.04,,,,,,,
pca,gcc,mpx_no_narrow_bounds,1,native,,,,77528,53.61,,,,,,,
matrix_multiply,gcc,asan,1,native,,,,41736,14.48,,,,,,,
kmeans,gcc,asan,1,native,,,,22368,39.99,,,,,,,
word_count,gcc,asan,1,native,,,,121580,24.48,,,,,,,
pca,gcc,asan,1,native,,,,95136,23.76,,,,,,,
matrix_multiply,clang,asan,1,native,,,,39016,8.59,,,,,,,
kmeans,clang,asan,1,native,,,,24696,31.88,,,,,,,
word_count,clang,asan,1,native,,,,125932,24.94,,,,,,,
pca,clang,asan,1,native,,,,98204,8.37,,,,,,,
matrix_multiply,clang,native,1,native,,,,25252,7.13,,,,,,,
kmeans,clang,native,1,native,,,,6688,18.4,,,,,,,
word_count,clang,native,1,native,,,,108764,7.52,,,,,,,
pca,clang,native,1,native,,,,73216,8.38,,,,,,,
matrix_multiply,gcc,mpx,1,native,,,,31144,33.56,,,,,,,
kmeans,gcc,mpx,1,native,,,,15912,59.7,,,,,,,
word_count,gcc,mpx,1,native,,,,134108,15.08,,,,,,,
pca,gcc,mpx,1,native,,,,77468,53.54,,,,,,,
matrix_multiply,gcc,mpx_no_narrow_bounds,1,native,,,,27028,33.55,,,,,,,
kmeans,gcc,mpx_no_narrow_bounds,1,native,,,,15416,59.72,,,,,,,
word_count,gcc,mpx_no_narrow_bounds,1,native,,,,132104,15.22,,,,,,,
pca,gcc,mpx_no_narrow_bounds,1,native,,,,77460,53.54,,,,,,,
matrix_multiply,gcc,asan,1,native,,,,38164,14.47,,,,,,,
kmeans,gcc,asan,1,native,,,,22884,39.99,,,,,,,
word_count,gcc,asan,1,native,,,,124676,24.55,,,,,,,
pca,gcc,asan,1,native,,,,96128,23.75,,,,,,,
matrix_multiply,clang,asan,1,native,,,,41156,8.58,,,,,,,
kmeans,clang,asan,1,native,,,,24624,31.61,,,,,,,
word_count,clang,asan,1,native,,,,123888,24.94,,,,,,,
pca,clang,asan,1,native,,,,98300,8.36,,,,,,,
matrix_multiply,clang,native,1,native,,,,25248,7.12,,,,,,,
kmeans,clang,native,1,native,,,,6592,18.41,,,,,,,
word_count,clang,native,1,native,,,,108724,7.54,,,,,,,
pca,clang,native,1,native,,,,73176,8.38,,,,,,,
matrix_multiply,gcc,mpx,1,native,,,,33188,33.58,,,,,,,
kmeans,gcc,mpx,1,native,,,,17820,59.76,,,,,,,
word_count,gcc,mpx,1,native,,,,129872,15.44,,,,,,,
pca,gcc,mpx,1,native,,,,77352,53.55,,,,,,,
matrix_multiply,gcc,mpx_no_narrow_bounds,1,native,,,,33168,33.58,,,,,,,
kmeans,gcc,mpx_no_narrow_bounds,1,native,,,,17916,59.95,,,,,,,
word_count,gcc,mpx_no_narrow_bounds,1,native,,,,132524,15.31,,,,,,,
pca,gcc,mpx_no_narrow_bounds,1,native,,,,77348,53.54,,,,,,,
matrix_multiply,gcc,asan,1,native,,,,36540,14.45,,,,,,,
kmeans,gcc,asan,1,native,,,,23716,39.97,,,,,,,
word_count,gcc,asan,1,native,,,,123960,24.52,,,,,,,
pca,gcc,asan,1,native,,,,96952,23.75,,,,,,,
matrix_multiply,clang,asan,1,native,,,,39092,8.6,,,,,,,
kmeans,clang,asan,1,native,,,,24740,31.69,,,,,,,
word_count,clang,asan,1,native,,,,123936,24.95,,,,,,,
pca,clang,asan,1,native,,,,98224,8.36,,,,,,,
matrix_multiply,clang,native,1,native,,,,25200,7.17,,,,,,,
kmeans,clang,native,1,native,,,,6640,18.42,,,,,,,
word_count,clang,native,1,native,,,,108736,7.52,,,,,,,
pca,clang,native,1,native,,,,73096,8.38,,,,,,,
matrix_multiply,gcc,mpx,1,native,,,,28992,33.57,,,,,,,
kmeans,gcc,mpx,1,native,,,,13624,59.66,,,,,,,
word_count,gcc,mpx,1,native,,,,132608,14.99,,,,,,,
pca,gcc,mpx,1,native,,,,77452,53.55,,,,,,,
matrix_multiply,gcc,mpx_no_narrow_bounds,1,native,,,,28968,33.56,,,,,,,
kmeans,gcc,mpx_no_narrow_bounds,1,native,,,,16116,59.89,,,,,,,
word_count,gcc,mpx_no_narrow_bounds,1,native,,,,129208,14.89,,,,,,,
pca,gcc,mpx_no_narrow_bounds,1,native,,,,77404,53.54,,,,,,,
matrix_multiply,gcc,asan,1,native,,,,40228,14.46,,,,,,,
kmeans,gcc,asan,1,native,,,,22368,39.93,,,,,,,
word_count,gcc,asan,1,native,,,,124968,24.47,,,,,,,
pca,gcc,asan,1,native,,,,96304,23.77,,,,,,,
matrix_multiply,clang,asan,1,native,,,,41040,8.59,,,,,,,
kmeans,clang,asan,1,native,,,,24724,31.89,,,,,,,
word_count,clang,asan,1,native,,,,125844,24.95,,,,,,,
pca,clang,asan,1,native,,,,98240,8.36,,,,,,,
matrix_multiply,clang,native,1,native,,,,25248,7.14,,,,,,,
kmeans,clang,native,1,native,,,,6588,18.39,,,,,,,
word_count,clang,native,1,native,,,,108812,7.54,,,,,,,
pca,clang,native,1,native,,,,73184,8.38,,,,,,,
matrix_multiply,gcc,mpx,1,native,,,,31136,33.56,,,,,,,
kmeans,gcc,mpx,1,native,,,,13040,59.88,,,,,,,
word_count,gcc,mpx,1,native,,,,129944,15.03,,,,,,,
pca,gcc,mpx,1,native,,,,75408,53.54,,,,,,,
matrix_multiply,gcc,mpx_no_narrow_bounds,1,native,,,,26904,33.6,,,,,,,
kmeans,gcc,mpx_no_narrow_bounds,1,native,,,,15820,59.8,,,,,,,
word_count,gcc,mpx_no_narrow_bounds,1,native,,,,129968,15.07,,,,,,,
pca,gcc,mpx_no_narrow_bounds,1,native,,,,77464,53.54,,,,,,,
matrix_multiply,gcc,asan,1,native,,,,39244,14.43,,,,,,,
kmeans,gcc,asan,1,native,,,,22260,39.96,,,,,,,
word_count,gcc,asan,1,native,,,,121412,24.5,,,,,,,
pca,gcc,asan,1,native,,,,95884,23.76,,,,,,,
matrix_multiply,clang,asan,1,native,,,,41116,8.59,,,,,,,
kmeans,clang,asan,1,native,,,,24664,31.62,,,,,,,
word_count,clang,asan,1,native,,,,125984,24.95,,,,,,,
pca,clang,asan,1,native,,,,98236,8.36,,,,,,,
matrix_multiply,clang,native,1,native,,,,25204,7.16,,,,,,,
kmeans,clang,native,1,native,,,,6704,18.4,,,,,,,
word_count,clang,native,1,native,,,,108748,7.51,,,,,,,
pca,clang,native,1,native,,,,73144,8.39,,,,,,,
matrix_multiply,gcc,mpx,1,native,,,,31108,33.59,,,,,,,
kmeans,gcc,mpx,1,native,,,,18848,59.94,,,,,,,
word_count,gcc,mpx,1,native,,,,128576,15.11,,,,,,,
pca,gcc,mpx,1,native,,,,77468,53.54,,,,,,,
matrix_multiply,gcc,mpx_no_narrow_bounds,1,native,,,,28948,33.59,,,,,,,
kmeans,gcc,mpx_no_narrow_bounds,1,native,,,,16692,59.95,,,,,,,
word_count,gcc,mpx_no_narrow_bounds,1,native,,,,129904,15.07,,,,,,,
pca,gcc,mpx_no_narrow_bounds,1,native,,,,77464,53.54,,,,,,,
matrix_multiply,gcc,asan,1,native,,,,38768,14.46,,,,,,,
kmeans,gcc,asan,1,native,,,,23312,39.94,,,,,,,
word_count,gcc,asan,1,native,,,,121456,24.51,,,,,,,
pca,gcc,asan,1,native,,,,96856,23.75,,,,,,,
matrix_multiply,clang,asan,1,native,,,,41112,8.6,,,,,,,
kmeans,clang,asan,1,native,,,,24704,31.61,,,,,,,
word_count,clang,asan,1,native,,,,125984,24.95,,,,,,,
pca,clang,asan,1,native,,,,98288,8.36,,,,,,,
matrix_multiply,clang,native,1,native,,,,25336,7.12,,,,,,,
kmeans,clang,native,1,native,,,,6780,18.39,,,,,,,
word_count,clang,native,1,native,,,,108764,7.53,,,,,,,
pca,clang,native,1,native,,,,73196,8.37,,,,,,,
matrix_multiply,gcc,mpx,1,native,,,,28956,33.56,,,,,,,
kmeans,gcc,mpx,1,native,,,,15184,59.67,,,,,,,
word_count,gcc,mpx,1,native,,,,129432,15.45,,,,,,,
pca,gcc,mpx,1,native,,,,79404,53.55,,,,,,,
