name,compiler,type,threads,input,bndldx,mpxbtnum,bndstx,bndmovreg,sgxtime,sgxmem,bndmovmem,instructions,memory_reads,bndcu,bndmk,mpxerrors,bndcl,memory_writes
linear_regression,icc,mpx,1,native,3,,1,1,,,272,5699922730,543437689,271227060,16,,271227060,375375
string_match,icc,mpx,1,native,594435145,,594435143,1,,,2429721919,56617516406,10245028778,2348403535,19,,2348403519,6403300700
histogram,icc,mpx,1,native,6,,4,1,,,294,32640859600,8438480465,5185546891,87890634,,5185546889,4219123244
word_count,icc,mpx,1,native,8574380013,,8283859244,494929,,,1805869917,84450684597,12934788955,531645118,581165280,,531645118,9427670886
kmeans,icc,mpx,1,native,4090520902,,140201,100100,,,201965366,328606445510,24879085140,24341991433,100510,,24341991433,292893467
matrix_multiply,icc,mpx,1,native,6,,3,3,,,4500343,54798403573,10316129532,10125000002,14,,10125000002,3469663595
pca,icc,mpx,1,native,13513502,,6000,6000,,,18024258,68414059544,6962760267,6798408000,6010,,6798408000,104139682
linear_regression,icc,mpx_only_write,1,native,3,,1,0,,,269,5157460973,543435685,0,16,,0,374438
string_match,icc,mpx_only_write,1,native,103962045,,103962043,0,,,1344813676,47788994803,8773607428,928965219,15,,928965203,5912826661
histogram,icc,mpx_only_write,1,native,6,,4,1,,,285,33519758358,8438478481,4218750009,87890634,,4218750009,4219122307
word_count,icc,mpx_only_write,1,native,7993462211,,7702941442,123732,,,344965456,72898072399,10955090957,132648244,123746,,132648244,8591991387
kmeans,icc,mpx_only_write,1,native,320501,,140201,100100,,,1022960,271663273075,24879083138,81130432,100510,,81130432,292892521
matrix_multiply,icc,mpx_only_write,1,native,6,,3,3,,,4500338,44673395487,10316127371,3375000000,14,,3375000000,3469662650
pca,icc,mpx_only_write,1,native,4507502,,6000,6000,,,9009254,54821737237,6962761290,18012000,6010,,18012000,99640237
linear_regression,gcc,mpx,1,native,1,,0,2,,,237,47469080829,8137900887,10849082362,1,,10849082362,454550
string_match,gcc,mpx,1,native,2,,3,646416172,,,2920195062,45241099509,5918863608,3819822839,11,,3819822839,6143400204
histogram,gcc,mpx,1,native,1,,0,8,,,267,73598118197,9844849250,15468750045,4,,15468750045,4219210379
word_count,gcc,mpx,1,native,598985451,,123757,18065631,,,380601781,24023473656,4795408816,655023263,9,,655023269,2470414731
kmeans,gcc,mpx,1,native,8060801000,,100100,181107,,,42428671,501640565147,85070455063,92913792433,100504,,92913792433,252430225
matrix_multiply,gcc,mpx,1,native,10125000002,,3,3,,,4500320,199948162938,47581519786,43924844365,4,,43924844365,6843318706
pca,gcc,mpx,1,native,27036003002,,6000,6008,,,45033249,379050196613,94771346775,81085516500,6003,,81085516500,108686609
linear_regression,gcc,mpx_only_write,1,native,1,,0,0,,,237,19753065818,424881434,0,1,,0,454547
string_match,gcc,mpx_only_write,1,native,1,,3,646416172,,,2868214026,39667308370,4551406324,1523400361,11,,1523400361,6143400209
histogram,gcc,mpx_only_write,1,native,1,,0,6,,,265,40785618144,9844849236,4218750012,4,,4218750012,4219210372
word_count,gcc,mpx_only_write,1,native,308588416,,123757,18189362,,,380601749,22081600872,4506532174,132896709,9,,132896715,2488356615
kmeans,gcc,mpx_only_write,1,native,701000,,100100,181109,,,1912990,193028204192,52950312448,201590833,100504,,201590833,668550869
matrix_multiply,gcc,mpx_only_write,1,native,3375000002,,3,3,,,4500318,88334843158,23711477089,3375000001,4,,3375000001,3433882862
pca,gcc,mpx_only_write,1,native,18003002,,6000,6005,,,18027247,58338707028,10374982288,18012000,6003,,18012000,135689613
