name,compiler,type,threads,input,dtlb_loads,major_faults,mpxerrors,minor_faults,dtlb_store_misses,branch_misses,branch_instructions,dtlb_load_misses,mpxbtnum,time,cycles,dtlb_stores,sgxmem,instructions,sgxtime
word_count,clang,asan,2,native,63404821850,0,,41037,139178,171943318,63335926982,12562664,,11.222886443,83341576998,56920827820,,315320211841,
word_count,clang,asan,4,native,63475873378,0,,41046,122638,167600046,63606277024,11262634,,6.256715842,83429831846,56312051725,,316071685093,
word_count,clang,asan,8,native,63442418854,0,,41041,164057,180442434,63364654316,32101784,,6.349232066,151098404877,56705660461,,315057755630,
kmeans,clang,asan,2,native,29746151222,0,,52159,167283,19456009,25027294641,840274,,7.383360657,42271601101,7702152166,,129963425051,
kmeans,clang,asan,4,native,19323414606,0,,52239,181876,19199948,18389976313,1354680,,2.996149756,24910431564,2301008396,,93883218922,
kmeans,clang,asan,8,native,17923006280,0,,52283,184617,20543478,18083761914,6076765,,2.555150182,39718878517,1187040379,,92171625513,
histogram,clang,asan,2,native,8630503526,0,,65236,2000,297720,4833173223,256700,,1.065581603,7829301586,1538628818,,28200089596,
histogram,clang,asan,4,native,8711957043,0,,65233,1892,308137,4845479940,377364,,0.647883965,8266487001,1513422669,,28096847683,
histogram,clang,asan,8,native,8532642654,0,,65234,1899,324381,4771728095,273446,,0.641756188,14966187191,1476763366,,27933543051,
linear_regression,clang,asan,2,native,1233422479,0,,25687,2159,116273,915365042,178975,,0.353834606,2422954399,109844365,,9305912299,
linear_regression,clang,asan,4,native,1269738554,0,,25677,1357,145269,935032400,180702,,0.219308948,2543930560,130232324,,9485274027,
linear_regression,clang,asan,8,native,1142142452,0,,25685,1065,137344,852215657,144986,,0.182822601,4289100450,31731519,,8958631752,
matrix_multiply,clang,asan,2,native,19946735759,0,,2676,167541,2540851,14105417997,3481790997,,10.145530622,64420447179,4001230674,,87835494446,
matrix_multiply,clang,asan,4,native,19808789811,0,,3896,632548,2546200,14030594652,3687916611,,7.071317591,65851034506,3931697938,,87494892584,
matrix_multiply,clang,asan,8,native,19791670379,0,,4299,699494,2574229,14003435854,4005333759,,7.021394254,120376180195,3935276782,,87428389148,
string_match,clang,asan,2,native,19451940647,0,,25728,1592,65477085,23789640595,161196,,3.822003328,28641647696,11544384359,,113222181421,
string_match,clang,asan,4,native,19447315776,0,,25728,1664,65510759,23807713658,163317,,2.075200323,28676055795,11561768239,,113403372542,
string_match,clang,asan,8,native,19352862045,0,,25730,1203,67366250,23670865825,161284,,2.271932599,64361646832,11530860370,,112807314888,
pca,clang,asan,2,native,20796523888,0,,26311,4483319,4985495,15585330021,6854177,,4.357220701,32100466985,262178363,,130154945449,
pca,clang,asan,4,native,20898454839,0,,26969,4501121,4981591,15646265725,6871235,,2.4063711,33436772785,295268355,,130378571153,
pca,clang,asan,8,native,20676429056,0,,31255,4574880,5073510,15490340935,11222560,,2.195134532,59904994945,169102355,,129526805424,
word_count,clang,native,2,native,4298453143,0,,31931,112072,123723374,3035462655,5219013,,3.299660606,24529300567,2300428940,,18745300357,
word_count,clang,native,4,native,4421717487,0,,32176,75330,122968891,3066801630,5190954,,1.833738482,24801956521,2286183131,,18746114754,
word_count,clang,native,8,native,4451712220,0,,31864,131959,123311026,3066180530,18683212,,1.539725129,34468912077,2276223884,,18700187523,
kmeans,clang,native,2,native,8065288779,0,,2819,684,19682535,4829975476,396730,,1.877839902,1062114361,60415020,,8212030083,
kmeans,clang,native,4,native,4796257768,0,,2820,15382,11119493,4845546682,363381,,1.073275911,8744440538,87113720,,30927946110,
kmeans,clang,native,8,native,5650271517,0,,2822,18736,16229350,6203974822,3590178,,0.921389321,17432086369,74899845,,41159883188,
histogram,clang,native,2,native,2822797127,0,,21637,625,94495,501970806,77501,,0.370718709,2552092563,1433332396,,5565701441,
histogram,clang,native,4,native,2824259349,0,,21634,775,95790,496902906,75926,,0.224657547,2599846968,1408589975,,5521207118,
histogram,clang,native,8,native,2845853165,0,,21635,684,105292,503114175,78206,,0.209034859,4138808102,1414588316,,5696746024,
linear_regression,clang,native,2,native,561465517,0,,8445,328,66019,285262555,46211,,0.171626473,1142874846,15322185,,4470342233,
linear_regression,clang,native,4,native,562731720,0,,8447,226,73085,283369731,46204,,0.103468373,1098771768,6482862,,4358495377,
linear_regression,clang,native,8,native,566782709,0,,8450,352,73994,282076133,50498,,0.098761804,1977088097,6793053,,4419561795,
matrix_multiply,clang,native,2,native,12854535393,0,,621,89686,2478818,4609227228,1140762247,,5.892902675,32552776914,3803405564,,35398520074,
matrix_multiply,clang,native,4,native,12834523512,0,,1386,414401,2486475,4596127300,745200192,,4.303187341,28358469783,3837523769,,35343853561,
matrix_multiply,clang,native,8,native,12877400392,0,,1639,686843,2604609,4596904119,3371714747,,6.413511768,106500808870,3858273804,,35428674590,
string_match,clang,native,2,native,4076623523,0,,8463,682,54233523,6982765548,51710,,1.56491462,11603897352,5110138174,,31319622213,
string_match,clang,native,4,native,4080023100,0,,8464,653,53779457,6960209655,63565,,0.872391178,11650156649,5097353234,,31193555062,
string_match,clang,native,8,native,4083062686,0,,8462,415,56295007,6978582638,73454,,0.669258893,16904128017,5119215056,,31210996305,
pca,clang,native,2,native,6995115389,0,,18041,4417469,4965712,1866864252,557952,,2.689669239,19823347261,99418085,,47777212617,
pca,clang,native,4,native,6981199051,0,,18981,4429920,4963370,1891343157,1709863,,1.626650021,22064139720,102611835,,48189467008,
pca,clang,native,8,native,6971158591,0,,23014,4550267,4995831,1882397099,3309469,,1.318963878,35046639811,103444436,,48027775320,
word_count,gcc,mpx,2,native,12977006725,0,,43895,730444,216314766,4906377454,19749419,,6.298257343,46319207046,9188841427,,43971729375,
word_count,gcc,mpx,4,native,13060741826,0,,43633,325349,213909930,4990643677,19605711,,5.989464405,58633500401,9133919071,,44200317633,
word_count,gcc,mpx,8,native,13157234793,0,,43174,654362,220392418,5031172863,46522244,,9.911124267,127875269610,9176850618,,44460729121,
kmeans,gcc,mpx,2,native,20439410503,0,,3345,14404,50074193,6919691479,2297243,,6.417704373,34915749559,37353745,,76313660388,
