name,compiler,type,threads,input,dtlb_stores,minor_faults,dtlb_store_misses,branch_misses,mpxerrors,branch_instructions,mpxbtnum,major_faults,cycles,dtlb_load_misses,time,dtlb_loads,instructions
word_count,softbound,enabled,1,native,115696529949,28240,440729,134207110,,94881630914,,0,524777929820,38505631,173.298188597,250172057758,832554919802
word_count,softbound,enabled,1,native,115560831096,27885,169738,134618897,,94612623478,,0,531107933738,31898228,176.029586609,249448691915,830155553788
word_count,softbound,enabled,1,native,115537930143,27978,382181,133571804,,94575049909,,0,545077958081,37141968,179.88291784,249276343169,829599432018
word_count,softbound,enabled,1,native,115549307266,27978,431902,134081883,,94574530479,,0,532980933068,36977842,176.713370058,249371110027,829589467327
word_count,softbound,enabled,1,native,115567717691,27977,443443,132658928,,94536388895,,0,532681472621,37334743,176.661119261,249265676297,829437660362
word_count,softbound,enabled,1,native,115552898150,27977,443059,133281637,,94541167106,,0,532621815185,37556170,176.622800138,249322094522,829555635439
word_count,softbound,enabled,1,native,115614452529,27979,432504,131914550,,94539537749,,0,533320142716,36947957,176.866862087,249140484514,829785976460
word_count,softbound,enabled,1,native,115573213604,27910,155285,132643142,,94538151128,,0,531434187907,30365162,176.238204318,249287365168,829483900213
word_count,softbound,enabled,1,native,115586559697,27975,433323,134280933,,94546167787,,0,532750201942,37114361,176.725824839,249268279728,829563509595
word_count,safecode,enabled,1,native,9180477363,28427,489303,137148769,,11229721680,,0,34590132355,36813897,9.113933493,14026250986,55337095623
pca,safecode,enabled,1,native,102002201,18033,4477921,4921028,,13673752730,,0,33041868547,398527,8.709946252,27202753268,135766415054
matrix_multiply,safecode,enabled,1,native,7283769831,2633,28337,34373063,,10607598787,,0,27648972906,341974,7.28541085,16333340834,57081848850
kmeans,safecode,enabled,1,native,243103609,5536,22214,82026909,,36426144135,,0,67643269037,34474433,18.013938329,48809778400,230706104001
word_count,safecode,enabled,1,native,9183438598,28426,463975,137592830,,11242352846,,0,34587383999,36679428,9.111941559,14034402964,55309552717
pca,safecode,enabled,1,native,102077775,18031,4482628,4926152,,13675853922,,0,33021244753,397191,8.700389822,27211402657,135757655033
matrix_multiply,safecode,enabled,1,native,7284173469,2631,28371,34321080,,10609238381,,0,27769616073,331479,7.316169312,16334154367,57089428346
kmeans,safecode,enabled,1,native,223090194,5537,22089,82102127,,36409793178,,0,67634674923,34412710,18.027225286,48850047842,230585029395
word_count,safecode,enabled,1,native,9171111509,28428,446793,137525368,,11216517155,,0,34610706289,36830897,9.117685075,14018363952,55395980524
pca,safecode,enabled,1,native,109117414,18034,4492127,4919984,,13672945300,,0,32999696024,408304,8.712204056,27204907476,135789137304
matrix_multiply,safecode,enabled,1,native,7284603231,2630,28662,34486010,,10605321555,,0,27667408719,324596,7.290208732,16323815618,57081900300
kmeans,safecode,enabled,1,native,236958090,5534,31463,82142655,,36423592865,,0,67629185339,34350049,18.018637713,48823629713,230646961673
word_count,safecode,enabled,1,native,9192553258,28430,454684,138949806,,11259945379,,0,34574782591,36658639,9.109295013,14035009583,55310771983
pca,safecode,enabled,1,native,100545496,18031,4479744,4925918,,13675315585,,0,33023390056,391830,8.701103342,27212591998,135741947710
matrix_multiply,safecode,enabled,1,native,7283970451,2631,15286,34419816,,10605863140,,0,27565465537,330310,7.262034115,16329087416,57071311682
kmeans,safecode,enabled,1,native,238875812,5538,28958,81999867,,36402871689,,0,67628379750,34436605,18.031332996,48843221022,230417895785
word_count,safecode,enabled,1,native,9177661883,28425,452836,136915865,,11254993206,,0,34984852759,36855836,9.220670976,14010811023,55469519286
pca,safecode,enabled,1,native,104520601,18034,4480209,4918516,,13672917356,,0,33025748055,389845,8.701646877,27213032592,135786306074
matrix_multiply,safecode,enabled,1,native,7284459434,2631,1192,34452069,,10603237098,,0,27585152774,334241,7.270043557,16331546579,57061951645
kmeans,safecode,enabled,1,native,242687458,5538,15710,82141528,,36427747336,,0,67106587058,16352479,17.853991224,48810747930,230710180283
matrix_multiply,clang,asan,1,native,7263115099,3809,27490,34583006,,20804182183,,0,32432644078,423896,8.554235578,26552124686,104567481899
kmeans,clang,asan,1,native,426973651,3648,5042,80960768,,89674907002,,0,120393031229,1260654,31.722550881,81946308209,518177965761
pca,clang,asan,1,native,129486182,25593,4539896,4941936,,15442353825,,0,31796745662,6785240,8.377986485,20555968840,129440529520
word_count,clang,asan,1,native,64641141306,32891,101171,186171045,,72109158950,,0,94762615277,87488951,24.973164855,71726632897,357932326376
matrix_multiply,gcc,native,1,native,7225151325,2614,16800,34304587,,10559015350,,0,32557505318,339002,8.586364096,19709403354,80382549628
kmeans,gcc,native,1,native,544072980,1216,412,256502976,,44446081710,,0,50363976370,5165,13.268474492,48870455062,188132230245
pca,gcc,native,1,native,129627257,17758,4483014,4945593,,3567902544,,0,41421923623,197785,10.912555013,7025931344,58308896804
word_count,gcc,native,1,native,2490827674,28409,481372,236205390,,3855372630,,0,23329551893,85353259,6.149734895,4407416604,20497101352
matrix_multiply,icc,native,1,native,7225171578,2624,1019,34281240,,10588386704,,0,28626433210,336900,7.541644335,16332036183,53539082841
kmeans,icc,native,1,native,289592453,1227,146,82133850,,48548881329,,0,70395246324,3445,18.543225882,24891028083,279009370545
pca,icc,native,1,native,104482473,17761,4492494,4938937,,3572160277,,0,40402841790,201917,10.643923389,6981967067,54833888577
word_count,icc,native,1,native,4055730643,28413,88480,190615237,,2993194133,,0,28671618701,36938882,7.554214044,8145972864,23546126904
matrix_multiply,clang,native,1,native,7221582450,2618,1292,34267625,,10551979018,,0,27016050853,338694,7.1366917,16233571845,53411784947
kmeans,clang,native,1,native,326324467,1222,176,82780038,,40598609920,,0,69953716881,3593,18.429486044,36671627796,268072729598
pca,clang,native,1,native,101505354,17762,4477574,4941667,,1881062020,,0,31827095348,219307,8.389095522,6975222723,48094594601
word_count,clang,native,1,native,2489627563,28408,424247,133720773,,3470528372,,0,28635860646,36498457,7.544364773,4599185481,20955807736
matrix_multiply,gcc,mpx,1,native,10651533309,2636,27070,34403058,,10605544371,,0,127378650758,328027,33.553859676,63749126345,218837077332
kmeans,gcc,mpx,1,native,259018471,1512,136,254768306,,40409704054,,0,226663195489,2227,59.700700948,93190458728,501721034352
pca,gcc,mpx,1,native,149412887,17083,2836239,4980465,,13683193213,,0,203452522769,168506,53.590791511,121848936970,379143897907
word_count,gcc,mpx,1,native,10225453584,30806,2819723,239231071,,5743550772,,0,52981891345,106862122,14.691202366,13441467537,47358105166
matrix_multiply,gcc,mpx_no_narrow_bounds,1,native,10646492767,2636,324,34385929,,10609979764,,0,127411006709,350399,33.557975374,63735516162,218919944776
kmeans,gcc,mpx_no_narrow_bounds,1,native,255333588,1654,308,254830139,,40419593767,,0,227317982562,207181,59.871165326,93181697082,501735868528
pca,gcc,mpx_no_narrow_bounds,1,native,151615861,17172,3044672,4979933,,13682679707,,0,203456569938,187519,53.591857278,121851430568,379121582504
word_count,gcc,mpx_no_narrow_bounds,1,native,10249831660,29994,3154691,238880710,,5727896596,,0,53054245760,115338831,14.805175146,13451303937,47198575399
matrix_multiply,icc,mpx,1,native,7227683274,2641,447,34455481,,10582980549,,0,36251081955,341338,9.555661147,16346697633,73705968453
kmeans,icc,mpx,1,native,292274016,1704,3691,80996774,,48569119107,,0,108048465444,603815,28.464910468,29192314687,336228671017
pca,icc,mpx,1,native,109531187,17786,4505184,4967635,,3568682840,,0,38626351244,204371,10.182542791,7017571673,68462765175
word_count,icc,mpx,1,native,19176937621,30792,451251,186979309,,10068989266,,0,84860777101,60762182,22.371772602,30735394841,93678254284
matrix_multiply,icc,mpx_no_narrow_bounds,1,native,7227427321,2639,562,34459226,,10591849692,,0,36264091854,346548,9.584265857,16345652886,73809062036
kmeans,icc,mpx_no_narrow_bounds,1,native,288760650,1766,1876,80863144,,48584062586,,0,108247724909,753049,28.520781343,29191359842,336235008599
pca,icc,mpx_no_narrow_bounds,1,native,118293376,17815,4499980,4954713,,3561868010,,0,38824424581,825214,10.229944335,7010631531,68451200900
word_count,icc,mpx_no_narrow_bounds,1,native,19178972889,30874,476169,186547433,,10064167893,,0,85054991727,60868510,22.418196631,30758433269,93561763316
matrix_multiply,softbound,enabled,1,native,7337492803,2639,29679,34352991,,37572756128,,0,43494155785,329322,11.46399292,60445052755,148686569571
kmeans,softbound,enabled,1,native,20267141697,1252,26,81150882,,182350145302,,0,158295282693,4302,41.702720435,259370878044,725298399565
pca,softbound,enabled,1,native,147014242,17789,3653557,4969615,,94853192020,,0,75679815836,200497,19.938965865,108486526271,366019145596
matrix_multiply,clang,asan,1,native,7255175699,3814,1200,34588891,,20779464123,,0,32549683643,427349,8.575319234,26546910435,104578039805
kmeans,clang,asan,1,native,423691350,3649,3292,80654587,,89677823970,,0,120247403550,1053939,31.686254081,81943482934,518176314861
pca,clang,asan,1,native,130107489,25592,4545122,4925528,,15446403190,,0,31778059659,6788629,8.37412449,20563756901,129435169438
word_count,clang,asan,1,native,64724951418,32889,115227,186678139,,72121894103,,0,94757063941,87105330,24.969424751,71684554603,358182569351
matrix_multiply,gcc,native,1,native,7226016284,2616,28007,34314493,,10557897593,,0,32574938456,344402,8.59703188,19715871624,80388772248
kmeans,gcc,native,1,native,540692646,1219,308,256497164,,44451895107,,0,50290448896,5090,13.247477426,48978848841,187986185254
pca,gcc,native,1,native,133089875,17757,4494476,4945323,,3564257418,,0,41410513596,217405,10.910756813,7025021747,58308277700
word_count,gcc,native,1,native,2490093106,28409,481472,236662500,,3846814671,,0,23371823924,84822704,6.159971396,4413888683,20399002523
matrix_multiply,icc,native,1,native,7232599501,2624,28042,34351342,,10590206072,,0,28674270879,339782,7.560002128,16345179945,53526016019
kmeans,icc,native,1,native,289734516,1226,152,82025244,,48566512177,,0,70424379799,3721,18.549681506,24880398615,279084158685
pca,icc,native,1,native,98942224,17761,4489024,4944836,,3575640151,,0,40454733922,243237,10.660590732,6984837386,54842679472
word_count,icc,native,1,native,4182234842,28415,93801,192586209,,3014564615,,0,28711313716,36695023,7.564664391,8064592304,23460629522
matrix_multiply,clang,native,1,native,7229202400,2616,1222,34283460,,10553776440,,0,27058353536,345492,7.128480347,16219384622,53402731548
kmeans,clang,native,1,native,329834138,1223,124,82355850,,40587463323,,0,69939757181,3413,18.422024477,36670770500,268075904004
pca,clang,native,1,native,98273943,17759,4484331,4934925,,1883714038,,0,31821176893,221181,8.384259171,6975303945,48091763797
word_count,clang,native,1,native,2492496060,28410,423483,133530607,,3480221853,,0,28596583477,36703533,7.537054127,4594606796,20973378063
matrix_multiply,gcc,mpx,1,native,10648074908,2633,3587,34409186,,10607839873,,0,127376931812,350210,33.549800639,63741876990,218853147157
