name,compiler,type,threads,input,major_faults,sys_time,voluntary_context_switches,maxsize,user_time,mpxerrors,involuntary_context_switches,mpxbtnum,sgxtime,sgxmem,minor_faults,time
kmeans,gcc,native,1,0,0,0,1,19616,0.26,,4,,,,4464,0.26
kmeans,gcc,native,1,1,0,0,1,36884,0.14,,2,,,,7738,0.15
kmeans,gcc,native,1,2,0,0,1,71152,0.25,,3,,,,13779,0.26
kmeans,gcc,native,1,3,0,0.03,1,139900,0.46,,4,,,,25855,0.5
kmeans,gcc,native,1,4,0,0.04,1,277556,1.04,,5,,,,51032,1.09
pca,gcc,native,1,0,0,0,1,6992,0.13,,2,,,,1222,0.13
pca,gcc,native,1,1,0,0,1,13772,0.68,,2,,,,2917,0.68
pca,gcc,native,1,2,0,0,1,29132,2.73,,9,,,,6775,2.73
pca,gcc,native,1,3,0,0.01,1,73260,10.92,,21,,,,17784,10.93
matrix_multiply,gcc,native,1,0,0,0.13,1,3316,0.06,,2,,,,281,0.2
matrix_multiply,gcc,native,1,1,1,0.76,1,6856,0.69,,6,,,,782,1.46
matrix_multiply,gcc,native,1,2,1,3,1,25360,5.6,,18,,,,2637,8.61
matrix_multiply,gcc,native,1,3,1,11.98,2,107008,44.39,,108,,,,10055,56.39
kmeans,icc,native,1,0,0,0,1,19716,0.22,,3,,,,4472,0.23
kmeans,icc,native,1,1,0,0,1,36940,0.14,,2,,,,7744,0.14
kmeans,icc,native,1,2,0,0.02,1,71116,0.25,,2,,,,13275,0.27
kmeans,icc,native,1,3,0,0.02,1,139996,0.48,,4,,,,26370,0.51
kmeans,icc,native,1,4,0,0.02,1,277404,1.07,,3,,,,51549,1.1
pca,icc,native,1,0,0,0,1,6916,0.13,,2,,,,1226,0.13
pca,icc,native,1,1,0,0,1,13772,0.66,,4,,,,2924,0.67
pca,icc,native,1,2,0,0,1,29152,2.66,,6,,,,6780,2.67
pca,icc,native,1,3,0,0.02,1,73152,10.62,,22,,,,17784,10.64
matrix_multiply,icc,native,1,0,0,0.14,1,3380,0.05,,2,,,,292,0.19
matrix_multiply,icc,native,1,1,1,0.74,1,7028,0.58,,4,,,,792,1.33
matrix_multiply,icc,native,1,2,1,3.04,1,25400,4.53,,18,,,,2641,7.57
matrix_multiply,icc,native,1,3,1,12.05,1,107076,35.9,,90,,,,10058,47.96
kmeans,clang,native,1,0,0,0,1,19576,0.24,,3,,,,3956,0.25
kmeans,clang,native,1,1,0,0,1,36952,0.15,,2,,,,7231,0.16
kmeans,clang,native,1,2,0,0,1,71100,0.28,,3,,,,13779,0.29
kmeans,clang,native,1,3,0,0.03,1,139876,0.5,,4,,,,25854,0.54
kmeans,clang,native,1,4,0,0.03,1,277488,1.14,,3,,,,51034,1.18
pca,clang,native,1,0,0,0,1,6956,0.1,,2,,,,1226,0.1
pca,clang,native,1,1,0,0,1,13728,0.52,,4,,,,2918,0.53
pca,clang,native,1,2,0,0,1,29244,2.12,,5,,,,6779,2.13
pca,clang,native,1,3,0,0.03,1,73212,8.36,,22,,,,17784,8.4
matrix_multiply,clang,native,1,0,0,0.14,1,3500,0.04,,1,,,,287,0.19
matrix_multiply,clang,native,1,1,1,0.76,1,6864,0.52,,5,,,,784,1.28
matrix_multiply,clang,native,1,2,1,3,1,25236,4.14,,18,,,,2638,7.14
matrix_multiply,clang,native,1,3,1,12.16,1,106992,32.45,,88,,,,10054,44.62
kmeans,gcc,mpx,1,0,0,0,1,38948,0.58,,3,,,,5198,0.59
kmeans,gcc,mpx,1,1,0,0,1,67200,0.34,,2,,,,10213,0.34
kmeans,gcc,mpx,1,2,0,0.02,1,125492,0.58,,4,,,,19656,0.6
kmeans,gcc,mpx,1,3,0,0.04,1,246380,0.99,,3,,,,38663,1.04
kmeans,gcc,mpx,1,4,0,0.05,1,483000,2.21,,6,,,,75843,2.27
pca,gcc,mpx,1,0,0,0,1,7164,0.64,,2,,,,1248,0.64
pca,gcc,mpx,1,1,0,0,1,13860,3.36,,10,,,,2949,3.36
pca,gcc,mpx,1,2,0,0,1,31496,13.41,,29,,,,6812,13.41
pca,gcc,mpx,1,3,0,0.01,1,77452,53.52,,108,,,,17799,53.55
matrix_multiply,gcc,mpx,1,0,0,0.14,1,5500,0.31,,4,,,,300,0.45
matrix_multiply,gcc,mpx,1,1,1,0.76,1,9052,3.77,,10,,,,803,4.53
matrix_multiply,gcc,mpx,1,2,1,3.04,1,28948,30.53,,68,,,,2655,33.59
matrix_multiply,gcc,mpx,1,3,,,,,,,,,,,,
kmeans,gcc,mpx_no_narrow_bounds,1,0,0,0,1,34388,0.58,,3,,,,5079,0.59
kmeans,gcc,mpx_no_narrow_bounds,1,1,0,0,1,68352,0.32,,4,,,,10504,0.33
kmeans,gcc,mpx_no_narrow_bounds,1,2,0,0.01,1,126696,0.58,,2,,,,19974,0.6
kmeans,gcc,mpx_no_narrow_bounds,1,3,0,0.04,1,244392,0.96,,5,,,,38686,1.01
kmeans,gcc,mpx_no_narrow_bounds,1,4,0,0.08,1,480680,2.18,,7,,,,76279,2.27
pca,gcc,mpx_no_narrow_bounds,1,0,0,0,1,11188,0.64,,4,,,,1239,0.64
pca,gcc,mpx_no_narrow_bounds,1,1,0,0,3,18012,3.36,,9,,,,2943,3.37
pca,gcc,mpx_no_narrow_bounds,1,2,0,0,3,29420,13.4,,29,,,,6821,13.41
pca,gcc,mpx_no_narrow_bounds,1,3,0,0.01,8,77384,53.59,,100,,,,17397,53.61
matrix_multiply,gcc,mpx_no_narrow_bounds,1,0,0,0.14,1,7624,0.3,,3,,,,301,0.45
matrix_multiply,gcc,mpx_no_narrow_bounds,1,1,1,0.75,1,9220,3.78,,12,,,,803,4.53
matrix_multiply,gcc,mpx_no_narrow_bounds,1,2,1,3.03,1,29072,30.53,,63,,,,2655,33.57
matrix_multiply,gcc,mpx_no_narrow_bounds,1,3,,,,,,,,,,,,
kmeans,icc,mpx,1,0,0,0,1,38728,0.32,,2,,,,5577,0.33
kmeans,icc,mpx,1,1,0,0,1,69536,0.2,,3,,,,10235,0.2
kmeans,icc,mpx,1,2,0,0.01,1,128156,0.36,,4,,,,19812,0.38
kmeans,icc,mpx,1,3,0,0.02,1,247916,0.65,,2,,,,38440,0.68
kmeans,icc,mpx,1,4,0,0.08,1,489824,1.4,,7,,,,76520,1.49
pca,icc,mpx,1,0,0,0,1,11484,0.12,,3,,,,1255,0.12
pca,icc,mpx,1,1,0,0,1,14224,0.64,,2,,,,2962,0.64
pca,icc,mpx,1,2,0,0,2,33552,2.56,,7,,,,6804,2.56
pca,icc,mpx,1,3,0,0.02,1,75624,10.15,,20,,,,17831,10.17
matrix_multiply,icc,mpx,1,0,0,0.12,1,5732,0.08,,3,,,,311,0.21
matrix_multiply,icc,mpx,1,1,1,0.74,1,11272,0.84,,6,,,,809,1.59
matrix_multiply,icc,mpx,1,2,1,3.08,1,31228,6.51,,23,,,,2668,9.6
matrix_multiply,icc,mpx,1,3,,,,,,,,,,,,
kmeans,icc,mpx_no_narrow_bounds,1,0,0,0,1,43840,0.32,,3,,,,5846,0.32
kmeans,icc,mpx_no_narrow_bounds,1,1,0,0.01,1,70040,0.2,,3,,,,10906,0.22
kmeans,icc,mpx_no_narrow_bounds,1,2,0,0.01,1,126744,0.37,,3,,,,19957,0.38
kmeans,icc,mpx_no_narrow_bounds,1,3,0,0.02,1,251700,0.65,,4,,,,38902,0.68
kmeans,icc,mpx_no_narrow_bounds,1,4,0,0.06,1,487228,1.42,,4,,,,75803,1.48
pca,icc,mpx_no_narrow_bounds,1,0,0,0,1,9364,0.12,,2,,,,1256,0.12
pca,icc,mpx_no_narrow_bounds,1,1,0,0,1,18124,0.64,,6,,,,2949,0.64
pca,icc,mpx_no_narrow_bounds,1,2,0,0,1,29700,2.55,,6,,,,6831,2.55
pca,icc,mpx_no_narrow_bounds,1,3,0,0.01,5,75736,10.15,,25,,,,17838,10.17
matrix_multiply,icc,mpx_no_narrow_bounds,1,0,0,0.14,1,5804,0.07,,4,,,,311,0.21
matrix_multiply,icc,mpx_no_narrow_bounds,1,1,1,0.75,1,9272,0.83,,4,,,,814,1.59
matrix_multiply,icc,mpx_no_narrow_bounds,1,2,1,3.03,2,27076,6.54,,24,,,,2663,9.58
matrix_multiply,icc,mpx_no_narrow_bounds,1,3,,,,,,,,,,,,
kmeans,clang,asan,1,0,0,0,1,47168,0.47,,4,,,,12526,0.48
kmeans,clang,asan,1,1,0,0.01,1,77196,0.33,,3,,,,24475,0.34
kmeans,clang,asan,1,2,0,0.02,1,137000,0.62,,5,,,,46852,0.65
kmeans,clang,asan,1,3,0,0.07,1,256788,1.06,,3,,,,91605,1.14
kmeans,clang,asan,1,4,0,0.09,1,496352,2.37,,9,,,,182134,2.46
pca,clang,asan,1,0,0,0,1,22108,0.1,,3,,,,2161,0.1
pca,clang,asan,1,1,0,0,1,30260,0.51,,3,,,,5038,0.51
pca,clang,asan,1,2,0,0,1,49204,2.06,,6,,,,11104,2.07
pca,clang,asan,1,3,0,0.03,1,98204,8.34,,20,,,,25613,8.37
matrix_multiply,clang,asan,1,0,0,0.13,1,17848,0.07,,2,,,,692,0.2
matrix_multiply,clang,asan,1,1,1,0.75,1,22592,0.7,,5,,,,1366,1.46
matrix_multiply,clang,asan,1,2,1,3.02,2,41088,5.57,,23,,,,3832,8.6
matrix_multiply,clang,asan,1,3,1,12.15,1,117140,44.86,,108,,,,13719,57.02
kmeans,gcc,native,1,0,0,0,1,19568,0.26,,4,,,,3953,0.26
kmeans,gcc,native,1,1,0,0,1,36744,0.13,,2,,,,7226,0.14
kmeans,gcc,native,1,2,0,0,1,71056,0.25,,2,,,,13776,0.26
kmeans,gcc,native,1,3,0,0.01,1,139876,0.48,,3,,,,26364,0.5
kmeans,gcc,native,1,4,0,0.04,1,277448,1.04,,5,,,,51029,1.09
pca,gcc,native,1,0,0,0,1,6964,0.13,,2,,,,1221,0.13
pca,gcc,native,1,1,0,0,1,13596,0.68,,2,,,,2919,0.68
pca,gcc,native,1,2,0,0.01,1,29120,2.72,,12,,,,6776,2.73
pca,gcc,native,1,3,0,0.01,1,73208,10.88,,23,,,,17781,10.9
matrix_multiply,gcc,native,1,0,0,0.14,1,3500,0.06,,3,,,,288,0.2
matrix_multiply,gcc,native,1,1,1,0.77,1,6916,0.69,,4,,,,782,1.46
matrix_multiply,gcc,native,1,2,1,3.06,1,25216,5.57,,20,,,,2637,8.63
matrix_multiply,gcc,native,1,3,1,12.25,1,107024,44.29,,122,,,,10053,56.55
kmeans,icc,native,1,0,0,0,1,19652,0.22,,2,,,,4469,0.23
kmeans,icc,native,1,1,0,0,1,36944,0.14,,2,,,,7742,0.14
kmeans,icc,native,1,2,0,0,1,71200,0.27,,4,,,,13780,0.27
kmeans,icc,native,1,3,0,0.01,1,140000,0.49,,2,,,,26370,0.51
kmeans,icc,native,1,4,0,0.05,1,277400,1.05,,4,,,,51551,1.1
pca,icc,native,1,0,0,0,1,6976,0.12,,4,,,,1228,0.13
pca,icc,native,1,1,0,0,1,13708,0.66,,2,,,,2927,0.67
pca,icc,native,1,2,0,0.01,1,29248,2.65,,8,,,,6783,2.67
pca,icc,native,1,3,0,0.02,1,73164,10.62,,23,,,,17785,10.65
matrix_multiply,icc,native,1,0,0,0.14,1,3364,0.04,,3,,,,290,0.19
matrix_multiply,icc,native,1,1,1,0.75,1,6984,0.58,,6,,,,788,1.33
matrix_multiply,icc,native,1,2,1,3.06,1,25288,4.52,,19,,,,2643,7.59
matrix_multiply,icc,native,1,3,1,12.04,1,107048,35.86,,91,,,,10061,47.91
kmeans,clang,native,1,0,0,0,1,19472,0.24,,2,,,,3951,0.25
kmeans,clang,native,1,1,0,0,1,36964,0.15,,2,,,,7742,0.16
kmeans,clang,native,1,2,0,0.01,1,71108,0.28,,2,,,,13776,0.3
kmeans,clang,native,1,3,0,0.02,1,139956,0.52,,4,,,,26366,0.54
kmeans,clang,native,1,4,0,0.05,1,277528,1.12,,4,,,,51031,1.17
pca,clang,native,1,0,0,0,1,7032,0.1,,2,,,,1227,0.1
pca,clang,native,1,1,0,0,1,13752,0.52,,2,,,,2923,0.53
pca,clang,native,1,2,0,0.01,1,29192,2.09,,6,,,,6778,2.1
pca,clang,native,1,3,0,0,1,73144,8.37,,18,,,,17782,8.38
matrix_multiply,clang,native,1,0,0,0.14,1,3296,0.04,,3,,,,284,0.19
matrix_multiply,clang,native,1,1,1,0.76,1,6916,0.52,,5,,,,785,1.29
matrix_multiply,clang,native,1,2,1,3.01,1,25364,4.14,,17,,,,2637,7.16
matrix_multiply,clang,native,1,3,1,12.09,2,107008,32.43,,97,,,,10053,44.53
kmeans,gcc,mpx,1,0,0,0,1,39584,0.58,,4,,,,5872,0.59
kmeans,gcc,mpx,1,1,0,0,1,66476,0.32,,2,,,,10529,0.33
kmeans,gcc,mpx,1,2,0,0.01,1,125644,0.58,,3,,,,19746,0.6
kmeans,gcc,mpx,1,3,0,0.04,1,245552,0.97,,4,,,,38915,1.01
kmeans,gcc,mpx,1,4,0,0.07,1,483664,2.2,,9,,,,76503,2.27
pca,gcc,mpx,1,0,0,0,1,9248,0.63,,3,,,,1248,0.64
pca,gcc,mpx,1,1,0,0,1,17904,3.36,,9,,,,2937,3.36
pca,gcc,mpx,1,2,0,0,1,31452,13.41,,27,,,,6806,13.41
pca,gcc,mpx,1,3,0,0,6,75488,53.52,,108,,,,17482,53.54
matrix_multiply,gcc,mpx,1,0,0,0.14,1,7600,0.3,,3,,,,301,0.45
matrix_multiply,gcc,mpx,1,1,1,0.75,1,9112,3.78,,10,,,,805,4.54
matrix_multiply,gcc,mpx,1,2,1,2.98,1,28984,30.6,,63,,,,2656,33.59
matrix_multiply,gcc,mpx,1,3,,,,,,,,,,,,
kmeans,gcc,mpx_no_narrow_bounds,1,0,0,0,1,36324,0.61,,3,,,,6078,0.61
kmeans,gcc,mpx_no_narrow_bounds,1,1,0,0.01,1,68008,0.31,,3,,,,9916,0.33
kmeans,gcc,mpx_no_narrow_bounds,1,2,0,0.02,1,125712,0.58,,2,,,,19705,0.6
