name,compiler,type,threads,input,instructions,mpxerrors,branch_misses,major_faults,cycles,dtlb_loads,dtlb_load_misses,dtlb_store_misses,branch_instructions,time,dtlb_stores,minor_faults,mpxbtnum
kmeans,gcc,native,1,0,1052314217,,8785846,0,492005805,275136716,123410,6796,187004278,0.215426869,85421452,4629,
kmeans,gcc,native,1,1,1736083071,,15412288,0,814301955,491811676,199151,14697,362195291,0.354419295,138305684,7873,
kmeans,gcc,native,1,2,3674610212,,34362457,0,1840857824,1100279715,384068,38487,761267124,0.73324389,331385008,13918,
kmeans,gcc,native,1,3,9302190099,,84879798,0,4774921128,2684741228,819324,86171,1906704954,1.53076486,804048767,26006,
kmeans,gcc,native,1,0,1018854581,,8482812,0,527759780,255647070,102899,6817,193295650,0.214216986,71639942,4119,
kmeans,gcc,native,1,1,1616303331,,14033688,0,759766149,487660757,181135,12640,344278622,0.35341715,145886218,7362,
kmeans,gcc,native,1,2,3466805927,,33997733,0,1775868146,1142375954,388228,36568,766720778,0.729872095,317012168,13408,
kmeans,gcc,native,1,3,9524093504,,84441153,0,4907519205,2557841712,890209,90702,1990893057,1.534171468,791505004,26516,
kmeans,gcc,native,1,0,1147100929,,8873494,0,523190709,244556121,125463,5689,223275825,0.215768765,61656621,4630,
kmeans,gcc,native,1,1,1613466216,,15607141,0,739448416,505287183,204180,13694,346709128,0.355198605,142764127,7361,
kmeans,gcc,native,1,2,3477382691,,32876031,0,1767181435,1097467327,395181,36504,748429723,0.728983949,334183582,13918,
kmeans,gcc,native,1,3,8927240295,,85210805,0,4700747052,2665570481,855627,94950,1937790031,1.528786828,800430768,26511,
kmeans,gcc,native,1,0,1152177812,,9143522,0,470581731,274835694,105140,6639,228015338,0.216962823,68830101,4111,
kmeans,gcc,native,1,1,1681991032,,14242431,0,821002488,489944365,180210,14079,345335784,0.355171331,148091818,7361,
kmeans,gcc,native,1,2,3572863360,,33358366,0,1859038309,1108955560,369862,35460,769661049,0.734656099,301779969,13918,
kmeans,gcc,native,1,3,8376685486,,87435063,0,4720101573,2702668322,814873,88545,1772289861,1.531376549,848602139,26006,
kmeans,gcc,native,1,0,1044047504,,9791168,0,523051476,269460736,116592,6303,218839821,0.214521964,63065086,4629,
kmeans,gcc,native,1,1,1603995239,,13916729,0,774171947,465431677,200553,13461,319977729,0.352609815,147670491,7361,
kmeans,gcc,native,1,2,3638428499,,33846684,0,1871718362,1122719133,365848,36324,790119453,0.729579118,308877007,13405,
kmeans,gcc,native,1,3,9873905773,,85380847,0,4948940549,2490140044,911976,84074,1981875247,1.522942704,798082442,26006,
kmeans,gcc,native,1,0,1126372928,,9856183,0,472668431,265670954,110642,6459,224269123,0.215081128,59754750,4119,
kmeans,gcc,native,1,1,1571707050,,14460860,0,766247141,513230906,206144,11456,336802306,0.35566843,134515759,7873,
kmeans,gcc,native,1,2,3630389126,,34330540,0,1843321690,1110557531,383664,38077,789427705,0.734543586,313445108,13919,
kmeans,gcc,native,1,3,9512885086,,83090379,0,4945994207,2578079954,908445,88850,1953150743,1.529742316,806641733,26518,
kmeans,gcc,native,1,0,1138982615,,10128162,0,535222586,260194756,106290,6024,216182040,0.215905656,71402053,4628,
kmeans,gcc,native,1,1,1529056321,,14405241,0,731568167,499215405,231518,12188,323603558,0.352552312,149786277,7871,
kmeans,gcc,native,1,2,3620446413,,33322126,0,1873398783,1113470896,365566,35450,774770365,0.734038643,301440591,13917,
kmeans,gcc,native,1,3,8664742745,,81597033,0,4676003240,2695163814,820551,94218,1874131513,1.530530607,819444606,26515,
kmeans,gcc,native,1,0,1039870786,,8607955,0,481846807,269664142,122700,6733,185341064,0.215560523,83354640,4630,
kmeans,gcc,native,1,1,1624785519,,15924927,0,768792053,500912372,213081,14633,356151396,0.354228126,133904460,7870,
kmeans,gcc,native,1,2,3543084181,,34110622,0,1783792577,1136445183,404382,36973,765581674,0.730271288,310951117,13917,
kmeans,gcc,native,1,3,8648118875,,84212444,0,4843419397,2517146478,801496,88981,1773760078,1.522285617,845162928,26516,
kmeans,gcc,native,1,0,958946499,,8975899,0,488083549,271347242,108086,7057,200003435,0.213480219,72279617,4120,
kmeans,gcc,native,1,1,1718618406,,14401371,0,842017741,455325257,183823,12050,349430776,0.353170042,138765307,7361,
kmeans,gcc,native,1,2,3607215720,,35409067,0,1834313364,1115026032,370289,37863,800620362,0.731281463,337536995,13917,
kmeans,gcc,native,1,3,10029155046,,82908924,0,5186804465,2528960883,953274,87483,1980612897,1.528992289,790752585,26513,
kmeans,gcc,native,1,0,1114213545,,8556250,0,550686535,250787696,94393,7022,200622916,0.21572163,71761376,4118,
kmeans,gcc,native,1,1,1619604743,,13266129,0,775708540,478531210,213325,15224,339593795,0.354638174,152507013,7872,
kmeans,gcc,native,1,2,3509446126,,33275170,0,1880535198,1084178085,372258,36862,761102086,0.733149954,339687884,13919,
kmeans,gcc,native,1,3,7920254386,,85059018,0,4596046154,2688807818,866230,91401,1713160830,1.529922194,861306103,26513,
word_count,gcc,native,1,0,1992519353,,18869977,0,1890270937,466078636,208572,7277,336948867,0.49883881,319400279,3279,
word_count,gcc,native,1,1,9104579118,,107924815,0,9765647664,1951330426,19574799,104786,1740362714,2.576433147,1009239119,14384,
word_count,gcc,native,1,2,20498132463,,236517594,0,23323761599,4401563492,84311516,573522,3864144889,6.14962637,2498174320,28410,
word_count,gcc,native,1,3,35618423850,,482294538,0,42738680895,6949500179,199576939,547222,7323510170,11.261236126,3053054145,55724,
word_count,gcc,native,1,0,1987779373,,18836693,0,1890185385,468021483,221794,7599,337088400,0.498807889,319591156,3282,
word_count,gcc,native,1,1,9141438482,,107540301,0,9788789100,1955604105,19529759,94364,1740765016,2.579504009,1012544214,14385,
word_count,gcc,native,1,2,20393728727,,236890697,0,23370934700,4408588901,83697870,516145,3842609240,6.160024351,2492881456,28409,
word_count,gcc,native,1,3,35574702590,,482048802,0,42682241398,6975962675,198333250,623515,7338913106,11.248594449,3054356110,55728,
word_count,gcc,native,1,0,2013973641,,18850861,0,1897592002,462004955,220127,7386,336117944,0.500490249,319130862,3282,
