name,compiler,type,threads,input,PORT_3,mpxerrors,UOPS_EXECUTED.CORE,PORT_0,PORT_7,PORT_6,mpxbtnum,PORT_4,PORT_5,PORT_1,PORT_2
ferret,gcc,native,1,None,319387755542,,2087646451701,342899420453,38699464426,469430497613,,73611324805,308507065029,278783000756,317550918072
dedup,gcc,native,1,None,28948036423,,160728167347,16378465198,11405943667,28356910181,,22719472481,19740799074,18935308906,28801031333
raytrace,gcc,native,1,None,188816678170,,1443881594344,242631054068,69553211085,126690387543,,118106775948,295791628640,251194511627,180511231838
swaptions,gcc,native,1,None,232811324021,,1618716958109,218993443909,50101519802,329227650795,,109932945737,258282603035,220696907337,223432305454
bodytrack,gcc,native,1,None,86955872339,,804045872107,183103826358,23991812055,116317699648,,44251425519,106608158185,191855787914,82124125480
blackscholes,gcc,native,1,None,83114162571,,702066399588,119597101561,22472825871,105266122496,,40205647934,137158982392,120968825695,80401376532
fluidanimate,gcc,native,1,None,279044506905,,1918025371514,336458745892,32396347302,316252030477,,45261966713,282815670094,379264475804,274640924568
facesim,gcc,native,1,None,5616352220,,40317146380,6033819183,2032936696,4170264451,,4050330196,7539112954,6239788555,5445906951
streamcluster,gcc,native,1,None,222018999428,,1755798791170,342933560943,2567712946,387172976685,,3359014802,277014086000,344718883037,221749928987
canneal,gcc,native,1,None,25291717679,,184487223792,29841242265,5861718410,53419724970,,15142759588,38597919536,29793869050,24862465885
x264,gcc,native,1,None,254545874241,,1708862672824,224498491028,66402960136,276946803404,,150694343923,263858259577,264579795745,252847137689
vips,gcc,native,1,None,82164523650,,785603820142,141277991411,20315887765,150389275106,,44618976332,131647749465,142651369971,81712665853
ferret,gcc,mpx,1,None,1072946717927,,8510208791202,1289717876221,313191662969,1377821930128,,452193638540,1208165297276,1988163689619,1060174921815
dedup,gcc,mpx,1,None,62593278450,,571783083900,85529796717,21030799630,92987394545,,37044229164,83898726365,142596706595,61870348022
raytrace,gcc,mpx,1,None,1104115240542,,10342213065866,1483262122333,495030269894,1491891544174,,740270548422,1401815455382,2875622386894,1048524461870
swaptions,gcc,mpx,1,None,464702366145,,3761432499449,520062690204,120457506364,638517826586,,163488965244,593473018354,837527632877,457192198878
bodytrack,gcc,mpx,1,None,246001615397,,2334469507118,431566219466,63644796162,411905248855,,117082812287,259797549743,619415630997,238883001965
blackscholes,gcc,mpx,1,None,97167630800,,797374482229,130262763839,24724761426,124751591030,,41002954919,151278786951,144548454455,94020814017
fluidanimate,gcc,mpx,1,None,980262396456,,7209132726784,1113690389399,487791184855,983278926798,,865728942967,917825954998,1552740198698,943797464630
facesim,gcc,mpx,1,None,21877726669,,186260706122,29157341980,6884366508,28819331270,,10519255576,25286023383,44638960796,21433462682
streamcluster,gcc,mpx,1,None,2340494836142,,13662542060700,2008818320232,20959617577,2057688621393,,30555142647,1989358413755,2901358582375,2340138306056
canneal,gcc,mpx,1,None,52408605153,,414696269752,65455310547,17030568561,87722494710,,33909976239,66950114927,99436581483,51456426453
x264,gcc,mpx,1,None,,,,,,,,,,,
vips,gcc,mpx,1,None,117023665293,,1544588156692,281332207016,33149888966,287542524050,,55237389870,254116628029,406252334644,112857636548
ferret,icc,native,1,None,318565022157,,1881784825154,252694148620,30476210208,381953241904,,90685666544,280011851281,251073362659,318004260906
dedup,icc,native,1,None,29546290306,,159721258816,17670904054,10299062962,29426935384,,22768085597,17993959382,16904304729,29482601011
raytrace,icc,native,1,None,86581309214,,647260623222,123232395996,23071069937,104865743170,,40158578772,122741831483,113894512348,83482924352
swaptions,icc,native,1,None,206761140355,,1245683642827,173221846749,41135038805,209192162830,,96742828310,153918343004,181559223701,202812915424
bodytrack,icc,native,1,None,70877015730,,689398843251,168341146713,14606214365,104958125163,,25600709078,95905647843,172747170133,69494035127
blackscholes,icc,native,1,None,72216580276,,520574522673,82231925879,23885243281,65263790015,,42990398596,83058072276,88439557465,69086807560
fluidanimate,icc,native,1,None,262314181102,,1782895481322,311387263060,12774063648,332606607876,,36503522378,250119652252,322781246537,262471105111
facesim,icc,native,1,None,5161895066,,31624681641,5433743678,1311823848,3259952934,,3410694323,3030441611,5623561872,5070391816
streamcluster,icc,native,1,None,65388177870,,426433223733,111093790690,139110505,71839275618,,2311624332,40667351756,112721931892,64795139334
canneal,icc,native,1,None,27561246438,,173447825720,29492412562,5248637127,45622956497,,13602977286,34392233343,27461916252,27380236242
x264,icc,native,1,None,184712406930,,1491896755873,218002804928,63596035461,260219012987,,117614670693,262106485084,258537023669,181353959271
vips,icc,native,1,None,77651724869,,705492464656,125749656622,16259659260,135454400557,,41482800935,112621663443,125630690149,77371674085
ferret,icc,mpx,1,None,,,,,,,,,,,
dedup,icc,mpx,1,None,43190015834,,295338740047,41941442451,10932832915,50673206863,,24716823817,33430226189,59556168690,42721768754
raytrace,icc,mpx,1,None,,,,,,,,,,,
swaptions,icc,mpx,1,None,361526136725,,2574839043193,393842937270,63516088740,446851313977,,112998796623,306969018179,553078049722,359472471094
