"name","compiler","type","PORT_0","PORT_1","PORT_2","PORT_3","PORT_4","PORT_5","PORT_6","PORT_7"
"kmeans","gcc","native","19.1","14.4","14.9","14.9"," 0.436","13.5","23.0"," 0.210"
"matrix_multiply","gcc","native","15.5","18.7","13.4","13.7","11.215","15.9","21.0"," 2.260"
"histogram","gcc","native"," 9.5"," 9.9","23.3","28.0","24.253"," 9.6","13.2"," 0.284"
"linear_regression","gcc","native","29.8","30.2"," 1.4"," 1.7"," 0.932","32.5"," 2.3"," 0.320"
"word_count","gcc","native","13.4","13.7","14.7","15.5","14.948","15.5","24.1"," 5.458"
"string_match","gcc","native","15.0","15.5"," 9.9","10.8","12.878","17.4","20.7"," 0.296"
"pca","gcc","native","23.5","23.4"," 5.4"," 5.5"," 0.214","21.0","21.0"," 0.087"
"kmeans","gcc","mpx","16.0","27.8"," 7.7"," 7.7"," 0.095","23.1","17.9"," 0.022"
"matrix_multiply","gcc","mpx","15.7","28.8","11.8","11.9"," 2.841","12.0","16.8"," 2.174"
"histogram","gcc","mpx","14.6","30.1"," 8.3"," 7.9"," 4.939","19.1","15.6"," 0.085"
"linear_regression","gcc","mpx","15.9","37.6"," 6.0"," 6.0"," 0.162","15.8","18.0"," 0.032"
"word_count","gcc","mpx"," 8.9","14.8","17.8","18.4","23.550","11.2","14.6"," 7.208"
"string_match","gcc","mpx","12.4","18.8","10.3","11.1","12.836","12.7","18.2"," 5.521"
"pca","gcc","mpx","14.7","26.3","13.2","13.2"," 0.025","16.9","15.8"," 0.015"
"kmeans","icc","native","19.7","20.7"," 5.9"," 5.9"," 0.224","21.3","26.5"," 0.076"
"matrix_multiply","icc","native","13.9","17.4","16.5","16.9","20.699","14.7","23.3"," 3.154"
"histogram","icc","native","11.1","11.5","26.2","26.2","26.799","12.1","15.8"," 0.197"
"linear_regression","icc","native","20.8","23.3"," 5.9"," 5.7"," 0.193","21.6","24.0"," 0.205"
"word_count","icc","native","11.4","12.0","16.8","17.2","12.455","15.8","18.2"," 7.838"
"string_match","icc","native"," 8.9"," 8.7","16.2","16.2","24.466"," 9.1","17.7"," 0.068"
"pca","icc","native","25.1","25.9"," 6.0"," 6.0"," 0.199","24.9","11.9"," 0.093"
"kmeans","icc","mpx","19.2","24.5"," 6.0"," 6.0"," 0.150","19.3","25.0"," 0.055"
"matrix_multiply","icc","mpx","13.2","24.8","10.2","10.3","10.371","17.6","20.1"," 1.953"
"histogram","icc","mpx","12.9","23.3","12.2","14.6","10.111","14.2","14.8"," 0.111"
"linear_regression","icc","mpx","22.2","23.3"," 4.8"," 4.8"," 0.337","19.8","23.5"," 0.138"
"word_count","icc","mpx","11.2","15.3","15.6","15.8","21.412","13.7","12.7","11.439"
"string_match","icc","mpx","16.3","18.7","11.5","11.8","12.216","14.0","17.9"," 5.934"
"pca","icc","mpx","18.2","31.0"," 4.2"," 4.2"," 0.145","18.3","23.9"," 0.069"
"kmeans","gcc","asan","20.0","18.7","10.1","10.1"," 0.156","19.0","22.5"," 0.053"
"matrix_multiply","gcc","asan","17.4","21.1"," 9.7"," 9.9"," 4.778","18.3","20.6"," 3.352"
"histogram","gcc","asan","17.2","18.1","13.5","12.7"," 5.408","15.2","18.1"," 0.069"
"linear_regression","gcc","asan","19.7","22.9"," 7.9"," 7.7"," 0.164","21.2","21.3"," 0.159"
"word_count","gcc","asan"," 8.0"," 8.6","19.1","18.3","18.392"," 8.6","20.9"," 0.870"
"string_match","gcc","asan","14.7","13.0","11.4","11.8","12.151","13.0","19.8"," 4.828"
"pca","gcc","asan","19.0","20.7"," 9.5"," 9.5"," 0.049","18.9","22.6"," 0.022"
