"name","compiler","type","PORT_0","PORT_1","PORT_2","PORT_3","PORT_4","PORT_5","PORT_6","PORT_7"
"namd","gcc","native","18.2","18.2","10.8","11.2"," 4.8","21.3","13.6"," 2.91"
"dealII","gcc","native","11.4","12.6","16.7","16.9"," 6.9","14.1","20.2"," 4.26"
"perlbench","gcc","native","11.5","12.0","15.1","15.3","10.7","11.9","17.9"," 7.59"
"lbm","gcc","native","23.6","23.7"," 9.2","10.0"," 7.7","21.2"," 1.3"," 3.73"
"soplex","gcc","native","15.2","12.2","18.0","18.0","10.2","13.1","19.8"," 3.51"
"povray","gcc","native","11.3","11.7","17.6","17.9","14.1","11.1","15.5"," 9.03"
"astar","gcc","native","12.9","15.2","16.5","16.8"," 6.0","15.2","18.6"," 3.38"
"hmmer","gcc","native","13.9","15.5","19.6","19.1","18.0","15.7","14.0"," 6.03"
"xalancbmk","gcc","native","16.8"," 8.4","19.0","19.2"," 9.6"," 8.1","25.3"," 5.54"
"sphinx3","gcc","native","21.3","21.8","13.7","13.8"," 2.8","11.4","16.8"," 1.37"
"milc","gcc","native","16.7","17.2","11.7","12.7"," 8.3","24.6"," 5.8"," 4.13"
"libquantum","gcc","native","18.1","18.6","10.4","10.7","10.3","19.7","35.4"," 2.19"
"bzip2","gcc","native","13.4","13.6","13.8","14.1","11.5","13.8","18.1"," 6.58"
"gcc","gcc","native","12.3","11.7","14.9","15.4","16.1","12.4","22.8"," 7.48"
"gobmk","gcc","native","10.2","12.0","15.6","16.1","12.0","11.9","18.8"," 6.51"
"omnetpp","gcc","native"," 9.8","11.0","16.0","16.6","15.8","11.9","23.9"," 9.97"
"mcf","gcc","native","11.6","12.6","27.4","28.4","13.7","11.0","34.3"," 7.49"
"sjeng","gcc","native","12.4","12.8","13.9","14.2"," 8.6","13.9","21.4"," 4.56"
"h264ref","gcc","native","10.8","11.7","18.5","18.7"," 9.6","12.2","15.9"," 5.41"
"namd","gcc","mpx","15.3","27.9"," 7.7"," 7.9"," 3.1","15.0","22.0"," 1.74"
"dealII","gcc","mpx","13.1","20.4","14.8","15.0","13.0","11.8","13.4"," 7.90"
"perlbench","gcc","mpx","  NA","  NA","  NA","  NA","  NA","  NA","  NA","   NA"
"lbm","gcc","mpx","12.7","26.7"," 9.9","10.8"," 7.2","12.1","17.1"," 3.75"
"soplex","gcc","mpx","  NA","  NA","  NA","  NA","  NA","  NA","  NA","   NA"
"povray","gcc","mpx","14.0","22.0","14.0","14.3","10.3","10.6","14.6"," 6.76"
"astar","gcc","mpx","13.8","24.2","13.0","13.3"," 6.6","13.1","14.8"," 4.19"
"hmmer","gcc","mpx","12.1","24.7","15.5","15.6"," 4.7","10.7","14.2"," 4.34"
"xalancbmk","gcc","mpx","10.1","21.3","18.5","18.7","16.8"," 8.3","11.3","10.23"
"sphinx3","gcc","mpx","19.3","25.8"," 9.9","10.0"," 2.0","15.2","18.2"," 1.37"
"milc","gcc","mpx","15.0","25.9"," 8.8"," 9.3"," 6.9","15.3","18.0"," 3.60"
"libquantum","gcc","mpx","17.8","25.4","11.5","11.5"," 1.3","12.2","19.4"," 1.05"
"bzip2","gcc","mpx","15.8","26.2"," 8.1"," 8.3"," 6.2","16.2","17.7"," 3.97"
"gcc","gcc","mpx","  NA","  NA","  NA","  NA","  NA","  NA","  NA","   NA"
"gobmk","gcc","mpx","12.7","22.3","13.3","13.6","10.1","12.3","14.4"," 5.91"
"omnetpp","gcc","mpx","14.4","23.5","13.6","13.9"," 8.8","12.7","16.0"," 5.36"
"mcf","gcc","mpx","18.4","32.2","13.3","13.4"," 5.2","16.1","19.1"," 3.07"
"sjeng","gcc","mpx","14.0","23.4","10.9","11.2"," 5.8","15.1","17.3"," 3.25"
"h264ref","gcc","mpx","  NA","  NA","  NA","  NA","  NA","  NA","  NA","   NA"
"namd","icc","native","23.5","24.7","14.0","14.2"," 5.8"," 7.1","10.7"," 2.43"
"dealII","icc","native","10.6","12.7","18.8","18.5"," 7.7","12.4","17.0"," 4.32"
"perlbench","icc","native","11.9","10.9","17.4","17.4","11.1","11.0","17.5"," 6.50"
"lbm","icc","native","23.5","23.9","11.2","10.3"," 8.2","19.5"," 1.8"," 1.77"
