name,compiler,type,threads,input,PORT_5,PORT_6,UOPS_EXECUTED.CORE,PORT_7,PORT_3,mpxbtnum,PORT_2,PORT_4,mpxerrors,PORT_0,PORT_1
namd,gcc,native,1,None,310735236055,199057232102,1459388745896,42441450011,163011839558,,157273551120,70583494412,,266155424030,265516161309
dealII,gcc,native,1,None,12350367663,17660470266,87574429038,3726385284,14800992495,,14648345818,6006344538,,9945878267,11029090123
perlbench,gcc,native,1,None,84094993505,126025793560,704070559573,53420337508,107593394684,,106247897777,75410354497,,81089654369,84761419876
lbm,gcc,native,1,None,340890824944,21594894040,1611667105724,60133044070,160447715881,,149040195723,124870335576,,380180694953,381494850585
soplex,gcc,native,1,None,12035363159,18217185076,92172020217,3232905398,16590355983,,16619559426,9391503110,,14034171365,11207673242
povray,gcc,native,1,None,130738023337,182375394384,1178236704396,106362721072,210583511908,,206914020278,166211210505,,132644959641,138069054304
astar,gcc,native,1,None,199239201069,242812809018,1308385845764,44228161120,219422947387,,215680000566,78220464098,,169281265152,199094312597
hmmer,gcc,native,1,None,372177613651,333290488576,2376211894226,143168659332,454940349542,,466754547586,427424271248,,331433270238,367782220909
xalancbmk,gcc,native,1,None,50037173881,156240795230,617309536984,34196902381,118738685836,,117041489703,59254938495,,103511254413,51669105031
sphinx3,gcc,native,1,None,12347333396,18288733929,108670843378,1491963044,14945664293,,14884628174,3071805358,,23158396952,23640191942
milc,gcc,native,1,None,11007296740,2574127521,44677754928,1846080254,5659107193,,5213472057,3723947303,,7466465300,7674938521
libquantum,gcc,native,1,None,262644808951,472067451588,1333161645938,29178043979,143046186547,,138916891508,137925720950,,241910727254,248238557637
bzip2,gcc,native,1,None,28722321992,37862692716,208611117198,13720306961,29384751455,,28878922974,23946852918,,27885804415,28288153064
gcc,gcc,native,1,None,825375700,1514448224,6655978750,498127352,1027530986,,989308547,1070767291,,819411594,777701412
gobmk,gcc,native,1,None,37108649182,58745615224,312111941824,20320874209,50331831453,,48580771978,37316990947,,31990997610,37564387925
omnetpp,gcc,native,1,None,97227518529,196081357461,820416051179,81768151064,135908063741,,131326107255,129610443790,,80753474557,90391390027
mcf,gcc,native,1,None,42821752204,133660170861,389807484720,29178591661,110723408174,,106764772441,53350009517,,45395593517,48949269585
sjeng,gcc,native,1,None,368563602394,568427220677,2658258979065,121204044706,377034361218,,369781563826,227623098987,,328711191907,340565456653
h264ref,gcc,native,1,None,40223525174,52634503356,330608437847,17892548634,61982129918,,61249538891,31863797266,,35685645735,38687501593
namd,gcc,mpx,1,None,406579929094,595987330061,2703797251537,47121143217,214293031633,,207122565090,83475675277,,413110165276,755296024582
dealII,gcc,mpx,1,None,68895152166,78325762824,583349950429,46072231934,87426207664,,86111879742,75833194364,,76338267341,119184108098
perlbench,gcc,mpx,1,None,,,,,,,,,,,
lbm,gcc,mpx,1,None,468724326805,659995693382,3865417002963,144771054761,416027302257,,382407877979,276930287450,,491684538175,1032261359522
soplex,gcc,mpx,1,None,,,,,,,,,,,
povray,gcc,mpx,1,None,417059668060,573793606078,3925363219299,265536838918,560822852427,,550352822235,406069797071,,549998279280,864206881975
astar,gcc,mpx,1,None,518665855157,587233214119,3965079410739,166158345924,525599356576,,514873572177,260274537086,,545210501259,960268712882
hmmer,gcc,mpx,1,None,1154545283918,1536141206974,10821197350717,469635597884,1692362142439,,1681129825084,513791604155,,1312764400825,2668385644839
xalancbmk,gcc,mpx,1,None,836352910677,1144433908970,10129856721634,1035868361196,1895415381197,,1871361583694,1702497883815,,1025620905982,2154726073490
sphinx3,gcc,mpx,1,None,43956997491,52490962244,288951873287,3965999844,28803994591,,28673980148,5656284685,,55806006552,74459491375
milc,gcc,mpx,1,None,20785809349,24423968325,135467002460,4874270742,12589899649,,11976457805,9380576178,,20311191051,35058276818
libquantum,gcc,mpx,1,None,1009667357316,1609180469974,8296357073061,86700266872,954771622217,,954519717454,108631620102,,1478406278453,2111086895187
bzip2,gcc,mpx,1,None,91834700342,100560697636,566597083522,22481175483,47238697704,,45773323502,34967026631,,89569344027,148276132597
gcc,gcc,mpx,1,None,,,,,,,,,,,
gobmk,gcc,mpx,1,None,119515187011,139848779711,968714285424,57259168719,131734420110,,128772836012,97557058155,,123273563918,215687813028
omnetpp,gcc,mpx,1,None,417099251685,525630272078,3292997866664,176599944324,456475873388,,447863812219,291293516117,,474898371014,774487161866
mcf,gcc,mpx,1,None,276758919083,327501088367,1718861180038,52783271964,230615830122,,229459714411,89410598676,,316099037917,553316011727
sjeng,gcc,mpx,1,None,978892553877,1116046852201,6468228489352,210190872849,724590051032,,707621112728,374346861216,,904361260326,1511804667446
h264ref,gcc,mpx,1,None,,,,,,,,,,,
namd,icc,native,1,None,80934958220,121447652248,1134452429114,27609005575,160887373552,,158930817268,65240079075,,266364916048,279913250469
dealII,icc,native,1,None,10513118893,14392898195,84480464435,3648132351,15662535912,,15873828781,6467724594,,8927400920,10723520938
perlbench,icc,native,1,None,75785543717,120872885697,688797176694,44761668160,120034069831,,119866006369,76112517970,,82075768760,74916474498
lbm,icc,native,1,None,298998260835,27377051728,1530016568834,27029132312,156920442389,,171487493938,125438080566,,358975096145,365654489645
soplex,icc,native,1,None,12087606424,18833046709,95424570692,2110045515,18764743427,,18691115424,9416931741,,12251811037,11207818998
povray,icc,native,1,None,193048923966,176722710518,1213381649649,89170110223,196446236739,,192778844060,147128548297,,132085383327,149955065977
