name,compiler,type,threads,input,minor_faults,branch_misses,time,mpxerrors,dtlb_store_misses,dtlb_stores,cycles,dtlb_loads,mpxbtnum,branch_instructions,dtlb_load_misses,instructions,major_faults
dedup,gcc,native,2,test,825,45410,0.005715453,,0,0,7415950,3218257,,2831714,1968,14166374,0
canneal,gcc,native,2,test,180,177926165,17.218714133,,96,4367484306,129488635185,14788006121,,5973958348,1661696,59832198622,0
swaptions,gcc,native,2,test,864,232699,0.01777084,,2043,12159285,65522610,42849788,,14222986,223,69627540,0
x264,gcc,native,2,test,235,46642,0.002285181,,0,0,6856686,2309951,,1519340,1618,9114013,0
streamcluster,gcc,native,2,test,248,2254773,0.481705554,,73,95260111,1529349895,608729007,,322531631,1309,2003119291,0
blackscholes,gcc,native,2,test,160,36774,0.001903257,,0,0,5986638,1893491,,1318521,0,7343255,0
bodytrack,gcc,native,2,test,3346,2425719,0.296638378,,18797,196251044,2094893832,706484764,,325900278,10383,3572253197,0
raytrace,gcc,native,2,test,59008,400783800,37.638609798,,279353,29557320040,149960840495,56521919670,,34185252619,571248,201865941923,0
facesim,gcc,native,2,test,616526,49554806,3.479112613,,3092853,3814286511,20556049944,8455947101,,2434739805,269195,29950792538,0
fluidanimate,gcc,native,2,test,2539,102167948,1.414599449,,69563,557285123,10374608609,4015504073,,2228427183,39368,15237383868,0
vips,gcc,native,2,test,797,94059,0.024276213,,1838,21605744,88787874,26136667,,18747177,1666,166376546,0
ferret,gcc,native,2,test,5689,7829943,0.111332507,,19227,41549244,642962217,292556484,,151262679,54246,1023220116,0
dedup,gcc,mpx_no_narrow_bounds_only_write,2,test,1068,57470,0.007278046,,0,0,8909177,4204953,,3385248,3358,15026392,0
canneal,gcc,mpx_no_narrow_bounds_only_write,2,test,210,168448992,17.374757246,,1474,5059112826,129566801282,16473747086,,6098493740,1971689,63493991730,0
swaptions,gcc,mpx_no_narrow_bounds_only_write,2,test,1040,212804,0.019318084,,2393,15044596,95095681,50026121,,11692399,848,56730587,0
x264,gcc,mpx_no_narrow_bounds_only_write,2,test,361,58763,0.003076929,,0,0,6569104,2836499,,1829681,2652,11038808,0
streamcluster,gcc,mpx_no_narrow_bounds_only_write,2,test,485,2395112,0.48189189,,103,108639360,1575511538,665838503,,333382890,2722,2165181915,0
