securitylevel,compiler,type,bndpreserve,parsec,phoenix,spec,total,foundbugs,total2
0,gcc,native,0,0,0,0,0,0,0
1,gcc,mpx_no_narrow_bounds_only_write,0,0,0,3,3,0,3
2,gcc,mpx_no_narrow_bounds,0,0,0,2,2,0,2
3,gcc,mpx_only_write,0,1,0,5,6,2,4
4,gcc,mpx,0,1,0,6,7,3,4
5,gcc,mpx_first_field,0,3,0,6,9,3,6
6,gcc,mpx_first_field,1,12,5,17,34,3,34
0,icc,native,0,0,0,0,0,0,0
1,icc,mpx_no_narrow_bounds_only_write,0,0,0,5,5,0,5
2,icc,mpx_no_narrow_bounds,0,1,0,6,8,0,8
3,icc,mpx_only_write,0,3,0,4,7,0,7
4,icc,mpx,0,4,0,6,9,0,9
6,icc,mpx,1,12,0,17,29,0,29
