name,compiler,type,threads,input,mpxerrors,dtlb_store_misses,instructions,dtlb_load_misses,major_faults,minor_faults,branch_instructions,mpxbtnum,time,branch_misses,cycles,dtlb_loads,dtlb_stores
gcc,gcc,native,1,test,,4198482,5227429014,35380245,0,111034,1181097117,,4.371292565,28032199,11305353119,1319374388,751953649
hmmer,gcc,native,1,test,,586,14629219457,876,0,256,1154304127,,1.514191708,21467644,5696555217,5530969891,2130093238
lbm,gcc,native,1,test,,7836,6587115393,1441,0,1610,149986489,,2.245413529,1913638,8486840253,1402563031,825287819
perlbench,gcc,native,1,test,,208100,45455636083,5432545,0,6291,9455781860,,5.131457552,72500819,19248590286,15022898557,8529472141
milc,gcc,native,1,test,,1195442,27454561217,1046145,0,227146,911495187,,5.947849136,898699,22545280198,7583962113,3219368082
sjeng,gcc,native,1,test,,23740,14929837320,69446,0,2884,2953588476,,2.222787729,97809481,8371370139,3415454810,1261724808
dealII,gcc,native,1,test,,64628,9450047235,21775,0,9960,1303624606,,1.014879224,12252863,3843272142,2827001348,563468645
omnetpp,gcc,native,1,test,,6530,1610736144,5184,0,2014,389822556,,0.208721694,3228164,775314770,483049262,324516001
bzip2,gcc,native,1,test,,10227,61290297516,21999,0,4390,11071423561,,8.491116945,381854842,32186676851,21305381371,4373571983
astar,gcc,native,1,test,,288196,19595867558,99202,0,4739,3758662896,,6.053343585,530649183,22953110217,6047954882,1275320417
h264ref,gcc,native,1,test,,583,49614206,2733,0,1864,11937066,,0.016241266,474734,55236552,36001647,12469621
gobmk,gcc,native,1,test,,10809,592187726,6919,0,2029,116406071,,0.133756153,8144965,493617354,137296593,94373934
mcf,gcc,native,1,test,,7648,2974688840,125175,0,1463,766874532,,1.458538269,41879235,4742402720,1174229649,198446000
sphinx3,gcc,native,1,test,,515084,90607753192,11121793,0,6565,9196255674,,10.401899152,223767841,39435252270,24049488734,2167886125
namd,gcc,native,1,test,,29521,60675093501,32453,0,11152,3315991167,,14.754072479,103906369,55958547296,13892511543,3683990276
soplex,gcc,native,1,test,,0,26549641,1010,0,462,8522396,,0.011564034,631320,4059469,13335436,5014241
xalancbmk,gcc,native,1,test,,7168,281320099,5379,0,1795,82473660,,0.033658374,474415,121688364,80822007,27976583
povray,gcc,native,1,test,,99,2412243174,5324,0,854,388176699,,0.283732417,4709502,1050970217,792912433,355772700
libquantum,gcc,native,1,test,,112,212249410,137,0,170,49371156,,0.021446436,156775,78164127,30656871,13868523
gcc,gcc,mpx_no_narrow_bounds_only_write,1,test,,5176588,7368120703,60004276,0,252284,1383267675,,6.3002188,29138653,14436490764,2009059602,1174997400
hmmer,gcc,mpx_no_narrow_bounds_only_write,1,test,,798,18700443383,5758,0,442,2805277815,,2.76875193,141105100,10469785087,6293239242,1531253323
lbm,gcc,mpx_no_narrow_bounds_only_write,1,test,,10172,7718744253,1824,0,1628,135839619,,3.408163591,1766763,12910724511,1352325541,728269287
perlbench,gcc,mpx_no_narrow_bounds_only_write,1,test,,1095233,60805987216,14987593,0,17491,9852145648,,11.041982475,83013932,41834920721,23906740796,13025029513
milc,gcc,mpx_no_narrow_bounds_only_write,1,test,,1132736,34131102459,1055524,0,227180,867004241,,6.894369478,1083789,26112781021,10334892422,3396072414
sjeng,gcc,mpx_no_narrow_bounds_only_write,1,test,,24899,16785069351,69605,0,2910,3143252011,,2.619070631,112084549,9933623153,3971468002,1324595711
dealII,gcc,mpx_no_narrow_bounds_only_write,1,test,,57100,12941576074,109460,0,20246,1382885957,,1.971871803,12912996,7481546326,4932749338,1566144301
omnetpp,gcc,mpx_no_narrow_bounds_only_write,1,test,,50780,2518038267,30017,0,5462,431680519,,0.407425846,3124811,1543613714,781371759,471214221
bzip2,gcc,mpx_no_narrow_bounds_only_write,1,test,,185651,75494949849,42019,0,21134,11346567463,,10.095219017,372529761,38303520032,24784419369,5139927337
astar,gcc,mpx_no_narrow_bounds_only_write,1,test,,5836589,27665723385,8644070,0,10403,4027312501,,7.64701238,545048647,29021987195,9500167560,2314491414
h264ref,gcc,mpx_no_narrow_bounds_only_write,1,test,,860,140590421,1740,0,2159,16583753,,0.025067171,458875,91165831,32013798,16940831
gobmk,gcc,mpx_no_narrow_bounds_only_write,1,test,,83187,953149819,68212,0,9585,131013247,,0.242230455,7749790,899309974,287299863,156701020
mcf,gcc,mpx_no_narrow_bounds_only_write,1,test,,,,,,,,,,,,,
sphinx3,gcc,mpx_no_narrow_bounds_only_write,1,test,,882969,95568586461,17736982,0,11756,9360478192,,11.238769793,226137939,42609164661,25654130167,2406120304
namd,gcc,mpx_no_narrow_bounds_only_write,1,test,,47693,65666062435,35963,0,11914,3130151862,,14.795526815,104646425,56121560196,15477566567,3711210606
soplex,gcc,mpx_no_narrow_bounds_only_write,1,test,,,,,,,,,,,,,
xalancbmk,gcc,mpx_no_narrow_bounds_only_write,1,test,,,,,,,,,,,,,
povray,gcc,mpx_no_narrow_bounds_only_write,1,test,,405,3186720892,47206,0,1856,380275094,,0.498191794,4702611,1882832014,1224561186,547310050
libquantum,gcc,mpx_no_narrow_bounds_only_write,1,test,,2,377935495,223,0,190,53489078,,0.039103068,162800,129790404,96341529,16329644
gcc,gcc,mpx_no_narrow_bounds,1,test,,5341439,10476767146,60320497,0,252746,1435856378,,6.80876513,28104902,16849560889,2638608574,1404808023
hmmer,gcc,mpx_no_narrow_bounds,1,test,,630,42505003970,1810,0,457,2804312303,,6.063424086,137717746,23004028508,17461400151,3368852079
lbm,gcc,mpx_no_narrow_bounds,1,test,,9807,13625689085,1396,0,1628,144523404,,3.391138824,1865105,12856358869,3550443933,1658498578
perlbench,gcc,mpx_no_narrow_bounds,1,test,,1093754,91550683100,18540373,0,18019,10037134857,,17.766621358,79490709,67389655633,33252546101,14095640839
milc,gcc,mpx_no_narrow_bounds,1,test,,1074185,62471050254,1061223,0,227181,1620712398,,8.095014801,1098822,30726995822,12993287614,4418889208
sjeng,gcc,mpx_no_narrow_bounds,1,test,,23197,26849701664,70597,0,2918,3316507018,,4.057254484,107320207,15393437475,5944089894,1990218027
dealII,gcc,mpx_no_narrow_bounds,1,test,,48631,26961583371,138178,0,19840,1481167241,,4.289552572,13287258,16274844841,9445989076,2107944083
omnetpp,gcc,mpx_no_narrow_bounds,1,test,,53895,3528035007,20167,0,5441,441454521,,0.564576658,3434373,2139234533,979242629,519630200
bzip2,gcc,mpx_no_narrow_bounds,1,test,,179307,141863056279,40542,0,21136,11557268950,,18.16008376,370009777,68915144498,29585624189,5947355023
astar,gcc,mpx_no_narrow_bounds,1,test,,13162583,56243851000,28478478,0,10326,4336289576,,11.358916927,525575578,43082639177,16469918031,4475163652
h264ref,gcc,mpx_no_narrow_bounds,1,test,,273,234381106,5536,0,2099,19431210,,0.040046488,547593,122971779,61214444,16283562
gobmk,gcc,mpx_no_narrow_bounds,1,test,,117638,1362115443,69850,0,9492,135231043,,0.305081741,8024486,1137334556,380590580,177797541
mcf,gcc,mpx_no_narrow_bounds,1,test,,,,,,,,,,,,,
sphinx3,gcc,mpx_no_narrow_bounds,1,test,,600100,178656740468,18997267,0,11882,10230187537,,22.822184245,256014976,86539861998,39709866400,4039722747
namd,gcc,mpx_no_narrow_bounds,1,test,,62573,92176526123,39662,0,11891,3371911710,,15.384270219,101877061,58380187676,17571250459,4183575291
soplex,gcc,mpx_no_narrow_bounds,1,test,,,,,,,,,,,,,
xalancbmk,gcc,mpx_no_narrow_bounds,1,test,,36991,1254708598,18721,0,4957,96593046,,0.48200119,575060,1825151530,632043230,259144062
povray,gcc,mpx_no_narrow_bounds,1,test,,1888,4944065115,27737,0,1922,383180322,,0.790682196,4527868,2917330452,1541765027,639063341
