name,compiler,type,threads,input,dtlb_load_misses,dtlb_store_misses,mpxbtnum,major_faults,time,minor_faults,branch_instructions,instructions,dtlb_stores,mpxerrors,branch_misses,cycles,dtlb_loads
gobmk,gcc,mpx_first_field,1,test,,,,,,,,,,,,,
perlbench,gcc,mpx_first_field,1,test,,,,,,,,,,,,,
hmmer,gcc,mpx_first_field,1,test,,,,,,,,,,,,,
libquantum,gcc,mpx_first_field,1,test,,,,,,,,,,,,,
sjeng,gcc,mpx_first_field,1,test,,,,,,,,,,,,,
povray,gcc,mpx_first_field,1,test,,,,,,,,,,,,,
dealII,gcc,mpx_first_field,1,test,,,,,,,,,,,,,
astar,gcc,mpx_first_field,1,test,,,,,,,,,,,,,
gcc,gcc,mpx_first_field,1,test,,,,,,,,,,,,,
milc,gcc,mpx_first_field,1,test,1068194,1107342,,0,8.812881582,227183,1618792195,69525418461,6524683576,,1174200,33391975958,15601069577
mcf,gcc,mpx_first_field,1,test,,,,,,,,,,,,,
omnetpp,gcc,mpx_first_field,1,test,,,,,,,,,,,,,
h264ref,gcc,mpx_first_field,1,test,,,,,,,,,,,,,
sphinx3,gcc,mpx_first_field,1,test,,,,,,,,,,,,,
namd,gcc,mpx_first_field,1,test,,,,,,,,,,,,,
lbm,gcc,mpx_first_field,1,test,1398,9760,,0,3.395411179,1628,145044879,13631498238,1661804624,,1846290,12871549680,3556700850
xalancbmk,gcc,mpx_first_field,1,test,,,,,,,,,,,,,
soplex,gcc,mpx_first_field,1,test,,,,,,,,,,,,,
bzip2,gcc,mpx_first_field,1,test,,,,,,,,,,,,,
gobmk,icc,mpx,1,test,,,,,,,,,,,,,
perlbench,icc,mpx,1,test,,,,,,,,,,,,,
hmmer,icc,mpx,1,test,,,,,,,,,,,,,
libquantum,icc,mpx,1,test,313,16,,0,0.019860907,201,15486990,196163514,19463750,,71639,70878299,30592109
sjeng,icc,mpx,1,test,,,,,,,,,,,,,
povray,icc,mpx,1,test,,,,,,,,,,,,,
dealII,icc,mpx,1,test,,,,,,,,,,,,,
astar,icc,mpx,1,test,,,,,,,,,,,,,
gcc,icc,mpx,1,test,,,,,,,,,,,,,
milc,icc,mpx,1,test,,,,,,,,,,,,,
mcf,icc,mpx,1,test,,,,,,,,,,,,,
omnetpp,icc,mpx,1,test,,,,,,,,,,,,,
h264ref,icc,mpx,1,test,,,,,,,,,,,,,
sphinx3,icc,mpx,1,test,,,,,,,,,,,,,
namd,icc,mpx,1,test,,,,,,,,,,,,,
lbm,icc,mpx,1,test,3348,8168,,0,1.104893017,1640,167180731,6420252080,833831424,,1803040,4188192301,1346166279
xalancbmk,icc,mpx,1,test,,,,,,,,,,,,,
soplex,icc,mpx,1,test,,,,,,,,,,,,,
bzip2,icc,mpx,1,test,,,,,,,,,,,,,
