name,compiler,type,threads,input,instructions,llc_store_misses,mpxerrors,l1_dcache_stores,l1_dcache_load_misses,llc_loads,l1_dcache_loads,l1_dcache_store_misses,llc_load_misses,llc_stores,time,mpxbtnum
h264ref,gcc,native,1,None,250611611215,2480490,,18664606068,2201647001,89988573,95883429161,1,710098,95607582,27.934300884,
h264ref,gcc,native,1,None,250709597396,2464208,,18651654559,2233803604,94723478,95891548391,1,690232,99051961,28.002874122,
h264ref,gcc,native,1,None,250550588063,2556608,,18638257757,2221828064,94618350,96071750173,1,691073,95447731,27.972880856,
h264ref,gcc,native,1,None,250551843291,2346306,,18663118461,2220313523,87315404,95880575456,1,687127,91347623,27.877925267,
h264ref,gcc,native,1,None,250777431589,2314438,,18670665766,2222769165,93596617,95780691301,1,701158,102044602,27.930553683,
hmmer,gcc,native,1,None,1728469708163,87807,,287242924089,8369590610,49907033,757509708036,1,271383,138732834,178.648319905,
hmmer,gcc,native,1,None,1728454514160,91940,,287252736742,8391806886,56626931,757529238800,1,251704,137046980,179.142288425,
hmmer,gcc,native,1,None,1728429764058,117512,,287247754153,8589425234,60531377,757530460627,1,239719,119219501,179.165193902,
hmmer,gcc,native,1,None,1728374629094,77844,,287244863065,8388524174,59294131,757505855483,1,254538,138298859,178.37279572,
hmmer,gcc,native,1,None,1728157489791,147603,,287252420953,8609940958,61941941,757474187585,1,249751,115393287,179.76515756,
mcf,gcc,native,1,None,283315202998,120883428,,30599500788,41155509309,20724319509,98168228181,1,6065296302,455859148,239.787724578,
mcf,gcc,native,1,None,283040523220,119601545,,30521089769,41165655784,20738503012,98074123356,1,6068674159,459758687,241.117051061,
mcf,gcc,native,1,None,283245006011,80584192,,30577435461,41142440423,20789938421,98142016276,1,6046766140,225294786,238.731393177,
mcf,gcc,native,1,None,283164450509,114790038,,30599720238,41173466704,20762566306,98164124952,1,6005433753,459711750,236.484362842,
mcf,gcc,native,1,None,283049242976,114731233,,30535173761,41126085596,20733433630,97987294494,1,5989325532,454758061,234.939348811,
