name,compiler,type,threads,input,instructions,instructions:u,time,mpxbtnum,mpx_new_bounds_table ,instructions:k,mpxerrors
bzip2,gcc,native,1,None,169289304020,169090191305,23.095077928,,0,199112715,
h264ref,gcc,native,1,None,250636273850,250468592291,31.26460659,,0,167681559,
milc,gcc,native,1,None,32701512131,31500107490,11.956850077,,0,1201404641,
namd,gcc,native,1,None,1127867858552,1127158328353,145.260703857,,0,709530199,
lbm,gcc,native,1,None,1253665215964,1252272297123,230.26109322,,0,1392918841,
gobmk,gcc,native,1,None,215569684893,215311959972,50.513833955,,0,257724921,
gcc,gcc,native,1,None,4749505088,3520261578,2.751291041,,0,1229243510,
mcf,gcc,native,1,None,285497211329,282921019345,257.180911348,,0,2576191984,
omnetpp,gcc,native,1,None,557398456685,555767284083,323.805293216,,0,1631172602,
perlbench,gcc,native,1,None,668170746695,667247502992,66.312390366,,0,923243703,
libquantum,gcc,native,1,None,1645529584049,1643542791725,275.811596251,,0,1986792324,
dealII,gcc,native,1,None,76066068286,75781899426,8.864039544,,0,284168860,
sphinx3,gcc,native,1,None,90658097533,90535221985,14.084600648,,0,122875548,
povray,gcc,native,1,None,931855423246,931105667223,110.998147275,,0,749756023,
astar,gcc,native,1,None,637469069231,636511352143,177.035147017,,0,957717088,
sjeng,gcc,native,1,None,2293746124836,2291838077732,385.112418425,,0,1908047104,
hmmer,gcc,native,1,None,1729472399272,1728489287928,214.413232452,,0,983111344,
soplex,gcc,native,1,None,79242214849,78015434432,19.808128925,,0,1226780417,
xalancbmk,gcc,native,1,None,590335665330,589527099761,84.14688068,,0,808565569,
bzip2,clang,native,1,None,183012111352,182808906504,24.708120084,,0,203204848,
gobmk,clang,native,1,None,211371646749,211113564030,50.775849001,,0,258082719,
xalancbmk,clang,native,1,None,615861568447,615080997105,85.251469168,,0,780571342,
sphinx3,clang,native,1,None,95423329508,95320342441,13.09153885,,0,102987067,
gcc,clang,native,1,None,5182589448,3951852899,2.743580927,,0,1230736549,
soplex,clang,native,1,None,77784697933,76567897596,20.497503462,,0,1216800337,
hmmer,clang,native,1,None,1844959733272,1843930673595,223.906496938,,0,1029059677,
h264ref,clang,native,1,None,250847708093,250676048862,32.878444618,,0,171659231,
libquantum,clang,native,1,None,1385584892296,1383571160465,279.703878556,,0,2013731831,
mcf,clang,native,1,None,320650196747,318030953539,263.87599031,,0,2619243208,
sjeng,clang,native,1,None,2055884880496,2053999816121,379.629146257,,0,1885064375,
milc,clang,native,1,None,30957566693,29758728102,12.416697316,,0,1198838591,
omnetpp,clang,native,1,None,567818746493,566161629727,328.376260785,,0,1657116766,
namd,clang,native,1,None,1180853002490,1180166545625,140.822163388,,0,686456865,
astar,clang,native,1,None,732104878332,731104502835,185.98090362,,0,1000375497,
perlbench,clang,native,1,None,736304136454,735385820069,65.774039941,,0,918316385,
lbm,clang,native,1,None,1193645270997,1192280893854,224.107122485,,0,1364377143,
povray,clang,native,1,None,932630732641,931877866434,110.804156143,,0,752866207,
dealII,clang,native,1,None,65573218526,65286349520,8.363713818,,0,286869006,
omnetpp,gcc,asan,1,None,1771499432648,1767936146762,582.03289744,,0,3563285886,
dealII,gcc,asan,1,None,173822113304,173080855045,16.93483679,,0,741258259,
milc,gcc,asan,1,None,88318720946,85101199768,17.63863764,,0,3217521178,
astar,gcc,asan,1,None,2095634657576,2093597430769,289.571147335,,0,2037226807,
povray,gcc,asan,1,None,2294816036036,2293157859839,249.017470534,,0,1658176197,
soplex,gcc,asan,1,None,268824893500,251227914442,38.60108423,,0,17596979058,
xalancbmk,gcc,asan,1,None,1787433179751,1785304364444,185.849806473,,0,2128815307,
sjeng,gcc,asan,1,None,7512158685480,7508222248915,823.146430142,,0,3936436565,
libquantum,gcc,asan,1,None,2549870180427,2546953507004,297.125240017,,0,2916673423,
hmmer,gcc,asan,1,None,8907960781557,8904969339479,560.538151877,,0,2991442078,
h264ref,gcc,asan,1,None,1208723554554,1208129412622,96.656109177,,0,594141932,
mcf,gcc,asan,1,None,852634930091,848822467358,442.382742132,,0,3812462733,
lbm,gcc,asan,1,None,2033399678094,2031759077751,263.313935354,,0,1640600343,
bzip2,gcc,asan,1,None,556485444230,556162565700,45.19154029,,0,322878530,
sphinx3,gcc,asan,1,None,326844525701,326274295636,28.474973566,,0,570230065,
gcc,gcc,asan,1,None,11285720340,9148834899,4.136409787,,0,2136885441,
perlbench,gcc,asan,1,None,2449829140467,1973991117746,377.775196725,,0,475838022721,
gobmk,gcc,asan,1,None,628812985878,628023942290,88.948386792,,0,789043588,
namd,gcc,asan,1,None,2326916346577,2325885457123,212.448928348,,0,1030889454,
omnetpp,gcc,asan_only_write,1,None,1302964056222,1299789974187,497.237906556,,0,3174082035,
dealII,gcc,asan_only_write,1,None,93882769485,93169740852,11.01630672,,0,713028633,
milc,gcc,asan_only_write,1,None,52438801500,49235418555,14.728616629,,0,3203382945,
astar,gcc,asan_only_write,1,None,906463684653,904822714267,202.732625234,,0,1640970386,
povray,gcc,asan_only_write,1,None,1430780651214,1429516579835,162.261619437,,0,1264071379,
soplex,gcc,asan_only_write,1,None,164156105410,146587665150,32.304392132,,0,17568440260,
xalancbmk,gcc,asan_only_write,1,None,1045619745147,1043714646114,137.377853566,,0,1905099033,
sjeng,gcc,asan_only_write,1,None,3399267413239,3396828046770,494.687291861,,0,2439366469,
libquantum,gcc,asan_only_write,1,None,2059628469784,2056760142778,287.360424858,,0,2868327006,
hmmer,gcc,asan_only_write,1,None,2908795220054,2907117881580,272.705542499,,0,1677338474,
h264ref,gcc,asan_only_write,1,None,449485644303,449120796418,46.462922061,,0,364847885,
mcf,gcc,asan_only_write,1,None,431854277769,428787813836,279.097430286,,0,3066463933,
lbm,gcc,asan_only_write,1,None,1627878818698,1626346484710,239.581072657,,0,1532333988,
bzip2,gcc,asan_only_write,1,None,337079934280,336813412615,32.835120076,,0,266521665,
sphinx3,gcc,asan_only_write,1,None,103683871066,103171466643,15.264603457,,0,512404423,
