name,compiler,type,threads,input,sys_time,time,major_faults,voluntary_context_switches,mpxbtnum,user_time,mpxerrors,involuntary_context_switches,minor_faults,maxsize
bzip2,gcc,native,1,None,0.0,20.81,0,1,,20.8,,43,5141,105020
bzip2,gcc,native,1,None,0.01,20.81,0,1,,20.79,,40,5207,105296
bzip2,gcc,native,1,None,0.0,20.79,0,1,,20.78,,40,4656,105396
bzip2,gcc,native,1,None,0.01,20.75,0,1,,20.74,,43,4708,104892
bzip2,gcc,native,1,None,0.01,20.83,0,1,,20.81,,40,4684,105404
bzip2,gcc,native,1,None,0.0,20.81,0,1,,20.8,,39,5193,105196
bzip2,gcc,native,1,None,0.0,20.63,0,1,,20.62,,39,4322,105900
bzip2,gcc,native,1,None,0.0,20.78,0,1,,20.77,,40,4682,105548
bzip2,gcc,native,1,None,0.01,20.81,0,1,,20.79,,40,5238,105420
bzip2,gcc,native,1,None,0.01,20.87,0,1,,20.86,,43,5310,105652
gcc,gcc,native,1,None,0.27,2.83,0,1,,2.56,,8,369404,1479604
gcc,gcc,native,1,None,0.31,2.82,0,1,,2.51,,7,369388,1479628
gcc,gcc,native,1,None,0.27,2.82,0,1,,2.55,,9,369415,1479624
gcc,gcc,native,1,None,0.3,2.84,0,1,,2.53,,11,369422,1479776
gcc,gcc,native,1,None,0.28,2.84,0,1,,2.56,,8,369411,1479764
gcc,gcc,native,1,None,0.24,2.82,0,1,,2.57,,9,369431,1479752
gcc,gcc,native,1,None,0.27,2.82,0,1,,2.55,,8,369410,1479392
gcc,gcc,native,1,None,0.33,2.83,0,1,,2.49,,8,369408,1479804
gcc,gcc,native,1,None,0.3,2.82,0,1,,2.52,,7,369392,1479688
gcc,gcc,native,1,None,0.27,2.84,0,1,,2.56,,11,369389,1479484
milc,gcc,native,1,None,0.26,16.69,0,1,,16.42,,33,220500,93236
milc,gcc,native,1,None,0.22,16.74,0,1,,16.51,,32,219527,93384
milc,gcc,native,1,None,0.26,16.74,0,8,,16.48,,33,218968,93732
milc,gcc,native,1,None,0.22,16.73,0,2,,16.5,,32,224074,93236
milc,gcc,native,1,None,0.18,16.7,0,1,,16.51,,33,219474,93320
milc,gcc,native,1,None,0.3,16.69,0,8,,16.38,,36,224075,93312
milc,gcc,native,1,None,0.26,16.71,0,1,,16.44,,35,219481,93340
milc,gcc,native,1,None,0.3,16.8,0,1,,16.49,,31,340072,93316
milc,gcc,native,1,None,0.25,16.75,0,8,,16.49,,31,219662,93296
milc,gcc,native,1,None,0.24,16.72,0,2,,16.46,,33,224076,93280
soplex,gcc,native,1,None,0.26,14.68,0,6,,14.41,,29,205808,138824
soplex,gcc,native,1,None,0.23,14.66,0,1,,14.42,,29,215501,139236
soplex,gcc,native,1,None,0.22,14.65,0,1,,14.42,,31,212472,139200
soplex,gcc,native,1,None,0.25,14.58,0,1,,14.32,,30,217338,137276
soplex,gcc,native,1,None,0.19,14.54,0,1,,14.35,,28,215908,139252
soplex,gcc,native,1,None,0.28,14.64,0,1,,14.35,,29,204551,138476
soplex,gcc,native,1,None,0.2,14.54,0,1,,14.33,,26,193275,138952
soplex,gcc,native,1,None,0.26,14.72,0,1,,14.46,,30,219353,139952
soplex,gcc,native,1,None,0.28,14.66,0,1,,14.37,,31,204958,138636
soplex,gcc,native,1,None,0.26,14.6,0,1,,14.33,,28,203237,139976
perlbench,gcc,native,1,None,0.14,55.51,0,1,,55.36,,110,172928,681220
perlbench,gcc,native,1,None,0.15,55.59,0,1,,55.43,,103,173439,681120
perlbench,gcc,native,1,None,0.16,55.53,0,1,,55.36,,106,173440,681212
perlbench,gcc,native,1,None,0.16,55.5,0,13,,55.33,,102,173451,681324
perlbench,gcc,native,1,None,0.16,55.51,0,17,,55.33,,107,173449,681204
perlbench,gcc,native,1,None,0.16,55.5,0,9,,55.32,,104,172425,681116
perlbench,gcc,native,1,None,0.14,55.5,0,22,,55.35,,109,173451,681328
perlbench,gcc,native,1,None,0.14,55.51,0,16,,55.36,,104,173453,681156
perlbench,gcc,native,1,None,0.15,55.53,0,1,,55.38,,102,172419,681192
perlbench,gcc,native,1,None,0.17,55.46,0,17,,55.27,,109,173453,681116
hmmer,gcc,native,1,None,0.0,178.17000000000002,0,1,,178.15,,324,912,6160
hmmer,gcc,native,1,None,0.0,179.24,0,1,,179.22,,318,916,6188
hmmer,gcc,native,1,None,0.0,179.75,0,1,,179.73,,323,915,6316
hmmer,gcc,native,1,None,0.0,178.66,0,1,,178.64,,322,911,6160
hmmer,gcc,native,1,None,0.0,179.49,0,1,,179.46,,319,918,6292
hmmer,gcc,native,1,None,0.0,179.82,0,1,,179.8,,323,916,6184
hmmer,gcc,native,1,None,0.0,179.32999999999998,0,1,,179.31,,323,915,6152
hmmer,gcc,native,1,None,0.0,178.5,0,1,,178.48,,318,916,6184
hmmer,gcc,native,1,None,0.0,180.05,0,1,,180.03,,321,915,6160
hmmer,gcc,native,1,None,0.0,179.46,0,1,,179.44,,323,911,6160
sjeng,gcc,native,1,None,0.02,338.9,0,4,,338.84,,604,2968,181724
sjeng,gcc,native,1,None,0.01,338.87,0,3,,338.82,,603,2960,181696
sjeng,gcc,native,1,None,0.01,338.90999999999997,0,4,,338.85,,606,3479,181828
sjeng,gcc,native,1,None,0.01,338.99,0,3,,338.94,,605,3468,181568
sjeng,gcc,native,1,None,0.01,339.0,0,4,,338.95,,604,2967,181820
sjeng,gcc,native,1,None,0.02,339.24,0,4,,339.18,,604,2968,181728
sjeng,gcc,native,1,None,0.01,338.84000000000003,0,4,,338.78,,604,2963,181712
sjeng,gcc,native,1,None,0.01,339.0,0,4,,338.95,,604,3475,181664
sjeng,gcc,native,1,None,0.01,338.89,0,4,,338.84,,603,2968,181820
sjeng,gcc,native,1,None,0.01,338.9,0,4,,338.85,,602,2958,181600
dealII,gcc,native,1,None,0.04,8.32,0,3,,8.27,,26,68228,88624
dealII,gcc,native,1,None,0.04,8.31,0,1,,8.27,,30,67722,88852
dealII,gcc,native,1,None,0.05,8.33,0,2,,8.27,,29,68233,88828
dealII,gcc,native,1,None,0.04,8.33,0,1,,8.29,,27,67209,88720
dealII,gcc,native,1,None,0.06,8.32,0,1,,8.25,,34,67720,88712
dealII,gcc,native,1,None,0.06,8.33,0,4,,8.26,,33,67749,88644
dealII,gcc,native,1,None,0.04,8.33,0,2,,8.28,,27,68740,88704
dealII,gcc,native,1,None,0.06,8.32,0,1,,8.25,,27,67210,88724
dealII,gcc,native,1,None,0.04,8.34,0,2,,8.3,,31,66189,88900
dealII,gcc,native,1,None,0.06,8.32,0,1,,8.25,,31,67208,88740
mcf,gcc,native,1,None,0.09,240.21,0,1,,240.09,,432,2556,1718760
mcf,gcc,native,1,None,0.07,241.66,0,1,,241.55,,429,2557,1718760
mcf,gcc,native,1,None,0.09,240.62,0,1,,240.5,,433,2559,1718692
mcf,gcc,native,1,None,0.07,242.23,0,1,,242.13,,435,2555,1718656
mcf,gcc,native,1,None,0.07,230.47,0,1,,230.38,,408,2558,1718712
mcf,gcc,native,1,None,0.07,240.85,0,1,,240.74,,434,2556,1718736
mcf,gcc,native,1,None,0.11,240.05,0,1,,239.91,,429,2556,1718744
mcf,gcc,native,1,None,0.1,230.11,0,1,,229.98,,409,2046,1718644
mcf,gcc,native,1,None,0.08,230.31,0,1,,230.2,,416,2556,1718676
mcf,gcc,native,1,None,0.1,242.31,0,1,,242.18,,433,2557,1718724
lbm,gcc,native,1,None,0.01,409.67,0,1,,409.61,,730,1626,421064
lbm,gcc,native,1,None,0.01,409.62,0,1,,409.56,,727,1120,420996
lbm,gcc,native,1,None,0.02,409.63,0,1,,409.56,,731,1116,420928
lbm,gcc,native,1,None,0.03,411.79,0,1,,411.72,,732,1633,421152
lbm,gcc,native,1,None,0.03,411.77,0,1,,411.69,,738,1120,421164
lbm,gcc,native,1,None,0.01,411.81,0,1,,411.75,,733,1119,421000
lbm,gcc,native,1,None,0.01,411.86,0,1,,411.79,,735,1632,421180
lbm,gcc,native,1,None,0.01,411.8,0,1,,411.74,,736,1629,421144
lbm,gcc,native,1,None,0.02,410.01,0,1,,409.95,,727,1632,421188
lbm,gcc,native,1,None,0.02,411.77,0,1,,411.7,,735,1118,420924
gobmk,gcc,native,1,None,0.0,45.28,0,1,,45.27,,96,2121,31556
gobmk,gcc,native,1,None,0.0,45.4,0,1,,45.39,,84,2633,31624
