name,compiler,type,threads,input,mpxbtnum,cycles,major_faults,instructions,dtlb_store_misses,branch_instructions,branch_misses,dtlb_load_misses,dtlb_loads,time,mpxerrors,minor_faults,dtlb_stores
perlbench,gcc,native,1,native,,210868350178,0,668410901553,4089025,146612556632,732024344,24783245,179019761459,55.68559527,,172605,67330327902
perlbench,gcc,native,1,native,,210758078446,0,667354041256,4195981,146465778042,731474366,24720981,179345130348,55.646858689,,173625,67256697271
perlbench,gcc,native,1,native,,210741185131,0,667375368938,4241018,146738600226,732073553,24897787,179306757387,55.64161164,,173626,67250875481
perlbench,gcc,native,1,native,,211013804924,0,668402742511,4066317,146732721098,722966635,24303342,179040634092,55.713692164,,173628,67255004033
perlbench,gcc,native,1,native,,210556489551,0,668108996666,3951964,146742148382,737347631,23463169,179101195270,55.587659404,,173628,67285949732
perlbench,gcc,native,1,native,,209995578943,0,667164399408,3728758,146379659051,730726144,21287016,179047397882,55.468576059,,173633,67262990461
perlbench,gcc,native,1,native,,210412875815,0,667137578756,3890957,146502427338,733603521,22801768,179235058297,55.563486661,,173632,67251341147
perlbench,gcc,native,1,native,,209915511396,0,667177580333,3858306,146516525706,732496503,20649727,179333431237,55.428070659,,173626,67259214640
perlbench,gcc,native,1,native,,211056836058,0,666925794479,3838100,146294879472,728781967,22492231,179097382252,55.732422618,,173638,67293643604
perlbench,gcc,native,1,native,,209779372406,0,667328911515,3756971,146341908672,724166126,20651463,178994104759,55.397640955,,173628,67302689122
omnetpp,gcc,native,1,native,,664565351277,0,556175011523,133816971,138626780577,2271652314,1092466422,150103788623,268.349053567,,46818,91556740718
omnetpp,gcc,native,1,native,,685691865292,0,556272223324,212253909,138661882148,2265553963,1450967403,150122106615,272.37594194,,46837,91513097064
omnetpp,gcc,native,1,native,,695365118966,0,556206670652,281011962,138663562802,2292650881,1780568579,150141431272,275.303480331,,46823,91493757770
omnetpp,gcc,native,1,native,,714774606510,0,556148469913,342876122,138648164823,2273835848,2066113234,150096574906,282.510990572,,46824,91558757596
omnetpp,gcc,native,1,native,,720033710997,0,556128880745,401857506,138635297210,2265166601,2347275657,150160883513,283.137077194,,46825,91512806743
omnetpp,gcc,native,1,native,,729815635287,0,556349331513,457193345,138693670073,2289517686,2585527998,150118220687,287.283835087,,46813,91487975393
omnetpp,gcc,native,1,native,,731477135913,0,556150914436,480116386,138625073053,2269713947,2597712611,150103536780,287.636222432,,46806,91549923921
omnetpp,gcc,native,1,native,,661360997205,0,556195161444,125777632,138675821143,2274049128,995929027,150167022301,264.675463789,,46834,91478679324
omnetpp,gcc,native,1,native,,677993489042,0,556088797584,208226081,138639262968,2267777186,1428989258,150105864085,270.870052903,,46826,91561326011
omnetpp,gcc,native,1,native,,695770346202,0,556150465326,279556325,138667524716,2292569834,1773051597,150135677099,275.592588799,,46841,91497415019
sphinx3,gcc,native,1,native,,39097657529,0,90698867412,497647,9195042518,224152821,11206632,24037888280,10.330661148,,6566,2164909996
sphinx3,gcc,native,1,native,,39194990253,0,90435596692,447037,9177805661,224160241,10212939,24066207566,10.333050459,,6568,2170285351
sphinx3,gcc,native,1,native,,39062566227,0,90728109694,566346,9192830247,224005985,10100291,24013408338,10.29696881,,7588,2172381129
sphinx3,gcc,native,1,native,,39183110048,0,90555651624,510854,9186093159,224332972,10579202,24047417736,10.328604589,,6566,2173716083
sphinx3,gcc,native,1,native,,39137906428,0,90680632140,329815,9192676722,224141474,5070347,24015376309,10.317669414,,6058,2168723797
sphinx3,gcc,native,1,native,,39103879304,0,90643963782,371798,9183200243,224551558,10602801,24019974099,10.318347414,,6565,2173683363
sphinx3,gcc,native,1,native,,38987637436,0,90620093890,329921,9175477542,224990621,5518604,24013001376,10.282851181,,6054,2177848397
sphinx3,gcc,native,1,native,,39385389164,0,90516209625,448491,9188624825,223865392,10439135,24043842016,10.381236635,,7585,2167544913
sphinx3,gcc,native,1,native,,39086620244,0,90622324693,267532,9193794974,224358529,4991910,24032081826,10.302866419,,6055,2179333339
sphinx3,gcc,native,1,native,,39195447150,0,90636344370,489177,9192052042,223807050,10894693,24047181084,10.331806722,,6561,2180917223
hmmer,gcc,native,1,native,,676657263171,0,1728706275639,3590,76367041553,654062234,10919,757597313384,178.270153023,,893,287268093252
hmmer,gcc,native,1,native,,676914106297,0,1728685516240,3586,76368341110,654343337,12774,757598214181,178.298760308,,893,287275802181
hmmer,gcc,native,1,native,,675806783594,0,1728638885518,3390,76370386816,654138682,26953,757612135294,178.027441734,,893,287268468306
hmmer,gcc,native,1,native,,678282022864,0,1728660060646,3638,76370282550,654918301,5694,757610842654,178.656450946,,893,287262195521
hmmer,gcc,native,1,native,,675660720579,0,1728573775042,4676,76371646262,654347212,52992,757662642044,177.970967923,,893,287267852776
hmmer,gcc,native,1,native,,677187244948,0,1728531722871,3334,76374079089,653993608,37865,757655337555,178.379277877,,894,287277479080
hmmer,gcc,native,1,native,,680683351602,0,1728559157443,3516,76374312399,652459516,15097,757659039070,179.295869129,,891,287269082661
hmmer,gcc,native,1,native,,676849747162,0,1728653635906,3476,76368343617,654012882,5609,757599160256,178.359262698,,892,287271200751
hmmer,gcc,native,1,native,,677109707112,0,1728461027524,3394,76369648012,654416599,44680,757654107995,178.352332882,,893,287265722347
hmmer,gcc,native,1,native,,676343022906,0,1728670168761,4518,76370403005,654565191,21635,757602850275,178.144678862,,893,287266527487
bzip2,gcc,native,1,native,,78513941761,0,169215969317,27626,26797388274,856214468,6027,39426052160,20.686676649,,4581,19562644735
bzip2,gcc,native,1,native,,78593904641,0,169350079688,41999,26776719762,856035904,13590,39459162804,20.7170963,,5159,19565636236
bzip2,gcc,native,1,native,,78575309359,0,168969630814,41219,26791779332,858764898,13281,39336197212,20.701564422,,5232,19623186126
bzip2,gcc,native,1,native,,78823734353,0,169288133809,41730,26803622583,856859771,10432,39295274641,20.765545853,,5263,19609885895
bzip2,gcc,native,1,native,,78227178509,0,169223425598,20184,26733740065,857518396,6160,39388127481,20.609036663,,4667,19600698139
bzip2,gcc,native,1,native,,78217780389,0,169607091892,39293,26760544603,857912924,10454,39520688345,20.605448104,,5013,19576266835
bzip2,gcc,native,1,native,,78593779484,0,169450261172,45849,26840556815,856714235,11960,39387219684,20.715034386,,5209,19564127593
bzip2,gcc,native,1,native,,78718464118,0,169134243130,26077,26792709366,853506016,10637,39453098717,20.748995573,,4936,19534865283
bzip2,gcc,native,1,native,,78833061690,0,169353837060,35699,26791506382,854590566,12213,39344704309,20.771525131,,4973,19591999516
bzip2,gcc,native,1,native,,78592821563,0,168996666120,44056,26862761289,855918102,16237,39334806434,20.708395237,,5248,19600834976
milc,gcc,native,1,native,,42346546986,0,31905350343,1038352,961313490,980763,227389,8789420613,16.580155743,,102943,3537654857
milc,gcc,native,1,native,,42648639080,0,32121957393,2431647,1015217882,934021,1165815,8886377359,16.707155052,,223118,3580523651
milc,gcc,native,1,native,,42696146952,0,32150359936,1747992,1019147546,1176874,880650,8920338040,16.69759954,,224053,3579288778
milc,gcc,native,1,native,,42827391473,0,32024580982,1616990,1021384477,1235715,344032,8932676974,16.662159375,,220314,3546585194
milc,gcc,native,1,native,,42704903601,0,32178493838,2100792,1025895207,1108274,285424,8913852384,16.654333024,,227107,3547014616
milc,gcc,native,1,native,,42813430513,0,32169717485,1634549,1014505578,1172948,725814,8874799402,16.64474849,,224569,3597609293
milc,gcc,native,1,native,,42815469943,0,32101199025,1897776,1018854577,1049137,1043319,8905282019,16.710159653,,224052,3582421036
milc,gcc,native,1,native,,42736410490,0,32137582297,2463616,1022874016,1029488,1136284,8892166643,16.65157758,,223541,3557422808
milc,gcc,native,1,native,,42735545944,0,32172770096,1492036,1016685130,1235557,277638,8853171623,16.613692036,,220477,3597554653
milc,gcc,native,1,native,,42486340272,0,31852421925,1341039,968138035,1044533,916319,8824309506,16.538282678,,103756,3514298663
namd,gcc,native,1,native,,1053631226538,0,1127429453872,26176,56950260038,1957683321,23676,258226065514,277.546634412,,11155,66296608706
namd,gcc,native,1,native,,1053905658858,0,1127509555034,235539,56918497713,1957601015,412258,258222322005,277.597427847,,11667,66323149865
namd,gcc,native,1,native,,1053771720685,0,1127451134695,171390,56915043649,1956584021,307600,258242267108,277.580220712,,11153,66296991548
namd,gcc,native,1,native,,1053544673889,0,1127345029299,117300,56884647884,1958662435,218062,258246288037,277.521547918,,11153,66264834475
namd,gcc,native,1,native,,1054447188215,0,1127502230853,99812,56940371629,1956674762,143445,258226725516,277.88641957,,11150,66357604515
namd,gcc,native,1,native,,1053532170374,0,1127480678553,35575,56940792396,1956893388,68760,258216586160,277.504809413,,11662,66312226372
namd,gcc,native,1,native,,1053778056495,0,1127460846363,244096,56937746730,1957423154,431772,258211884525,277.577753682,,11154,66306344237
namd,gcc,native,1,native,,1053603543817,0,1127478959780,193324,56945605497,1957256573,343709,258214681072,277.546355453,,10643,66325993100
