name,compiler,type,threads,input,involuntary_context_switches,mpxbtnum,voluntary_context_switches,major_faults,user_time,mpxerrors,time,minor_faults,maxsize,sys_time
hmmer,gcc,native,1,0,5,,1,0,1.02,,1.03,4366,21792,0.0
hmmer,gcc,native,1,1,6,,1,0,2.04,,2.04,5178,31228,0.0
hmmer,gcc,native,1,2,10,,1,0,3.73,,3.76,8003,73184,0.02
hmmer,gcc,native,1,3,20,,1,0,8.86,,8.89,10898,145592,0.02
hmmer,gcc,native,1,4,31,,1,0,16.22,,16.26,14399,290724,0.03
hmmer,gcc,native,1,0,5,,1,0,1.02,,1.03,4366,21792,0.0
hmmer,gcc,native,1,1,5,,1,0,2.04,,2.04,5178,31228,0.0
hmmer,gcc,native,1,2,7,,1,0,3.76,,3.76,8003,73184,0.0
hmmer,gcc,native,1,3,18,,1,0,8.91,,8.91,10898,145592,0.0
hmmer,gcc,native,1,4,32,,1,0,16.22,,16.26,14399,290724,0.03
hmmer,gcc,native,1,0,5,,1,0,1.02,,1.03,4366,21792,0.0
hmmer,gcc,native,1,1,5,,1,0,2.04,,2.04,5178,31228,0.0
hmmer,gcc,native,1,2,9,,1,0,3.76,,3.76,8003,73184,0.0
hmmer,gcc,native,1,3,21,,1,0,8.9,,8.91,10898,145592,0.0
hmmer,gcc,native,1,4,33,,1,0,16.23,,16.27,14399,290724,0.03
hmmer,gcc,native,1,0,5,,1,0,1.03,,1.03,4366,21792,0.0
hmmer,gcc,native,1,1,5,,1,0,2.04,,2.05,5178,31228,0.0
hmmer,gcc,native,1,2,9,,1,0,3.76,,3.76,8003,73184,0.0
hmmer,gcc,native,1,3,18,,1,0,8.9,,8.91,10898,145592,0.01
hmmer,gcc,native,1,4,32,,1,0,16.24,,16.26,14399,290724,0.02
hmmer,gcc,native,1,0,5,,1,0,1.03,,1.03,4366,21792,0.0
hmmer,gcc,native,1,1,5,,1,0,2.04,,2.05,5178,31228,0.0
hmmer,gcc,native,1,2,9,,1,0,3.76,,3.77,8003,73184,0.0
hmmer,gcc,native,1,3,16,,1,0,8.88,,8.91,10898,145592,0.03
hmmer,gcc,native,1,4,33,,1,0,16.24,,16.26,14399,290724,0.02
hmmer,gcc,native,1,0,5,,1,0,1.02,,1.03,4366,21792,0.0
hmmer,gcc,native,1,1,5,,1,0,2.04,,2.04,5178,31228,0.0
hmmer,gcc,native,1,2,11,,1,0,3.76,,3.76,8003,73184,0.0
hmmer,gcc,native,1,3,20,,1,0,8.89,,8.91,10898,145592,0.01
hmmer,gcc,native,1,4,34,,1,0,16.23,,16.26,14399,290724,0.02
hmmer,gcc,native,1,0,5,,1,0,1.03,,1.03,4366,21792,0.0
hmmer,gcc,native,1,1,5,,1,0,2.03,,2.04,5178,31228,0.0
hmmer,gcc,native,1,2,10,,1,0,3.76,,3.76,8003,73184,0.0
hmmer,gcc,native,1,3,18,,1,0,8.91,,8.92,10898,145592,0.01
hmmer,gcc,native,1,4,34,,4,0,16.24,,16.25,14399,290724,0.01
hmmer,gcc,native,1,0,4,,1,0,1.03,,1.03,4366,21792,0.0
hmmer,gcc,native,1,1,6,,1,0,2.04,,2.04,5178,31228,0.0
hmmer,gcc,native,1,2,9,,1,0,3.76,,3.76,8003,73184,0.0
hmmer,gcc,native,1,3,22,,2,0,8.89,,8.91,10899,145592,0.02
hmmer,gcc,native,1,4,36,,3,0,16.2,,16.23,14399,290724,0.02
hmmer,gcc,native,1,0,4,,1,0,1.03,,1.03,4366,21792,0.0
hmmer,gcc,native,1,1,5,,1,0,2.04,,2.05,5178,31228,0.0
hmmer,gcc,native,1,2,12,,1,0,3.76,,3.77,8003,73184,0.0
hmmer,gcc,native,1,3,21,,2,0,8.92,,8.93,10899,145592,0.0
hmmer,gcc,native,1,4,34,,3,0,16.13,,16.17,14401,290724,0.03
hmmer,gcc,native,1,0,4,,1,0,1.02,,1.02,4366,21792,0.0
hmmer,gcc,native,1,1,5,,1,0,2.03,,2.04,5178,31228,0.0
hmmer,gcc,native,1,2,10,,1,0,3.74,,3.75,8003,73184,0.01
hmmer,gcc,native,1,3,20,,2,0,8.87,,8.89,10899,145592,0.01
hmmer,gcc,native,1,4,33,,1,0,16.15,,16.2,14399,290724,0.04
libquantum,gcc,native,1,0,7,,1,0,1.41,,1.41,1692,5484,0.0
libquantum,gcc,native,1,1,19,,2,0,7.77,,7.77,3298,14716,0.0
libquantum,gcc,native,1,2,134,,1,0,73.19,,73.21000000000001,6512,51580,0.0
libquantum,gcc,native,1,3,645,,7,0,363.4,,363.54,23406,199176,0.1
libquantum,gcc,native,1,4,3565,,1,0,1881.74,,10882.3,28571,788880,0.33
libquantum,gcc,native,1,0,4,,1,0,1.41,,1.41,1692,5484,0.0
